time_ms,timestamp,version,voltage,audio_gain,cc,refX_raw,refY_raw,refZ_raw,tipX_raw,tipY_raw,tipZ_raw,refX_cal,refY_cal,refZ_cal,tipX_cal,tipY_cal,tipZ_cal,calOffsetX,calOffsetY,calOffsetZ,gradX,gradY,gradZ,mag,nT,accX,accY,accZ,gyrX,gyrY,gyrZ,freq,is_muted,QW,QX,QY,QZ,Azimuth,Elevation,Declination
633638,2026-08-30_09-19-37.640-240,v3.6.25,3.47,12.0,400,-18,5811,5159,-725,5903,5129,-177,5741,5104,-221,5609,5176,0,0,0,-44,-132,72,156.7,1030.7,0.654,-0.018,0.879,4.031,-2.281,-10.000,168.9,1,0.9312,0.2286,-0.2449,-0.1434,335.7,-23.0,0.0
633691,2026-08-30_09-19-37.692-240,v3.6.25,3.47,12.0,400,24,5794,5175,-725,5903,5129,-134,5723,5120,-221,5609,5176,0,0,0,-87,-114,56,154.0,1012.8,0.684,-0.004,0.875,1.984,-1.812,-10.828,166.7,1,0.9309,0.2304,-0.2447,-0.1431,335.7,-22.9,0.0
633721,2026-08-30_09-19-37.723-240,v3.6.25,3.47,12.0,400,102,5800,5186,-670,5899,5157,-56,5728,5131,-161,5605,5194,0,0,0,-105,-123,63,173.6,1141.8,0.680,0.011,0.877,0.656,-1.984,-11.953,183.1,1,0.9305,0.2322,-0.2444,-0.1431,335.7,-22.8,0.0
633749,2026-08-30_09-19-37.751-240,v3.6.25,3.47,12.0,400,93,5793,5202,-670,5899,5157,-65,5721,5147,-161,5605,5194,0,0,0,-96,-116,47,157.7,1037.7,0.723,0.053,0.867,-0.203,-2.328,-12.344,169.8,1,0.9301,0.2341,-0.2441,-0.1433,335.6,-22.8,0.0
633795,2026-08-30_09-19-37.797-240,v3.6.25,3.47,12.0,400,93,5793,5202,-646,5882,5185,-65,5721,5147,-132,5589,5218,0,0,0,-67,-132,71,164.2,1080.1,0.651,0.021,0.822,-0.203,-4.266,-15.234,175.2,1,0.9294,0.2364,-0.2441,-0.1437,335.5,-22.7,0.0
633825,2026-08-30_09-19-37.827-240,v3.6.25,3.47,12.0,400,157,5768,5233,-604,5859,5204,-1,5695,5178,-86,5567,5229,0,0,0,-85,-128,51,161.9,1065.1,0.620,0.111,0.876,-3.016,-6.234,-11.953,173.3,1,0.9288,0.2381,-0.2443,-0.1445,335.4,-22.6,0.0
633862,2026-08-30_09-19-37.864-240,v3.6.25,3.47,12.0,400,179,5742,5255,-604,5859,5204,21,5668,5200,-86,5567,5229,0,0,0,-107,-101,29,150.0,986.6,0.613,0.114,0.896,-13.062,-10.203,-0.062,163.3,1,0.9286,0.2373,-0.2446,-0.1466,335.1,-22.6,0.0
633905,2026-08-30_09-19-37.906-240,v3.6.25,3.47,12.0,400,179,5742,5255,-588,5827,5244,21,5668,5200,-63,5536,5266,0,0,0,-84,-132,66,169.8,1117.2,0.639,-0.061,0.866,-11.625,-12.719,-3.062,180.0,1,0.9282,0.2369,-0.2455,-0.1486,334.8,-22.7,0.0
633951,2026-08-30_09-19-37.952-240,v3.6.25,3.47,12.0,400,139,5689,5312,-638,5750,5319,-18,5614,5258,-98,5460,5347,0,0,0,-80,-154,89,195.0,1283.1,0.663,-0.110,0.844,5.656,-14.844,-25.469,201.1,1,0.9266,0.2408,-0.2476,-0.1489,334.6,-22.8,0.0
633979,2026-08-30_09-19-37.980-240,v3.6.25,3.47,12.0,400,159,5621,5399,-638,5750,5319,2,5544,5345,-98,5460,5347,0,0,0,-100,-84,2,130.6,859.3,0.693,-0.099,0.838,17.891,-15.859,-38.906,147.1,1,0.9242,0.2473,-0.2505,-0.1479,334.4,-22.9,0.0
