time_ms,timestamp,version,voltage,audio_gain,cc,refX_raw,refY_raw,refZ_raw,tipX_raw,tipY_raw,tipZ_raw,refX_cal,refY_cal,refZ_cal,tipX_cal,tipY_cal,tipZ_cal,calOffsetX,calOffsetY,calOffsetZ,gradX,gradY,gradZ,mag,nT,accX,accY,accZ,gyrX,gyrY,gyrZ,freq,is_muted,QW,QX,QY,QZ,Azimuth,Elevation,Declination
1130871,2026-08-30_09-27-54.873-240,v3.6.25,3.45,12.0,400,-1134,4414,6273,-2084,4470,6056,-1225,4337,6195,-1242,4355,6280,0,0,0,-17,18,85,88.5,582.5,0.350,0.167,1.008,-3.359,-0.719,0.172,111.7,1,0.0475,-0.5926,-0.1067,0.7970,145.4,69.1,0.0
1130901,2026-08-30_09-27-54.903-240,v3.6.25,3.45,12.0,400,-1125,4419,6277,-2072,4460,6047,-1216,4342,6199,-1231,4345,6269,0,0,0,-15,3,70,71.7,471.4,0.337,0.153,0.998,-4.219,-0.484,0.656,97.6,1,0.0473,-0.5922,-0.1066,0.7973,145.6,69.1,0.0
1130947,2026-08-30_09-27-54.949-240,v3.6.25,3.45,12.0,400,-1119,4419,6269,-2072,4460,6047,-1210,4342,6191,-1231,4345,6269,0,0,0,-21,3,78,80.8,531.8,0.351,0.156,1.003,-4.453,-0.703,1.078,105.3,1,0.0470,-0.5917,-0.1065,0.7977,145.8,69.1,0.0
1130975,2026-08-30_09-27-54.977-240,v3.6.25,3.45,12.0,400,-1119,4419,6269,-2077,4463,6050,-1210,4342,6191,-1236,4348,6273,0,0,0,-26,6,82,86.2,567.3,0.355,0.159,1.000,-4.406,-0.625,1.062,109.8,1,0.0467,-0.5913,-0.1064,0.7980,145.9,69.0,0.0
1131003,2026-08-30_09-27-54.005-240,v3.6.25,3.45,12.0,400,-1130,4422,6266,-2077,4463,6050,-1221,4345,6188,-1236,4348,6273,0,0,0,-15,3,85,86.4,568.2,0.345,0.150,1.004,-5.031,-1.094,1.391,109.9,1,0.0464,-0.5908,-0.1065,0.7984,146.1,69.0,0.0
1131031,2026-08-30_09-27-54.033-240,v3.6.25,3.45,12.0,400,-1130,4422,6266,-2089,4465,6047,-1221,4345,6188,-1248,4350,6272,0,0,0,-27,5,84,88.4,581.4,0.345,0.139,1.009,-4.656,-0.453,1.406,111.6,1,0.0461,-0.5904,-0.1065,0.7987,146.3,69.0,0.0
1131061,2026-08-30_09-27-54.062-240,v3.6.25,3.45,12.0,400,-1139,4423,6264,-2089,4465,6047,-1230,4346,6186,-1248,4350,6272,0,0,0,-18,4,86,88.0,578.6,0.332,0.137,1.003,-4.703,-0.156,1.453,111.3,1,0.0458,-0.5900,-0.1065,0.7990,146.4,68.9,0.0
1131091,2026-08-30_09-27-54.093-240,v3.6.25,3.45,12.0,400,-1149,4424,6264,-2099,4466,6050,-1240,4347,6186,-1258,4351,6277,0,0,0,-18,4,91,92.8,610.9,0.335,0.139,1.007,-4.875,-0.344,1.812,115.4,1,0.0455,-0.5896,-0.1065,0.7993,146.6,68.9,0.0
1131135,2026-08-30_09-27-54.137-240,v3.6.25,3.45,12.0,400,-1149,4424,6264,-2104,4465,6032,-1240,4347,6186,-1266,4349,6260,0,0,0,-26,2,74,78.5,516.2,0.347,0.131,1.011,-3.859,-0.531,0.281,103.3,1,0.0453,-0.5892,-0.1063,0.7997,146.8,68.9,0.0
1131176,2026-08-30_09-27-55.178-240,v3.6.25,3.45,12.0,400,-1160,4422,6270,-2104,4465,6032,-1251,4345,6192,-1266,4349,6260,0,0,0,-15,4,68,69.7,458.9,0.337,0.128,0.997,-3.000,-0.719,-0.906,96.0,1,0.0452,-0.5887,-0.1059,0.8001,146.9,68.8,0.0
