time_ms,timestamp,version,voltage,audio_gain,cc,refX_raw,refY_raw,refZ_raw,tipX_raw,tipY_raw,tipZ_raw,refX_cal,refY_cal,refZ_cal,tipX_cal,tipY_cal,tipZ_cal,calOffsetX,calOffsetY,calOffsetZ,gradX,gradY,gradZ,mag,nT,accX,accY,accZ,gyrX,gyrY,gyrZ,imu_temp,freq,is_muted,QW,QX,QY,QZ,Azimuth,Elevation,Declination
2928953,2026-09-11_09-12-26.953-240,v5.1.3,3.43,12.0,3200,17744,20155,56325,9619,17803,59113,14469.76,15456.15,45732.51,15473.66,15729.38,45909.04,0.00,0.00,0.00,1003.89,273.22,176.54,1055.28,1055.28,0.989,0.045,0.556,-4.609,-0.734,0.516,10822,172.1,0,-0.9489,-0.0229,0.0029,-0.3147,36.7,-1.1,0.0
2929062,2026-09-11_09-12-27.063-240,v5.1.3,3.43,12.0,3200,17795,20236,56336,9655,17906,59099,14511.40,15522.32,45740.78,15498.62,15813.55,45891.59,0.00,0.00,0.00,987.22,291.23,150.81,1040.27,1040.27,1.004,0.057,0.548,-3.391,-0.969,0.078,10822,170.2,0,-0.9485,-0.0271,0.0034,-0.3157,36.8,-1.4,0.0
2929168,2026-09-11_09-12-27.168-240,v5.1.3,3.43,12.0,3200,17792,20199,56382,9698,17845,59150,14509.17,15490.97,45778.56,15542.72,15765.50,45927.47,0.00,0.00,0.00,1033.55,274.52,148.91,1079.70,1079.70,1.007,0.060,0.533,-4.594,-1.109,0.359,10824,175.2,0,-0.9485,-0.0287,0.0071,-0.3153,36.7,-1.8,0.0
2929273,2026-09-11_09-12-27.274-240,v5.1.3,3.43,12.0,3200,17733,20211,56377,9625,17843,59140,14460.30,15501.56,45774.38,15481.28,15762.73,45929.42,0.00,0.00,0.00,1020.98,261.17,155.04,1065.20,1065.20,1.004,0.044,0.546,-4.062,-1.438,-0.062,10830,173.3,0,-0.9488,-0.0247,0.0067,-0.3150,36.7,-1.6,0.0
2929378,2026-09-11_09-12-27.379-240,v5.1.3,3.48,12.0,3200,17778,20201,56359,9604,17873,59124,14497.57,15493.18,45759.81,15460.97,15786.58,45919.05,0.00,0.00,0.00,963.40,293.41,159.24,1019.60,1019.60,1.006,0.061,0.546,-3.547,-1.000,0.438,10830,167.5,0,-0.9485,-0.0280,0.0053,-0.3155,36.8,-1.6,0.0
2929484,2026-09-11_09-12-27.484-240,v5.1.3,3.48,12.0,3200,17759,20199,56348,9662,17888,59104,14481.87,15491.92,45750.86,15505.55,15799.07,45894.88,0.00,0.00,0.00,1023.68,307.15,144.01,1078.42,1078.42,1.006,0.050,0.536,-4.266,-0.938,0.234,10831,175.0,0,-0.9486,-0.0257,0.0079,-0.3152,36.7,-1.8,0.0
2929589,2026-09-11_09-12-27.590-240,v5.1.3,3.48,12.0,3200,17780,20173,56378,9669,17823,59151,14499.42,15469.70,45775.53,15519.56,15747.21,45932.50,0.00,0.00,0.00,1020.15,277.51,156.98,1068.81,1068.81,1.005,0.051,0.543,-4.172,-0.906,-0.234,10834,173.8,0,-0.9488,-0.0256,0.0063,-0.3149,36.7,-1.6,0.0
2929695,2026-09-11_09-12-27.695-240,v5.1.3,3.48,12.0,3200,17711,20199,56393,9579,17837,59164,14442.18,15491.59,45787.52,15446.89,15757.84,45955.06,0.00,0.00,0.00,1004.71,266.25,167.54,1052.80,1052.80,1.006,0.054,0.545,-4.078,-0.984,-0.094,10825,171.7,0,-0.9488,-0.0266,0.0053,-0.3146,36.7,-1.5,0.0
2929800,2026-09-11_09-12-27.801-240,v5.1.3,3.48,12.0,3200,17739,20162,56365,9602,17795,59139,14465.58,15461.26,45765.03,15463.48,15723.25,45932.36,0.00,0.00,0.00,997.89,261.99,167.33,1045.19,1045.19,1.009,0.049,0.538,-4.156,-0.938,-0.031,10825,170.8,0,-0.9489,-0.0257,0.0081,-0.3145,36.6,-1.8,0.0
2929905,2026-09-11_09-12-27.906-240,v5.1.3,3.48,12.0,3200,17784,20190,56364,9664,17847,59141,14502.61,15483.95,45763.98,15513.42,15766.50,45924.85,0.00,0.00,0.00,1010.81,282.55,160.88,1061.82,1061.82,1.006,0.054,0.543,-4.234,-1.219,-0.234,10826,172.9,0,-0.9490,-0.0269,0.0067,-0.3141,36.6,-1.7,0.0
