time_ms,timestamp,version,voltage,audio_gain,cc,refX_raw,refY_raw,refZ_raw,tipX_raw,tipY_raw,tipZ_raw,refX_cal,refY_cal,refZ_cal,tipX_cal,tipY_cal,tipZ_cal,calOffsetX,calOffsetY,calOffsetZ,gradX,gradY,gradZ,mag,nT,accX,accY,accZ,gyrX,gyrY,gyrZ,freq,is_muted,QW,QX,QY,QZ,Azimuth,Elevation,Declination
297007,2026-08-30_09-14-00.009-240,v3.6.25,3.50,12.0,400,-1677,-692,7465,-2862,-754,7131,-1788,-807,7470,-1872,-984,7507,0,0,0,-84,-177,37,199.4,1311.7,0.990,0.069,0.531,-1.297,-0.578,-3.031,204.8,1,0.8322,0.4574,-0.1723,-0.2618,323.6,-2.7,0.0
297056,2026-08-30_09-14-00.058-240,v3.6.25,3.50,12.0,400,-1651,-695,7472,-2862,-754,7131,-1762,-811,7477,-1872,-984,7507,0,0,0,-110,-173,30,207.2,1363.1,0.984,0.063,0.530,-2.938,-0.672,-0.672,211.3,1,0.8324,0.4569,-0.1724,-0.2620,323.5,-2.7,0.0
297086,2026-08-30_09-14-00.088-240,v3.6.25,3.50,12.0,400,-1638,-672,7475,-2850,-757,7161,-1749,-788,7479,-1855,-986,7534,0,0,0,-106,-198,55,231.2,1521.2,0.983,0.070,0.541,-2.562,-0.797,-0.547,231.5,1,0.8326,0.4564,-0.1725,-0.2622,323.5,-2.8,0.0
297112,2026-08-30_09-14-01.114-240,v3.6.25,3.50,12.0,400,-1638,-672,7475,-2850,-757,7161,-1749,-788,7479,-1855,-986,7534,0,0,0,-106,-198,55,231.2,1521.2,0.991,0.056,0.535,-4.453,0.031,-0.062,231.5,1,0.8329,0.4557,-0.1724,-0.2625,323.5,-2.7,0.0
297141,2026-08-30_09-14-01.143-240,v3.6.25,3.50,12.0,400,-1630,-695,7489,-2840,-758,7141,-1741,-811,7493,-1848,-988,7513,0,0,0,-107,-177,20,207.8,1367.1,0.986,0.048,0.535,-3.281,-1.328,-1.031,211.8,1,0.8330,0.4552,-0.1725,-0.2629,323.4,-2.8,0.0
297174,2026-08-30_09-14-01.176-240,v3.6.25,3.50,12.0,400,-1622,-688,7488,-2840,-758,7141,-1733,-804,7492,-1848,-988,7513,0,0,0,-115,-184,21,218.0,1434.2,0.989,0.070,0.523,-3.172,-0.438,-0.734,220.4,1,0.8332,0.4547,-0.1726,-0.2631,323.4,-2.8,0.0
297217,2026-08-30_09-14-01.219-240,v3.6.25,3.50,12.0,400,-1622,-688,7488,-2834,-766,7155,-1733,-804,7492,-1839,-995,7526,0,0,0,-106,-191,34,221.1,1454.4,0.990,0.060,0.534,-4.031,-0.938,0.016,223.0,1,0.8335,0.4540,-0.1726,-0.2635,323.4,-2.8,0.0
297244,2026-08-30_09-14-01.245-240,v3.6.25,3.50,12.0,400,-1622,-691,7477,-2829,-762,7144,-1733,-807,7481,-1836,-991,7514,0,0,0,-103,-184,33,213.4,1404.2,0.987,0.050,0.533,-3.594,-0.969,-0.297,216.6,1,0.8337,0.4534,-0.1726,-0.2638,323.3,-2.8,0.0
297291,2026-08-30_09-14-01.293-240,v3.6.25,3.50,12.0,400,-1617,-687,7481,-2829,-762,7144,-1728,-803,7485,-1836,-991,7514,0,0,0,-108,-188,29,218.7,1439.1,0.994,0.076,0.516,-4.969,-1.000,1.844,221.0,1,0.8341,0.4524,-0.1726,-0.2642,323.3,-2.8,0.0
297325,2026-08-30_09-14-01.327-240,v3.6.25,3.50,12.0,400,-1617,-687,7481,-2836,-761,7153,-1728,-803,7485,-1842,-990,7524,0,0,0,-114,-187,39,222.5,1463.5,0.988,0.022,0.535,-2.797,-0.547,-0.625,224.1,1,0.8343,0.4519,-0.1727,-0.2644,323.3,-2.8,0.0
