time_ms,timestamp,version,voltage,audio_gain,cc,refX_raw,refY_raw,refZ_raw,tipX_raw,tipY_raw,tipZ_raw,refX_cal,refY_cal,refZ_cal,tipX_cal,tipY_cal,tipZ_cal,calOffsetX,calOffsetY,calOffsetZ,gradX,gradY,gradZ,mag,nT,accX,accY,accZ,gyrX,gyrY,gyrZ,freq,is_muted,QW,QX,QY,QZ,Azimuth,Elevation,Declination
245933,2026-08-29_17-11-49.935-240,v3.6.25,3.52,12.0,400,1907,360,7479,663,243,7764,1804,242,7479,1756,70,7535,0,0,0,-48,-172,56,187.1,1231.2,0.679,0.013,0.847,-5.844,-1.875,5.391,194.5,0,-0.3810,0.1701,-0.0666,-0.9064,134.3,21.0,0.0
245977,2026-08-29_17-11-49.978-240,v3.6.25,3.52,12.0,400,1907,360,7479,638,231,7775,1804,242,7479,1733,58,7550,0,0,0,-71,-184,71,209.6,1379.0,0.689,-0.006,0.831,-3.953,0.438,-0.828,213.4,0,-0.3810,0.1697,-0.0660,-0.9064,134.3,21.0,0.0
246010,2026-08-29_17-11-49.012-240,v3.6.25,3.52,12.0,400,1871,355,7496,638,231,7775,1768,237,7496,1733,58,7550,0,0,0,-35,-179,54,190.2,1251.4,0.683,0.023,0.864,-1.719,1.969,-4.625,197.1,0,-0.3810,0.1696,-0.0671,-0.9064,134.3,21.0,0.0
246037,2026-08-29_17-11-49.038-240,v3.6.25,3.52,12.0,400,1897,368,7471,649,237,7770,1794,250,7471,1743,64,7543,0,0,0,-51,-186,72,205.9,1354.4,0.694,0.056,0.871,-3.062,3.188,-4.000,210.2,0,-0.3810,0.1695,-0.0685,-0.9063,134.3,21.1,0.0
246080,2026-08-29_17-11-49.082-240,v3.6.25,3.52,12.0,400,1897,368,7471,677,268,7770,1794,250,7471,1771,95,7538,0,0,0,-23,-155,67,170.4,1121.2,0.647,0.013,0.843,-5.062,3.734,-1.828,180.5,0,-0.3811,0.1705,-0.0688,-0.9061,134.3,21.2,0.0
246128,2026-08-29_17-11-49.129-240,v3.6.25,3.52,12.0,400,1926,388,7486,677,268,7770,1823,270,7486,1771,95,7538,0,0,0,-52,-175,52,189.8,1248.8,0.676,-0.006,0.869,-3.875,4.203,-2.781,196.8,0,-0.3813,0.1713,-0.0689,-0.9058,134.3,21.3,0.0
246154,2026-08-29_17-11-49.155-240,v3.6.25,3.52,12.0,400,1934,446,7470,686,319,7748,1830,328,7469,1775,146,7515,0,0,0,-55,-182,46,195.6,1286.9,0.683,0.031,0.879,-2.438,4.812,-3.094,201.6,0,-0.3811,0.1718,-0.0701,-0.9057,134.3,21.4,0.0
246186,2026-08-29_17-11-49.187-240,v3.6.25,3.52,12.0,400,1934,446,7470,686,319,7748,1830,328,7469,1775,146,7515,0,0,0,-55,-182,46,195.6,1286.9,0.674,-0.002,0.871,-1.594,5.453,-4.406,201.6,0,-0.3811,0.1727,-0.0708,-0.9055,134.3,21.5,0.0
246212,2026-08-29_17-11-49.213-240,v3.6.25,3.52,12.0,400,1937,487,7532,737,356,7690,1833,368,7530,1815,182,7450,0,0,0,-18,-186,-80,203.3,1337.3,0.668,0.004,0.866,0.203,5.031,-5.641,208.0,0,-0.3810,0.1732,-0.0718,-0.9053,134.3,21.6,0.0
246245,2026-08-29_17-11-49.246-240,v3.6.25,3.52,12.0,400,1987,516,7445,737,356,7690,1883,398,7443,1815,182,7450,0,0,0,-68,-216,7,226.6,1490.5,0.670,0.076,0.907,0.016,5.188,-3.641,227.6,0,-0.3807,0.1738,-0.0738,-0.9052,134.4,21.8,0.0
