time_ms,timestamp,version,voltage,audio_gain,cc,refX_raw,refY_raw,refZ_raw,tipX_raw,tipY_raw,tipZ_raw,refX_cal,refY_cal,refZ_cal,tipX_cal,tipY_cal,tipZ_cal,calOffsetX,calOffsetY,calOffsetZ,gradX,gradY,gradZ,mag,nT,accX,accY,accZ,gyrX,gyrY,gyrZ,freq,is_muted,QW,QX,QY,QZ,Azimuth,Elevation,Declination
178106,2026-08-30_09-12-02.108-240,v3.6.25,3.48,12.0,400,1340,4895,5943,419,4920,6124,1193,4790,5894,1115,4655,5956,0,0,0,-78,-135,62,167.8,1103.9,0.752,0.119,0.802,-3.312,-1.422,-1.625,178.3,1,0.9556,0.2540,0.1008,0.1104,15.4,7.8,0.0
178144,2026-08-30_09-12-02.146-240,v3.6.25,3.48,12.0,400,1331,4899,5936,419,4920,6124,1183,4794,5887,1115,4655,5956,0,0,0,-68,-139,69,169.4,1114.7,0.781,0.189,0.793,-3.719,-2.250,-0.375,179.6,1,0.9558,0.2533,0.1006,0.1101,15.3,7.8,0.0
178171,2026-08-30_09-12-02.173-240,v3.6.25,3.48,12.0,400,1334,4888,5949,417,4920,6153,1187,4783,5900,1118,4655,5985,0,0,0,-69,-128,85,168.4,1108.1,0.773,0.154,0.788,-4.562,-2.297,1.016,178.8,1,0.9562,0.2523,0.1003,0.1097,15.2,7.8,0.0
178211,2026-08-30_09-12-02.213-240,v3.6.25,3.48,12.0,400,1334,4888,5949,417,4920,6153,1187,4783,5900,1118,4655,5985,0,0,0,-69,-128,85,168.4,1108.1,0.797,0.159,0.759,-3.797,-2.250,1.156,178.8,1,0.9565,0.2514,0.1000,0.1095,15.2,7.8,0.0
178266,2026-08-30_09-12-02.268-240,v3.6.25,3.48,12.0,400,1321,4873,5963,398,4890,6131,1174,4768,5914,1096,4625,5966,0,0,0,-78,-143,52,171.0,1124.9,0.802,0.111,0.781,-3.094,-1.906,-2.734,180.9,1,0.9566,0.2511,0.0998,0.1091,15.1,7.8,0.0
178316,2026-08-30_09-12-02.318-240,v3.6.25,3.48,12.0,400,1321,4873,5963,402,4892,6151,1174,4768,5914,1103,4627,5985,0,0,0,-71,-141,71,173.1,1138.8,0.777,0.188,0.774,-1.312,-1.453,-4.141,182.7,1,0.9567,0.2511,0.0998,0.1087,15.1,7.8,0.0
178346,2026-08-30_09-12-02.348-240,v3.6.25,3.48,12.0,400,1348,4856,5970,430,4885,6143,1201,4750,5921,1130,4620,5973,0,0,0,-71,-130,52,157.0,1032.8,0.787,0.229,0.774,-5.594,-1.234,1.875,169.2,1,0.9570,0.2499,0.0997,0.1083,15.0,7.9,0.0
178380,2026-08-30_09-12-02.382-240,v3.6.25,3.48,12.0,400,1346,4862,5973,430,4885,6143,1199,4756,5924,1130,4620,5973,0,0,0,-69,-136,49,160.2,1053.8,0.802,0.172,0.755,-9.594,-0.625,5.859,171.9,1,0.9576,0.2477,0.0996,0.1079,15.0,7.9,0.0
178421,2026-08-30_09-12-02.423-240,v3.6.25,3.48,12.0,400,1346,4862,5973,413,4874,6138,1199,4756,5924,1112,4609,5971,0,0,0,-87,-147,47,177.2,1165.6,0.778,0.110,0.779,-5.625,-0.094,-0.391,186.1,1,0.9579,0.2468,0.0998,0.1074,14.9,7.9,0.0
178448,2026-08-30_09-12-02.451-240,v3.6.25,3.48,12.0,400,1312,4862,5979,394,4880,6147,1165,4757,5930,1095,4615,5983,0,0,0,-70,-142,53,167.0,1098.4,0.787,0.160,0.771,-4.859,-0.516,-2.375,177.6,1,0.9581,0.2462,0.0999,0.1067,14.8,8.0,0.0
178496,2026-08-30_09-12-02.498-240,v3.6.25,3.48,12.0,400,1316,4866,5973,394,4880,6147,1169,4761,5924,1095,4615,5983,0,0,0,-74,-146,59,174.0,1144.7,0.796,0.187,0.773,-6.562,-0.328,1.531,183.5,1,0.9585,0.2449,0.1000,0.1063,14.8,8.0,0.0
178526,2026-08-30_09-12-02.528-240,v3.6.25,3.48,12.0,400,1316,4866,5973,391,4876,6136,1169,4761,5924,1090,4611,5972,0,0,0,-79,-150,48,176.2,1159.2,0.785,0.179,0.758,-8.781,-0.406,4.734,185.3,1,0.9590,0.2430,0.1000,0.1058,14.7,8.1,0.0
178556,2026-08-30_09-12-02.558-240,v3.6.25,3.48,12.0,400,1307,4860,5975,391,4876,6136,1160,4755,5926,1090,4611,5972,0,0,0,-70,-144,46,166.6,1096.0,0.786,0.129,0.747,-8.297,-0.719,3.844,177.3,1,0.9595,0.2412,0.0999,0.1053,14.6,8.1,0.0
178585,2026-08-30_09-12-02.586-240,v3.6.25,3.48,12.0,400,1268,4864,5980,362,4881,6144,1121,4759,5931,1062,4616,5985,0,0,0,-59,-143,54,163.8,1077.9,0.774,0.128,0.761,-5.953,-0.922,-0.125,175.0,1,0.9599,0.2403,0.1000,0.1048,14.6,8.1,0.0
178627,2026-08-30_09-12-02.629-240,v3.6.25,3.48,12.0,400,1268,4864,5980,346,4891,6146,1121,4759,5931,1046,4626,5990,0,0,0,-75,-133,59,163.7,1076.9,0.765,0.161,0.782,-3.922,-0.828,-0.750,174.8,1,0.9601,0.2395,0.1000,0.1044,14.5,8.2,0.0
178671,2026-08-30_09-12-02.673-240,v3.6.25,3.48,12.0,400,1265,4854,5983,346,4891,6146,1118,4749,5934,1046,4626,5990,0,0,0,-72,-123,56,153.1,1007.4,0.767,0.169,0.758,-8.297,0.328,7.344,166.0,1,0.9606,0.2373,0.1000,0.1043,14.5,8.2,0.0
178701,2026-08-30_09-12-02.703-240,v3.6.25,3.48,12.0,400,1271,4858,5983,331,4880,6154,1124,4753,5934,1033,4615,6000,0,0,0,-91,-138,66,178.0,1171.0,0.752,0.144,0.717,-8.094,1.219,7.688,186.8,1,0.9612,0.2350,0.1002,0.1043,14.5,8.3,0.0
178746,2026-08-30_09-12-02.748-240,v3.6.25,3.48,12.0,400,1271,4890,5990,306,4882,6153,1123,4785,5940,1008,4617,6003,0,0,0,-115,-168,63,213.1,1402.1,0.716,0.068,0.708,-2.016,2.219,-0.438,216.3,1,0.9613,0.2344,0.1006,0.1044,14.5,8.3,0.0
178789,2026-08-30_09-12-02.791-240,v3.6.25,3.48,12.0,400,1228,4905,5969,306,4882,6153,1080,4801,5919,1008,4617,6003,0,0,0,-72,-184,84,214.7,1412.5,0.718,0.090,0.727,6.797,3.547,-9.109,217.6,1,0.9608,0.2358,0.1014,0.1048,14.6,8.4,0.0
178837,2026-08-30_09-12-02.839-240,v3.6.25,3.48,12.0,400,1228,4905,5969,310,4921,6136,1080,4801,5919,1008,4655,5986,0,0,0,-72,-146,67,176.0,1158.1,0.850,0.926,0.804,6.859,6.516,4.453,185.2,1,0.9604,0.2364,0.1022,0.1061,14.8,8.4,0.0
178863,2026-08-30_09-12-02.865-240,v3.6.25,3.48,12.0,400,1304,4918,5939,373,4955,6091,1156,4814,5889,1063,4689,5931,0,0,0,-93,-125,42,161.4,1061.6,0.736,0.392,0.792,-54.547,8.969,60.359,172.9,1,0.9638,0.2221,0.1031,0.1051,14.6,8.7,0.0
178906,2026-08-30_09-12-02.908-240,v3.6.25,3.48,12.0,400,1041,4968,5938,373,4955,6091,892,4867,5888,1063,4689,5931,0,0,0,171,-178,43,250.5,1648.3,0.824,-0.268,0.748,-10.828,7.594,0.547,247.7,1,0.9642,0.2204,0.1045,0.1044,14.5,8.9,0.0
