time_ms,timestamp,version,voltage,audio_gain,cc,refX_raw,refY_raw,refZ_raw,tipX_raw,tipY_raw,tipZ_raw,refX_cal,refY_cal,refZ_cal,tipX_cal,tipY_cal,tipZ_cal,calOffsetX,calOffsetY,calOffsetZ,gradX,gradY,gradZ,mag,nT,accX,accY,accZ,gyrX,gyrY,gyrZ,freq,is_muted,QW,QX,QY,QZ,Azimuth,Elevation,Declination
850096,2026-08-30_09-23-13.098-240,v3.6.25,3.47,12.0,400,730,6901,1245,249,7068,3555,630,6917,1187,610,6910,3446,0,0,0,-20,-7,2259,2259.1,14862.5,0.397,0.146,0.988,-1.609,-0.844,-1.906,1933.4,1,0.9469,0.0915,0.2861,-0.1143,348.5,34.2,0.0
850126,2026-08-30_09-23-14.128-240,v3.6.25,3.47,12.0,400,723,6900,1241,262,7057,3549,623,6916,1183,622,6899,3438,0,0,0,-1,-17,2255,2255.1,14835.9,0.396,0.142,0.988,-2.297,-0.406,-1.531,1930.0,1,0.9468,0.0924,0.2865,-0.1137,348.7,34.3,0.0
850176,2026-08-30_09-23-14.178-240,v3.6.25,3.47,12.0,400,736,6902,1239,281,7057,3540,636,6918,1181,640,6899,3426,0,0,0,4,-19,2245,2245.1,14770.3,0.394,0.157,0.986,-2.078,-0.625,-1.703,1921.6,1,0.9467,0.0934,0.2868,-0.1131,348.8,34.3,0.0
850224,2026-08-30_09-23-14.226-240,v3.6.25,3.47,12.0,400,736,6902,1239,284,7067,3551,636,6918,1181,644,6909,3436,0,0,0,8,-9,2255,2255.0,14835.7,0.411,0.163,0.996,-4.422,-0.750,1.703,1930.0,1,0.9466,0.0937,0.2872,-0.1124,348.9,34.4,0.0
850272,2026-08-30_09-23-14.274-240,v3.6.25,3.47,12.0,400,738,6895,1232,284,7067,3551,638,6911,1174,644,6909,3436,0,0,0,6,-2,2262,2262.0,14881.6,0.392,0.115,0.990,-3.297,-0.453,0.375,1935.8,1,0.9465,0.0942,0.2877,-0.1116,349.0,34.4,0.0
850299,2026-08-30_09-23-14.301-240,v3.6.25,3.47,12.0,400,744,6904,1238,277,7079,3544,644,6920,1180,636,6921,3431,0,0,0,-8,1,2251,2251.0,14809.3,0.389,0.143,0.989,-1.875,-0.250,-2.125,1926.6,1,0.9464,0.0952,0.2881,-0.1111,349.1,34.5,0.0
850332,2026-08-30_09-23-14.334-240,v3.6.25,3.47,12.0,400,744,6904,1238,277,7079,3544,644,6920,1180,636,6921,3431,0,0,0,-8,1,2251,2251.0,14809.3,0.391,0.180,0.987,-2.297,-0.688,-1.516,1926.6,1,0.9462,0.0962,0.2884,-0.1105,349.3,34.5,0.0
850358,2026-08-30_09-23-14.360-240,v3.6.25,3.47,12.0,400,740,6907,1239,304,7065,3544,640,6923,1181,663,6907,3426,0,0,0,23,-16,2245,2245.2,14770.9,0.391,0.179,0.993,-4.031,-0.797,-0.281,1921.7,1,0.9461,0.0968,0.2887,-0.1100,349.4,34.6,0.0
850386,2026-08-30_09-23-14.388-240,v3.6.25,3.47,12.0,400,740,6924,1227,304,7065,3544,640,6941,1168,663,6907,3426,0,0,0,23,-34,2258,2258.4,14857.7,0.407,0.165,0.994,-4.844,-0.781,0.938,1932.8,1,0.9461,0.0972,0.2891,-0.1093,349.4,34.6,0.0
850435,2026-08-30_09-23-14.436-240,v3.6.25,3.47,12.0,400,740,6924,1227,290,7075,3533,640,6941,1168,647,6917,3418,0,0,0,7,-24,2250,2250.1,14803.5,0.388,0.123,0.988,-5.172,-0.922,1.547,1925.9,1,0.9460,0.0972,0.2896,-0.1087,349.5,34.7,0.0
850462,2026-08-30_09-23-14.465-240,v3.6.25,3.47,12.0,400,742,6898,1246,279,7075,3537,642,6914,1188,637,6917,3423,0,0,0,-5,3,2235,2235.0,14704.0,0.383,0.122,0.986,-4.203,-0.625,0.531,1913.2,1,0.9459,0.0975,0.2901,-0.1081,349.6,34.7,0.0
850504,2026-08-30_09-23-14.505-240,v3.6.25,3.47,12.0,400,732,6907,1237,279,7075,3537,632,6923,1179,637,6917,3423,0,0,0,5,-6,2244,2244.0,14763.2,0.402,0.143,0.993,-3.750,-1.078,-0.328,1920.7,1,0.9458,0.0981,0.2904,-0.1075,349.7,34.8,0.0
850542,2026-08-30_09-23-14.544-240,v3.6.25,3.47,12.0,400,732,6907,1237,283,7065,3543,632,6923,1179,642,6907,3429,0,0,0,10,-16,2250,2250.1,14803.2,0.411,0.146,0.995,-3.625,-0.672,-0.750,1925.8,1,0.9457,0.0987,0.2908,-0.1069,349.8,34.8,0.0
850570,2026-08-30_09-23-14.572-240,v3.6.25,3.47,12.0,400,735,6903,1242,281,7072,3529,635,6919,1184,637,6914,3415,0,0,0,2,-5,2231,2231.0,14677.7,0.411,0.150,0.991,-3.359,-0.406,-0.656,1909.8,1,0.9456,0.0993,0.2911,-0.1063,350.0,34.9,0.0
850625,2026-08-30_09-23-14.627-240,v3.6.25,3.47,12.0,400,741,6905,1236,281,7072,3529,641,6921,1178,637,6914,3415,0,0,0,-4,-7,2237,2237.0,14717.2,0.383,0.154,0.984,-4.562,-0.203,1.422,1914.8,1,0.9454,0.0996,0.2916,-0.1056,350.1,34.9,0.0
850654,2026-08-30_09-23-14.655-240,v3.6.25,3.47,12.0,400,728,6905,1243,283,7066,3537,628,6921,1184,641,6908,3423,0,0,0,13,-13,2239,2239.1,14730.8,0.399,0.152,0.993,-6.234,-0.141,4.406,1916.6,1,0.9454,0.0993,0.2922,-0.1047,350.2,35.0,0.0
850701,2026-08-30_09-23-14.703-240,v3.6.25,3.47,12.0,400,728,6905,1243,265,7085,3531,628,6921,1184,622,6926,3420,0,0,0,-6,5,2236,2236.0,14710.6,0.387,0.105,0.995,-4.500,-0.562,1.922,1914.0,1,0.9453,0.0992,0.2928,-0.1040,350.3,35.0,0.0
850735,2026-08-30_09-23-14.736-240,v3.6.25,3.47,12.0,400,720,6918,1241,265,7085,3531,620,6935,1182,622,6926,3420,0,0,0,2,-9,2238,2238.0,14723.8,0.399,0.114,0.993,-1.672,-0.734,-1.797,1915.7,1,0.9452,0.1000,0.2932,-0.1033,350.4,35.1,0.0
850762,2026-08-30_09-23-14.764-240,v3.6.25,3.47,12.0,400,726,6914,1238,278,7092,3528,626,6931,1179,634,6933,3415,0,0,0,8,2,2236,2236.0,14710.6,0.404,0.131,0.993,-0.938,-0.047,-2.000,1914.0,1,0.9450,0.1010,0.2936,-0.1026,350.5,35.1,0.0
850804,2026-08-30_09-23-14.805-240,v3.6.25,3.47,12.0,400,726,6914,1238,283,7070,3527,626,6931,1179,639,6911,3413,0,0,0,13,-20,2234,2234.1,14698.2,0.381,0.162,0.988,-1.672,-0.969,-2.500,1912.4,1,0.9449,0.1021,0.2939,-0.1021,350.6,35.2,0.0
850855,2026-08-30_09-23-14.856-240,v3.6.25,3.47,12.0,400,735,6913,1240,283,7070,3527,635,6929,1181,639,6911,3413,0,0,0,4,-18,2232,2232.1,14684.7,0.393,0.176,0.988,-3.953,-0.594,-0.234,1910.7,1,0.9447,0.1027,0.2943,-0.1015,350.7,35.2,0.0
850884,2026-08-30_09-23-14.886-240,v3.6.25,3.47,12.0,400,707,6912,1253,275,7071,3508,607,6928,1194,628,6912,3396,0,0,0,21,-16,2202,2202.2,14487.9,0.393,0.190,0.986,-5.641,-0.812,2.219,1885.6,1,0.9447,0.1028,0.2946,-0.1009,350.8,35.3,0.0
850912,2026-08-30_09-23-14.914-240,v3.6.25,3.47,12.0,400,725,6918,1227,275,7071,3508,625,6935,1168,628,6912,3396,0,0,0,3,-23,2228,2228.1,14658.7,0.396,0.183,0.992,-7.797,-0.656,5.266,1907.4,1,0.9447,0.1023,0.2951,-0.1001,350.9,35.3,0.0
850961,2026-08-30_09-23-14.963-240,v3.6.25,3.47,12.0,400,725,6918,1227,276,7084,3530,625,6935,1168,632,6925,3417,0,0,0,7,-10,2249,2249.0,14796.3,0.411,0.098,0.998,-8.734,-0.703,5.734,1924.9,1,0.9447,0.1011,0.2957,-0.0993,351.0,35.4,0.0
850991,2026-08-30_09-23-14.992-240,v3.6.25,3.47,12.0,400,709,6912,1241,257,7082,3525,609,6929,1182,613,6923,3415,0,0,0,4,-6,2233,2233.0,14690.9,0.406,0.086,0.999,-4.750,-0.500,1.203,1911.5,1,0.9446,0.1009,0.2962,-0.0986,351.1,35.4,0.0
851031,2026-08-30_09-23-14.033-240,v3.6.25,3.47,12.0,400,701,6914,1234,257,7082,3525,601,6931,1175,613,6923,3415,0,0,0,12,-8,2240,2240.0,14737.1,0.386,0.122,0.984,-1.875,-0.453,-2.703,1917.4,1,0.9445,0.1017,0.2967,-0.0982,351.2,35.5,0.0
851065,2026-08-30_09-23-14.066-240,v3.6.25,3.47,12.0,400,701,6914,1234,257,7076,3517,601,6931,1175,611,6917,3408,0,0,0,10,-14,2233,2233.1,14691.2,0.357,0.157,0.984,-2.484,-1.281,-1.219,1911.5,1,0.9443,0.1025,0.2970,-0.0977,351.3,35.5,0.0
851095,2026-08-30_09-23-14.097-240,v3.6.25,3.47,12.0,400,706,6912,1231,257,7076,3517,606,6929,1173,611,6917,3408,0,0,0,5,-12,2235,2235.0,14704.2,0.355,0.173,0.960,-4.781,-0.594,1.141,1913.2,1,0.9442,0.1028,0.2975,-0.0971,351.4,35.6,0.0
851126,2026-08-30_09-23-15.128-240,v3.6.25,3.47,12.0,400,699,6921,1237,238,7109,3497,599,6938,1178,588,6950,3391,0,0,0,-11,12,2213,2213.1,14559.6,0.372,0.155,0.984,-6.969,-1.328,4.156,1894.7,1,0.9442,0.1023,0.2979,-0.0964,351.4,35.6,0.0
851176,2026-08-30_09-23-15.178-240,v3.6.25,3.47,12.0,400,684,6913,1244,242,7076,3530,584,6930,1185,598,6917,3423,0,0,0,14,-13,2238,2238.1,14724.2,0.411,0.149,0.998,-9.172,-1.516,6.203,1915.7,1,0.9442,0.1014,0.2983,-0.0956,351.5,35.6,0.0
851227,2026-08-30_09-23-15.228-240,v3.6.25,3.47,12.0,400,666,6910,1241,220,7066,3534,566,6927,1182,577,6907,3431,0,0,0,11,-20,2249,2249.1,14796.8,0.411,0.085,0.999,-8.234,-1.219,4.969,1925.0,1,0.9443,0.1001,0.2988,-0.0950,351.5,35.7,0.0
851279,2026-08-30_09-23-15.280-240,v3.6.25,3.47,12.0,400,666,6910,1241,208,7077,3539,566,6927,1182,566,6918,3437,0,0,0,0,-9,2255,2255.0,14835.6,0.410,0.106,0.988,-1.516,-1.203,-3.156,1930.0,1,0.9442,0.1009,0.2990,-0.0944,351.6,35.7,0.0
