time_ms,timestamp,version,voltage,audio_gain,cc,refX_raw,refY_raw,refZ_raw,tipX_raw,tipY_raw,tipZ_raw,refX_cal,refY_cal,refZ_cal,tipX_cal,tipY_cal,tipZ_cal,calOffsetX,calOffsetY,calOffsetZ,gradX,gradY,gradZ,mag,nT,accX,accY,accZ,gyrX,gyrY,gyrZ,freq,is_muted,QW,QX,QY,QZ,Azimuth,Elevation,Declination
21881,2026-08-30_09-09-25.883-240,v3.6.25,3.53,12.0,400,4148,2552,6096,3084,2511,6761,4029,2401,6073,3946,2289,6131,0,0,0,-83,-112,58,151.0,993.3,0.899,0.534,0.452,-3.781,-0.422,0.828,164.2,1,0.9647,0.2492,-0.0100,0.0848,9.1,-3.5,0.0
21911,2026-08-30_09-09-25.912-240,v3.6.25,3.53,12.0,400,4141,2574,6061,3084,2511,6761,4022,2424,6038,3946,2289,6131,0,0,0,-76,-135,93,180.7,1188.8,0.906,0.538,0.446,-4.609,-0.875,0.797,189.1,1,0.9647,0.2491,-0.0099,0.0849,9.2,-3.5,0.0
21937,2026-08-30_09-09-25.939-240,v3.6.25,3.53,12.0,400,4121,2578,6072,3085,2514,6749,4002,2428,6049,3945,2291,6119,0,0,0,-57,-137,70,164.1,1079.4,0.912,0.517,0.447,-3.500,-0.766,0.266,175.1,1,0.9648,0.2486,-0.0100,0.0851,9.2,-3.5,0.0
21984,2026-08-30_09-09-25.986-240,v3.6.25,3.53,12.0,400,4121,2578,6072,3081,2516,6756,4002,2428,6049,3942,2293,6127,0,0,0,-60,-135,78,167.1,1099.1,0.908,0.540,0.443,-3.250,-0.719,-0.984,177.7,1,0.9647,0.2490,-0.0100,0.0852,9.2,-3.5,0.0
22022,2026-08-30_09-09-25.024-240,v3.6.25,3.53,12.0,400,4141,2569,6068,3081,2516,6756,4022,2419,6045,3942,2293,6127,0,0,0,-80,-126,82,170.3,1120.4,0.912,0.528,0.445,-2.203,-0.891,-1.578,180.4,1,0.9646,0.2492,-0.0100,0.0855,9.2,-3.5,0.0
22051,2026-08-30_09-09-25.053-240,v3.6.25,3.53,12.0,400,4155,2574,6062,3085,2524,6749,4036,2424,6039,3944,2301,6119,0,0,0,-92,-123,80,173.2,1139.4,0.906,0.539,0.438,-1.609,-0.656,-2.328,182.8,1,0.9644,0.2498,-0.0100,0.0857,9.2,-3.6,0.0
22091,2026-08-30_09-09-26.093-240,v3.6.25,3.53,12.0,400,4155,2574,6062,3100,2515,6735,4036,2424,6039,3957,2292,6103,0,0,0,-79,-132,64,166.6,1096.2,0.905,0.549,0.442,-2.641,-1.109,-1.906,177.3,1,0.9643,0.2505,-0.0100,0.0858,9.3,-3.6,0.0
22140,2026-08-30_09-09-26.142-240,v3.6.25,3.53,12.0,400,4161,2565,6047,3100,2515,6735,4042,2415,6024,3957,2292,6103,0,0,0,-85,-123,79,169.1,1112.5,0.901,0.547,0.439,-2.984,-0.766,-0.922,179.4,1,0.9641,0.2509,-0.0100,0.0859,9.3,-3.6,0.0
22171,2026-08-30_09-09-26.173-240,v3.6.25,3.53,12.0,400,4150,2575,6075,3149,2509,6741,4031,2425,6052,4008,2287,6101,0,0,0,-23,-138,49,148.2,975.2,0.894,0.549,0.450,-3.359,-0.625,0.141,161.9,1,0.9641,0.2512,-0.0097,0.0860,9.3,-3.6,0.0
22200,2026-08-30_09-09-26.202-240,v3.6.25,3.53,12.0,400,4178,2566,6077,3149,2509,6741,4059,2415,6054,4008,2287,6101,0,0,0,-51,-128,47,145.6,957.8,0.911,0.551,0.439,-3.297,-0.516,0.281,159.6,1,0.9640,0.2514,-0.0098,0.0862,9.3,-3.6,0.0
