time_ms,timestamp,version,voltage,audio_gain,cc,refX_raw,refY_raw,refZ_raw,tipX_raw,tipY_raw,tipZ_raw,refX_cal,refY_cal,refZ_cal,tipX_cal,tipY_cal,tipZ_cal,calOffsetX,calOffsetY,calOffsetZ,gradX,gradY,gradZ,mag,nT,accX,accY,accZ,gyrX,gyrY,gyrZ,freq,is_muted,QW,QX,QY,QZ,Azimuth,Elevation,Declination
443016,2026-08-30_09-16-26.018-240,v3.6.25,3.47,12.0,400,476,-677,7663,-822,-805,7684,371,-823,7666,265,-1013,7701,0,0,0,-106,-190,35,220.4,1449.8,0.963,0.340,0.519,-3.875,0.109,0.344,222.4,1,0.8903,0.1620,-0.1334,-0.4042,309.9,-6.1,0.0
443043,2026-08-30_09-16-26.045-240,v3.6.25,3.47,12.0,400,476,-677,7663,-819,-811,7700,371,-823,7666,271,-1019,7717,0,0,0,-100,-196,51,225.9,1486.0,0.964,0.334,0.515,-4.203,-1.062,0.750,227.0,1,0.8904,0.1609,-0.1332,-0.4045,309.9,-6.2,0.0
443076,2026-08-30_09-16-26.078-240,v3.6.25,3.47,12.0,400,481,-667,7668,-819,-811,7700,376,-813,7671,271,-1019,7717,0,0,0,-105,-206,46,235.7,1551.0,0.966,0.318,0.509,-0.297,-1.109,0.922,235.3,1,0.8907,0.1599,-0.1333,-0.4042,309.9,-6.2,0.0
443105,2026-08-30_09-16-27.106-240,v3.6.25,3.47,12.0,400,475,-676,7664,-821,-820,7685,370,-822,7667,267,-1028,7702,0,0,0,-103,-206,35,233.0,1532.6,0.968,0.326,0.503,-3.578,-0.859,-0.609,233.0,1,0.8907,0.1591,-0.1332,-0.4044,309.9,-6.2,0.0
443150,2026-08-30_09-16-27.152-240,v3.6.25,3.47,12.0,400,475,-676,7664,-821,-821,7687,370,-822,7667,267,-1029,7704,0,0,0,-103,-207,37,234.2,1540.5,0.964,0.333,0.514,-3.844,-0.281,-0.047,234.0,1,0.8908,0.1581,-0.1330,-0.4047,309.9,-6.3,0.0
443193,2026-08-30_09-16-27.194-240,v3.6.25,3.47,12.0,400,479,-676,7664,-821,-821,7687,374,-822,7667,267,-1029,7704,0,0,0,-107,-207,37,235.9,1552.2,0.970,0.327,0.508,-3.578,-1.031,0.141,235.5,1,0.8909,0.1572,-0.1329,-0.4049,309.8,-6.3,0.0
443221,2026-08-30_09-16-27.223-240,v3.6.25,3.47,12.0,400,456,-683,7665,-822,-814,7712,351,-828,7668,270,-1022,7729,0,0,0,-81,-194,61,218.9,1440.1,0.966,0.335,0.509,-3.109,-0.859,-0.734,221.2,1,0.8909,0.1563,-0.1328,-0.4052,309.8,-6.3,0.0
443255,2026-08-30_09-16-27.257-240,v3.6.25,3.47,12.0,400,456,-683,7665,-822,-814,7712,351,-828,7668,270,-1022,7729,0,0,0,-81,-194,61,218.9,1440.1,0.964,0.329,0.511,-3.750,-0.688,-0.500,221.2,1,0.8910,0.1555,-0.1327,-0.4054,309.8,-6.3,0.0
443308,2026-08-30_09-16-27.309-240,v3.6.25,3.47,12.0,400,485,-621,7665,-806,-823,7663,380,-767,7668,278,-1031,7678,0,0,0,-102,-264,10,283.2,1863.1,0.969,0.347,0.510,-3.438,-1.500,0.047,275.1,1,0.8910,0.1545,-0.1326,-0.4057,309.8,-6.4,0.0
443334,2026-08-30_09-16-27.337-240,v3.6.25,3.47,12.0,400,476,-668,7666,-822,-822,7690,371,-814,7669,267,-1030,7707,0,0,0,-104,-216,38,242.7,1596.9,0.970,0.334,0.508,-3.781,-1.031,0.531,241.2,1,0.8911,0.1534,-0.1325,-0.4059,309.7,-6.4,0.0
443371,2026-08-30_09-16-27.373-240,v3.6.25,3.47,12.0,400,485,-674,7667,-822,-822,7690,380,-820,7670,267,-1030,7707,0,0,0,-113,-210,37,241.3,1587.7,0.963,0.338,0.511,-3.672,-0.438,0.469,240.0,1,0.8912,0.1524,-0.1322,-0.4062,309.7,-6.4,0.0
443411,2026-08-30_09-16-27.413-240,v3.6.25,3.47,12.0,400,485,-674,7667,-801,-816,7688,380,-820,7670,287,-1024,7702,0,0,0,-93,-204,32,226.5,1489.9,0.966,0.305,0.515,-3.219,-1.141,-0.734,227.5,1,0.8913,0.1516,-0.1321,-0.4064,309.7,-6.4,0.0
443441,2026-08-30_09-16-27.443-240,v3.6.25,3.47,12.0,400,483,-681,7668,-811,-817,7698,378,-827,7671,279,-1025,7713,0,0,0,-99,-198,42,225.3,1482.4,0.968,0.287,0.512,-0.594,-0.781,-4.391,226.5,1,0.8913,0.1515,-0.1323,-0.4064,309.7,-6.5,0.0
443486,2026-08-30_09-16-27.488-240,v3.6.25,3.47,12.0,400,508,-677,7663,-811,-817,7698,403,-823,7666,279,-1025,7713,0,0,0,-124,-202,47,241.6,1589.7,0.960,0.204,0.513,8.453,-2.094,-16.391,240.2,1,0.8910,0.1536,-0.1337,-0.4058,309.7,-6.5,0.0
443516,2026-08-30_09-16-27.518-240,v3.6.25,3.47,12.0,400,508,-677,7663,-754,-821,7699,403,-823,7666,336,-1029,7705,0,0,0,-67,-206,39,220.1,1448.1,0.933,0.201,0.559,20.688,-1.375,-31.516,222.2,1,0.8904,0.1587,-0.1362,-0.4043,309.8,-6.6,0.0
443546,2026-08-30_09-16-27.547-240,v3.6.25,3.47,12.0,400,641,-675,7657,-754,-821,7699,537,-823,7660,336,-1029,7705,0,0,0,-201,-206,45,291.3,1916.5,0.922,0.205,0.506,32.438,-0.234,-47.453,281.9,1,0.8894,0.1669,-0.1402,-0.4018,309.9,-6.6,0.0
443592,2026-08-30_09-16-27.594-240,v3.6.25,3.47,12.0,400,982,-680,7607,-523,-813,7709,879,-831,7611,569,-1019,7675,0,0,0,-310,-188,64,368.2,2422.1,0.931,0.250,0.503,50.375,-2.547,-70.031,346.4,1,0.8877,0.1791,-0.1466,-0.3980,310.1,-6.8,0.0
443619,2026-08-30_09-16-27.620-240,v3.6.25,3.47,12.0,400,982,-680,7607,-20,-834,7733,879,-831,7611,1078,-1036,7613,0,0,0,199,-205,2,285.7,1879.7,0.901,0.386,0.470,59.875,-2.703,-80.953,277.2,1,0.8855,0.1934,-0.1541,-0.3934,310.4,-6.9,0.0
443661,2026-08-30_09-16-27.663-240,v3.6.25,3.47,12.0,400,1529,-703,7505,-20,-834,7733,1428,-859,7510,1078,-1036,7613,0,0,0,-350,-177,103,405.5,2667.8,0.824,0.473,0.417,72.609,-1.453,-99.922,377.8,1,0.8822,0.2112,-0.1633,-0.3880,310.6,-7.1,0.0
443691,2026-08-30_09-16-27.692-240,v3.6.25,3.47,12.0,400,2246,-678,7301,736,-841,7705,2147,-839,7307,1830,-1039,7458,0,0,0,-317,-200,151,404.1,2658.5,0.808,0.535,0.405,78.828,-1.297,-106.891,376.6,1,0.8781,0.2306,-0.1728,-0.3819,310.8,-7.3,0.0
443829,2026-08-30_09-16-27.830-240,v3.6.25,3.47,12.0,400,3961,-686,6504,2701,-830,7244,3868,-853,6516,3719,-1023,6675,0,0,0,-149,-170,159,276.4,1818.2,0.618,0.848,0.294,89.156,-1.719,-118.578,269.4,1,0.8729,0.2535,-0.1839,-0.3741,311.2,-7.6,0.0
443896,2026-08-30_09-16-27.898-240,v3.6.25,3.47,12.0,400,5477,-658,5279,3686,-821,6729,5389,-820,5299,4617,-1017,6005,0,0,0,-772,-197,706,1064.5,7003.5,0.516,0.951,0.227,81.203,-1.250,-110.688,930.8,1,0.8675,0.2745,-0.1940,-0.3667,311.4,-7.8,0.0
443952,2026-08-30_09-16-27.954-240,v3.6.25,3.47,12.0,400,6068,-653,4595,4580,-806,6141,5981,-809,4620,5412,-1005,5280,0,0,0,-569,-196,660,893.2,5876.2,0.418,1.040,0.171,77.156,-1.359,-105.969,787.0,1,0.8617,0.2946,-0.2037,-0.3596,311.7,-8.0,0.0
443989,2026-08-30_09-16-27.990-240,v3.6.25,3.47,12.0,400,6068,-653,4595,5337,-784,5466,5981,-809,4620,6054,-990,4493,0,0,0,73,-181,-127,232.8,1531.9,0.333,1.038,0.119,75.734,-1.891,-103.000,232.9,1,0.8556,0.3138,-0.2131,-0.3523,311.9,-8.2,0.0
444017,2026-08-30_09-16-27.019-240,v3.6.25,3.47,12.0,400,6559,-625,3857,5974,-742,4754,6474,-773,3887,6570,-955,3690,0,0,0,96,-182,-197,284.9,1874.1,0.320,1.145,0.106,72.047,-1.906,-96.938,276.5,1,0.8494,0.3319,-0.2219,-0.3451,312.1,-8.5,0.0
444064,2026-08-30_09-16-27.066-240,v3.6.25,3.47,12.0,400,6968,-634,3149,5974,-742,4754,6884,-773,3184,6570,-955,3690,0,0,0,-314,-182,506,622.7,4096.7,0.260,1.132,0.068,56.391,-0.938,-77.562,560.0,1,0.8441,0.3464,-0.2289,-0.3393,312.3,-8.7,0.0
