time_ms,timestamp,version,voltage,audio_gain,cc,refX_raw,refY_raw,refZ_raw,tipX_raw,tipY_raw,tipZ_raw,refX_cal,refY_cal,refZ_cal,tipX_cal,tipY_cal,tipZ_cal,calOffsetX,calOffsetY,calOffsetZ,gradX,gradY,gradZ,mag,nT,accX,accY,accZ,gyrX,gyrY,gyrZ,freq,is_muted,QW,QX,QY,QZ,Azimuth,Elevation,Declination
94856,2026-08-30_09-10-38.858-240,v3.6.25,3.51,12.0,400,3217,2507,6628,2063,2451,7154,3095,2357,6602,2992,2229,6688,0,0,0,-103,-128,86,185.4,1220.0,0.962,0.428,0.471,-3.219,-0.734,-0.031,193.1,1,0.9587,0.2371,0.0251,0.1549,18.0,-1.5,0.0
94884,2026-08-30_09-10-38.885-240,v3.6.25,3.51,12.0,400,3226,2514,6643,2073,2464,7149,3104,2364,6617,3001,2242,6681,0,0,0,-103,-122,64,172.0,1131.7,0.963,0.391,0.475,-4.359,-0.312,0.688,181.8,1,0.9590,0.2361,0.0249,0.1548,18.0,-1.5,0.0
94916,2026-08-30_09-10-38.918-240,v3.6.25,3.51,12.0,400,3216,2508,6643,2073,2464,7149,3094,2358,6617,3001,2242,6681,0,0,0,-93,-116,64,161.9,1064.9,0.958,0.392,0.474,-2.672,-0.469,-0.359,173.3,1,0.9592,0.2354,0.0246,0.1550,18.0,-1.5,0.0
94960,2026-08-30_09-10-38.961-240,v3.6.25,3.51,12.0,400,3216,2508,6643,2077,2450,7151,3094,2358,6617,3005,2228,6683,0,0,0,-89,-130,66,170.8,1123.8,0.963,0.411,0.470,-3.172,-0.938,0.047,180.8,1,0.9594,0.2346,0.0243,0.1550,18.0,-1.5,0.0
94990,2026-08-30_09-10-38.992-240,v3.6.25,3.51,12.0,400,3234,2506,6640,2084,2452,7146,3112,2356,6614,3011,2230,6677,0,0,0,-101,-126,63,173.3,1140.4,0.962,0.410,0.469,-3.969,-0.719,0.531,182.9,1,0.9596,0.2336,0.0240,0.1550,18.0,-1.5,0.0
95034,2026-08-30_09-10-38.035-240,v3.6.25,3.51,12.0,400,3224,2511,6632,2084,2452,7146,3102,2361,6606,3011,2230,6677,0,0,0,-91,-131,71,174.6,1148.6,0.961,0.400,0.470,-4.469,-0.828,1.266,184.0,1,0.9599,0.2325,0.0237,0.1550,18.0,-1.5,0.0
95065,2026-08-30_09-10-38.067-240,v3.6.25,3.51,12.0,400,3224,2511,6632,2075,2455,7156,3102,2361,6606,3004,2233,6688,0,0,0,-98,-128,82,180.9,1189.9,0.958,0.373,0.475,-2.719,-0.984,-1.219,189.2,1,0.9600,0.2319,0.0234,0.1550,18.0,-1.5,0.0
95093,2026-08-30_09-10-39.095-240,v3.6.25,3.51,12.0,400,3220,2503,6633,2075,2455,7156,3098,2353,6607,3004,2233,6688,0,0,0,-94,-120,81,172.6,1135.6,0.963,0.433,0.471,-2.906,-0.844,-1.297,182.3,1,0.9602,0.2313,0.0231,0.1550,18.0,-1.6,0.0
95121,2026-08-30_09-10-39.123-240,v3.6.25,3.51,12.0,400,3220,2503,6633,2082,2462,7145,3098,2353,6607,3009,2240,6676,0,0,0,-89,-113,69,159.5,1049.6,0.965,0.404,0.470,-4.062,-0.781,0.500,171.3,1,0.9604,0.2304,0.0228,0.1550,18.0,-1.6,0.0
95171,2026-08-30_09-10-39.172-240,v3.6.25,3.51,12.0,400,3238,2505,6622,2077,2465,7158,3117,2355,6596,3006,2243,6690,0,0,0,-111,-112,94,183.6,1207.8,0.962,0.426,0.475,-4.453,-0.438,1.062,191.5,1,0.9607,0.2293,0.0225,0.1550,17.9,-1.6,0.0
95211,2026-08-30_09-10-39.213-240,v3.6.25,3.51,12.0,400,3235,2513,6640,2077,2465,7158,3113,2363,6614,3006,2243,6690,0,0,0,-107,-120,76,177.8,1170.0,0.962,0.393,0.473,-4.594,-1.125,0.797,186.7,1,0.9610,0.2282,0.0222,0.1549,17.9,-1.6,0.0
95240,2026-08-30_09-10-39.242-240,v3.6.25,3.51,12.0,400,3230,2522,6648,2078,2462,7162,3108,2372,6622,3008,2240,6693,0,0,0,-100,-132,71,180.2,1185.4,0.968,0.359,0.466,-2.797,-0.172,-0.906,188.7,1,0.9611,0.2276,0.0220,0.1550,17.9,-1.6,0.0
95276,2026-08-30_09-10-39.278-240,v3.6.25,3.51,12.0,400,3230,2522,6648,2083,2458,7147,3108,2372,6622,3010,2236,6678,0,0,0,-98,-136,56,176.7,1162.7,0.957,0.404,0.476,0.062,-0.422,-3.922,185.8,1,0.9611,0.2276,0.0219,0.1551,18.0,-1.6,0.0
95326,2026-08-30_09-10-39.328-240,v3.6.25,3.51,12.0,400,3230,2513,6630,2083,2458,7147,3108,2363,6604,3010,2236,6678,0,0,0,-98,-127,74,176.7,1162.2,0.964,0.423,0.469,-4.016,-1.203,-0.188,185.7,1,0.9613,0.2267,0.0215,0.1551,17.9,-1.7,0.0
95356,2026-08-30_09-10-39.359-240,v3.6.25,3.51,12.0,400,3248,2500,6619,2115,2446,7150,3127,2350,6593,3043,2224,6675,0,0,0,-84,-126,82,172.2,1133.0,0.966,0.343,0.465,-1.203,-0.844,-2.984,182.0,1,0.9613,0.2265,0.0213,0.1552,17.9,-1.7,0.0
95384,2026-08-30_09-10-39.386-240,v3.6.25,3.51,12.0,400,3270,2512,6623,2115,2446,7150,3149,2362,6597,3043,2224,6675,0,0,0,-106,-138,78,190.7,1254.6,0.963,0.384,0.467,1.812,-0.344,-6.453,197.5,1,0.9612,0.2270,0.0212,0.1554,18.0,-1.7,0.0
95432,2026-08-30_09-10-39.433-240,v3.6.25,3.51,12.0,400,3270,2512,6623,2127,2448,7149,3149,2362,6597,3055,2226,6672,0,0,0,-94,-136,75,181.5,1194.3,0.958,0.438,0.464,0.875,-0.281,-6.047,189.8,1,0.9611,0.2274,0.0211,0.1555,18.0,-1.7,0.0
95476,2026-08-30_09-10-39.478-240,v3.6.25,3.51,12.0,400,3317,2512,6610,2186,2467,7109,3196,2362,6584,3107,2245,6623,0,0,0,-89,-117,39,152.1,1000.6,0.964,0.330,0.465,3.766,-0.578,-9.812,165.1,1,0.9607,0.2286,0.0212,0.1558,18.0,-1.7,0.0
95506,2026-08-30_09-10-39.507-240,v3.6.25,3.51,12.0,400,3371,2506,6559,2249,2466,7092,3250,2356,6533,3167,2244,6596,0,0,0,-83,-112,63,153.0,1006.4,0.951,0.227,0.470,15.578,-0.516,-24.172,165.8,1,0.9596,0.2329,0.0217,0.1565,18.1,-1.8,0.0
95556,2026-08-30_09-10-39.558-240,v3.6.25,3.51,12.0,400,3540,2547,6462,2249,2466,7092,3419,2397,6437,3167,2244,6596,0,0,0,-252,-153,159,335.0,2203.6,0.920,0.378,0.469,30.031,-2.172,-43.344,318.6,1,0.9574,0.2412,0.0224,0.1575,18.2,-1.9,0.0
95589,2026-08-30_09-10-39.591-240,v3.6.25,3.51,12.0,400,3540,2547,6462,2495,2467,6990,3419,2397,6437,3396,2245,6455,0,0,0,-23,-152,18,154.8,1018.3,0.909,0.388,0.439,39.125,-2.328,-55.562,167.3,1,0.9543,0.2520,0.0234,0.1587,18.4,-2.0,0.0
95617,2026-08-30_09-10-39.619-240,v3.6.25,3.51,12.0,400,3827,2516,6288,2495,2467,6990,3707,2365,6264,3396,2245,6455,0,0,0,-311,-120,191,384.2,2527.6,0.887,0.480,0.424,45.422,-1.703,-63.750,359.9,1,0.9507,0.2645,0.0246,0.1601,18.5,-2.2,0.0
95646,2026-08-30_09-10-39.648-240,v3.6.25,3.51,12.0,400,4210,2521,6002,2919,2456,6833,4092,2371,5980,3794,2234,6230,0,0,0,-298,-137,250,412.4,2713.2,0.887,0.521,0.413,46.984,-1.266,-66.578,383.6,1,0.9467,0.2775,0.0258,0.1615,18.7,-2.3,0.0
95696,2026-08-30_09-10-39.698-240,v3.6.25,3.51,12.0,400,4210,2521,6002,3429,2474,6578,4092,2371,5980,4261,2251,5894,0,0,0,169,-120,-86,224.4,1476.3,0.827,0.511,0.380,59.750,-1.422,-82.406,225.8,1,0.9414,0.2938,0.0275,0.1633,18.9,-2.5,0.0
95730,2026-08-30_09-10-39.732-240,v3.6.25,3.51,12.0,400,4650,2529,5654,3429,2474,6578,4533,2381,5634,4261,2251,5894,0,0,0,-272,-130,260,398.1,2619.1,0.803,0.584,0.379,69.406,-1.719,-95.078,371.6,1,0.9349,0.3128,0.0295,0.1653,19.1,-2.8,0.0
95761,2026-08-30_09-10-39.763-240,v3.6.25,3.51,12.0,400,5157,2531,5186,4039,2479,6181,5042,2385,5170,4804,2254,5403,0,0,0,-238,-131,233,357.9,2354.6,0.765,0.677,0.343,73.266,-1.656,-99.828,337.8,1,0.9272,0.3337,0.0318,0.1674,19.4,-3.0,0.0
95801,2026-08-30_09-10-39.802-240,v3.6.25,3.51,12.0,400,5157,2531,5186,4724,2489,5644,5042,2385,5170,5398,2259,4763,0,0,0,356,-126,-407,555.2,3652.7,0.676,0.707,0.307,83.938,-2.703,-109.719,503.4,1,0.9180,0.3567,0.0343,0.1698,19.7,-3.3,0.0
95851,2026-08-30_09-10-39.853-240,v3.6.25,3.51,12.0,400,5680,2543,4558,4724,2489,5644,5566,2403,4546,5398,2259,4763,0,0,0,-168,-144,217,309.9,2038.9,0.643,0.877,0.268,85.516,-2.406,-116.000,297.5,1,0.9079,0.3806,0.0372,0.1718,19.9,-3.6,0.0
95879,2026-08-30_09-10-39.881-240,v3.6.25,3.51,12.0,400,6191,2531,3836,5415,2513,4969,6079,2398,3829,5974,2277,3987,0,0,0,-105,-121,158,225.0,1480.3,0.589,0.963,0.241,82.141,-1.766,-111.094,226.3,1,0.8975,0.4033,0.0400,0.1738,20.2,-3.9,0.0
95907,2026-08-30_09-10-39.909-240,v3.6.25,3.51,12.0,400,6191,2531,3836,5415,2513,4969,6079,2398,3829,5974,2277,3987,0,0,0,-105,-121,158,225.0,1480.3,0.536,1.045,0.217,75.094,-2.297,-102.016,226.3,1,0.8875,0.4240,0.0426,0.1755,20.4,-4.2,0.0
95936,2026-08-30_09-10-39.938-240,v3.6.25,3.51,12.0,400,6608,2558,3067,6007,2552,4204,6497,2435,3065,6436,2307,3140,0,0,0,-61,-128,75,160.4,1055.3,0.479,0.968,0.170,70.484,-1.391,-96.281,172.1,1,0.8776,0.4433,0.0450,0.1770,20.6,-4.5,0.0
95964,2026-08-30_09-10-39.966-240,v3.6.25,3.51,12.0,400,6897,2559,2356,6007,2552,4204,6787,2446,2359,6436,2307,3140,0,0,0,-351,-139,781,867.5,5707.0,0.454,1.064,0.157,68.234,-1.438,-94.484,765.5,1,0.8675,0.4619,0.0475,0.1783,20.8,-4.7,0.0
96007,2026-08-30_09-10-39.008-240,v3.6.25,3.51,12.0,400,6897,2559,2356,6456,2572,3493,6787,2446,2359,6764,2319,2370,0,0,0,-23,-127,11,129.5,852.2,0.399,1.186,0.148,55.844,-2.484,-77.219,146.2,1,0.8589,0.4772,0.0493,0.1793,20.9,-5.0,0.0
96036,2026-08-30_09-10-39.038-240,v3.6.25,3.51,12.0,400,7085,2565,1702,6773,2618,2820,6975,2463,1710,6965,2356,1659,0,0,0,-10,-107,-51,119.0,782.6,0.410,1.106,0.134,44.703,-2.078,-64.953,137.3,1,0.8515,0.4899,0.0510,0.1800,21.0,-5.1,0.0
96086,2026-08-30_09-10-40.087-240,v3.6.25,3.51,12.0,400,7197,2576,1193,6773,2618,2820,7088,2482,1204,6965,2356,1659,0,0,0,-123,-126,455,487.9,3209.8,0.321,0.958,0.082,51.031,-0.281,-72.656,446.9,1,0.8430,0.5038,0.0530,0.1809,21.1,-5.3,0.0
96112,2026-08-30_09-10-40.114-240,v3.6.25,3.51,12.0,400,7197,2576,1193,6976,2635,2276,7088,2482,1204,7076,2365,1094,0,0,0,-12,-117,-110,161.0,1059.5,0.256,0.907,0.048,59.500,-1.328,-84.812,172.6,1,0.8329,0.5198,0.0553,0.1817,21.2,-5.6,0.0
96141,2026-08-30_09-10-40.143-240,v3.6.25,3.51,12.0,400,7276,2584,623,6976,2635,2276,7167,2500,638,7076,2365,1094,0,0,0,-91,-135,456,484.2,3185.5,0.257,0.974,0.012,71.688,-0.781,-96.828,443.8,1,0.8208,0.5380,0.0576,0.1830,21.4,-5.9,0.0
