time_ms,timestamp,version,voltage,audio_gain,cc,refX_raw,refY_raw,refZ_raw,tipX_raw,tipY_raw,tipZ_raw,refX_cal,refY_cal,refZ_cal,tipX_cal,tipY_cal,tipZ_cal,calOffsetX,calOffsetY,calOffsetZ,gradX,gradY,gradZ,mag,nT,accX,accY,accZ,gyrX,gyrY,gyrZ,imu_temp,freq,is_muted,QW,QX,QY,QZ,Azimuth,Elevation,Declination
833834,2026-09-09_15-24-43.835-240,v5.1.2,3.47,12.0,400,3109,6033,3906,2530,6062,4437,19755.44,39259.90,25076.53,19896.90,39232.02,25639.12,0.00,0.00,0.00,141.45,-27.88,562.60,580.78,580.78,0.605,0.107,0.883,-7.375,-0.125,0.328,7810,111.5,0,-0.9154,0.0353,-0.2293,-0.3289,40.8,26.3,0.0
833857,2026-09-09_15-24-43.859-240,v5.1.2,3.47,12.0,400,3094,6036,3883,2528,6067,4448,19656.16,39283.07,24925.88,19895.26,39266.02,25711.80,0.00,0.00,0.00,239.10,-17.05,785.92,821.66,821.66,0.591,0.091,0.890,-7.328,-0.625,0.594,7810,142.3,0,-0.9157,0.0362,-0.2293,-0.3281,40.7,26.3,0.0
833880,2026-09-09_15-24-43.883-240,v5.1.2,3.47,12.0,400,3089,6027,3922,2529,6064,4452,19623.81,39220.00,25181.68,19906.82,39246.99,25736.50,0.00,0.00,0.00,283.02,26.99,554.82,623.42,623.42,0.602,0.098,0.890,-7.047,-1.484,0.625,7810,117.0,0,-0.9160,0.0367,-0.2289,-0.3275,40.6,26.3,0.0
833901,2026-09-09_15-24-43.902-240,v5.1.2,3.47,12.0,400,3081,6038,3927,2488,6063,4433,19570.24,39292.67,25213.23,19615.49,39235.93,25660.23,0.00,0.00,0.00,45.25,-56.74,447.01,452.86,452.86,0.607,0.097,0.912,-7.750,-1.281,1.859,7810,95.2,0,-0.9162,0.0375,-0.2287,-0.3269,40.5,26.3,0.0
833922,2026-09-09_15-24-43.922-240,v5.1.2,3.47,12.0,400,3095,6028,3942,2481,6056,4441,19663.38,39224.16,25312.30,19579.46,39190.88,25719.69,0.00,0.00,0.00,-83.92,-33.28,407.39,417.28,417.28,0.616,0.083,0.920,-6.812,-1.453,1.266,7810,90.7,0,-0.9164,0.0383,-0.2284,-0.3264,40.4,26.3,0.0
833943,2026-09-09_15-24-43.945-240,v5.1.2,3.47,12.0,400,3122,6031,3942,2456,6064,4449,19841.47,39242.14,25312.03,19422.42,39242.95,25798.63,0.00,0.00,0.00,-419.04,0.81,486.61,642.17,642.17,0.624,0.082,0.912,-5.500,-1.172,-0.531,7810,119.4,0,-0.9167,0.0386,-0.2279,-0.3259,40.3,26.3,0.0
833966,2026-09-09_15-24-43.967-240,v5.1.2,3.47,12.0,400,3073,6034,3923,2517,6059,4469,19517.68,39267.20,25187.48,19847.63,39215.93,25859.26,0.00,0.00,0.00,329.95,-51.27,671.77,750.18,750.18,0.622,0.073,0.901,-3.891,-0.953,-2.844,7802,133.1,0,-0.9170,0.0387,-0.2276,-0.3252,40.2,26.3,0.0
833987,2026-09-09_15-24-43.989-240,v5.1.2,3.47,12.0,400,3108,6034,3945,2485,6061,4464,19748.82,39262.59,25331.31,19630.84,39226.75,25862.75,0.00,0.00,0.00,-117.99,-35.84,531.44,545.56,545.56,0.605,0.074,0.886,-1.938,-1.062,-5.156,7802,107.0,0,-0.9173,0.0381,-0.2276,-0.3246,40.1,26.2,0.0
834010,2026-09-09_15-24-43.012-240,v5.1.2,3.47,12.0,400,3099,6027,3924,2487,6058,4462,19689.84,39219.12,25194.77,19642.25,39206.98,25847.79,0.00,0.00,0.00,-47.59,-12.14,653.03,654.87,654.87,0.595,0.106,0.881,-0.656,-1.125,-7.062,7802,121.0,0,-0.9174,0.0362,-0.2281,-0.3240,40.1,26.2,0.0
834031,2026-09-09_15-24-43.033-240,v5.1.2,3.47,12.0,400,3117,6028,3939,2480,6057,4436,19808.65,39222.97,25292.72,19567.10,39196.71,25688.66,0.00,0.00,0.00,-241.55,-26.27,395.94,464.54,464.54,0.608,0.166,0.892,-2.281,-1.016,-5.969,7802,96.7,0,-0.9175,0.0342,-0.2286,-0.3236,40.1,26.2,0.0
834051,2026-09-09_15-24-43.052-240,v5.1.2,3.47,12.0,400,3086,6024,3931,2517,6053,4443,19604.21,39199.47,25240.80,19819.41,39173.33,25692.51,0.00,0.00,0.00,215.20,-26.14,451.71,501.03,501.03,0.620,0.206,0.905,-6.109,-0.156,-1.625,7802,101.4,0,-0.9176,0.0334,-0.2289,-0.3233,40.1,26.2,0.0
834070,2026-09-09_15-24-44.072-240,v5.1.2,3.47,12.0,400,3130,6029,3944,2469,6057,4443,19894.43,39228.18,25325.31,19502.47,39197.07,25745.88,0.00,0.00,0.00,-391.96,-31.11,420.57,575.74,575.74,0.643,0.199,0.879,-11.250,0.266,4.297,7802,110.9,0,-0.9177,0.0338,-0.2286,-0.3231,40.1,26.2,0.0
834092,2026-09-09_15-24-44.092-240,v5.1.2,3.47,12.0,400,3116,6031,3949,2467,6063,4461,19801.86,39241.83,25357.77,19508.54,39238.52,25863.47,0.00,0.00,0.00,-293.32,-3.31,505.71,584.62,584.62,0.627,0.141,0.910,-13.922,0.844,6.938,7802,112.0,0,-0.9179,0.0352,-0.2282,-0.3227,40.0,26.2,0.0
