time_ms,timestamp,version,voltage,audio_gain,cc,refX_raw,refY_raw,refZ_raw,tipX_raw,tipY_raw,tipZ_raw,refX_cal,refY_cal,refZ_cal,tipX_cal,tipY_cal,tipZ_cal,calOffsetX,calOffsetY,calOffsetZ,gradX,gradY,gradZ,mag,nT,accX,accY,accZ,gyrX,gyrY,gyrZ,imu_temp,freq,is_muted,QW,QX,QY,QZ,Azimuth,Elevation,Declination
1862079,2026-09-09_15-41-51.080-240,v5.1.2,3.45,12.0,400,6905,2695,-2345,7294,3000,-1047,45039.50,17598.33,-15431.66,45623.60,18746.08,-14772.76,0.00,0.00,0.00,584.11,1147.76,658.90,1446.61,1446.61,0.241,1.095,0.028,-4.203,-0.953,-0.109,8189,222.0,0,-0.6923,-0.5901,-0.2318,-0.3445,48.9,-4.9,0.0
1862102,2026-09-09_15-41-51.105-240,v5.1.2,3.45,12.0,400,6866,2688,-2346,7294,2992,-1042,44782.44,17554.85,-15437.54,45630.49,18694.46,-14740.33,0.00,0.00,0.00,848.05,1139.61,697.20,1582.40,1582.40,0.239,1.092,0.033,-3.859,-0.781,0.203,8189,239.3,0,-0.6923,-0.5901,-0.2318,-0.3445,48.9,-4.9,0.0
1862127,2026-09-09_15-41-51.127-240,v5.1.2,3.45,12.0,400,6881,2692,-2348,7292,3003,-1042,44881.22,17580.45,-15451.00,45615.55,18766.24,-14738.54,0.00,0.00,0.00,734.33,1185.79,712.46,1566.19,1566.19,0.233,1.096,0.017,-4.500,-0.938,0.359,8189,237.2,0,-0.6923,-0.5901,-0.2318,-0.3445,48.9,-4.9,0.0
1862146,2026-09-09_15-41-52.147-240,v5.1.2,3.45,12.0,400,6892,2695,-2346,7330,2999,-1049,44953.65,17599.31,-15438.22,45858.74,18741.09,-14825.71,0.00,0.00,0.00,905.09,1141.78,612.51,1580.51,1580.51,0.240,1.087,0.023,-4.219,-0.719,0.266,8189,239.1,0,-0.6923,-0.5901,-0.2318,-0.3446,48.9,-4.9,0.0
1862167,2026-09-09_15-41-52.167-240,v5.1.2,3.45,12.0,400,6877,2684,-2347,7338,2990,-1053,44855.35,17527.79,-15443.65,45908.40,18682.16,-14859.97,0.00,0.00,0.00,1053.05,1154.36,583.68,1667.98,1667.98,0.238,1.096,0.035,-4.312,-0.812,0.266,8189,250.2,0,-0.6924,-0.5900,-0.2319,-0.3446,48.9,-4.9,0.0
1862187,2026-09-09_15-41-52.188-240,v5.1.2,3.45,12.0,400,6904,2696,-2345,7312,3005,-1041,45032.82,17605.00,-15431.77,45748.14,18780.44,-14754.50,0.00,0.00,0.00,715.32,1175.44,677.27,1533.64,1533.64,0.241,1.093,0.006,-3.953,-0.500,0.266,8189,233.1,0,-0.6923,-0.5900,-0.2318,-0.3447,48.9,-4.9,0.0
1862209,2026-09-09_15-41-52.210-240,v5.1.2,3.45,12.0,400,6872,2685,-2355,7286,2993,-1034,44822.25,17535.55,-15496.04,45586.59,18701.63,-14680.07,0.00,0.00,0.00,764.34,1166.09,815.97,1615.48,1615.48,0.240,1.096,0.028,-4.234,-0.531,0.375,8189,243.5,0,-0.6923,-0.5900,-0.2319,-0.3448,48.9,-4.9,0.0
1862228,2026-09-09_15-41-52.228-240,v5.1.2,3.45,12.0,400,6894,2692,-2352,7321,3008,-1043,44967.05,17579.97,-15477.12,45804.73,18800.24,-14777.50,0.00,0.00,0.00,837.67,1220.26,699.63,1637.14,1637.14,0.237,1.093,0.028,-3.859,-1.000,0.203,8179,246.3,0,-0.6923,-0.5900,-0.2319,-0.3448,48.9,-4.9,0.0
1862247,2026-09-09_15-41-52.249-240,v5.1.2,3.45,12.0,400,6906,2692,-2340,7318,3000,-1043,45046.31,17577.94,-15398.68,45786.24,18747.81,-14773.83,0.00,0.00,0.00,739.93,1169.87,624.84,1518.72,1518.72,0.239,1.098,0.036,-4.094,-1.109,0.406,8179,231.2,0,-0.6923,-0.5900,-0.2318,-0.3448,48.9,-4.9,0.0
1862269,2026-09-09_15-41-52.269-240,v5.1.2,3.45,12.0,400,6904,2693,-2341,7274,3002,-1046,45033.04,17584.78,-15405.32,45492.61,18758.29,-14744.11,0.00,0.00,0.00,459.58,1173.51,661.20,1423.21,1423.21,0.237,1.093,0.028,-4.516,-0.938,0.203,8179,219.0,0,-0.6924,-0.5899,-0.2318,-0.3448,48.9,-4.9,0.0
