time_ms,timestamp,version,voltage,audio_gain,cc,refX_raw,refY_raw,refZ_raw,tipX_raw,tipY_raw,tipZ_raw,refX_cal,refY_cal,refZ_cal,tipX_cal,tipY_cal,tipZ_cal,calOffsetX,calOffsetY,calOffsetZ,gradX,gradY,gradZ,mag,nT,accX,accY,accZ,gyrX,gyrY,gyrZ,imu_temp,freq,is_muted,QW,QX,QY,QZ,Azimuth,Elevation,Declination
1188948,2026-09-09_15-30-38.949-240,v5.1.2,3.44,12.0,400,6883,2692,-2300,7289,2923,-1027,44894.49,17575.42,-15137.29,45625.41,18245.26,-14635.70,0.00,0.00,0.00,730.92,669.84,501.59,1111.09,1111.09,0.243,1.093,0.031,-4.453,-0.703,0.297,7965,179.2,0,-0.6948,-0.5877,-0.2303,-0.3447,48.8,-4.9,0.0
1188968,2026-09-09_15-30-38.970-240,v5.1.2,3.44,12.0,400,6886,2695,-2295,7334,2928,-1037,44914.10,17594.52,-15104.91,45909.91,18278.88,-14750.30,0.00,0.00,0.00,995.81,684.36,354.61,1259.26,1259.26,0.246,1.095,0.029,-3.938,-0.438,-0.094,7965,198.1,0,-0.6948,-0.5877,-0.2303,-0.3447,48.8,-4.9,0.0
1188992,2026-09-09_15-30-38.992-240,v5.1.2,3.44,12.0,400,6897,2687,-2297,7282,2921,-1026,44987.28,17541.15,-15117.15,45580.72,18231.97,-14621.39,0.00,0.00,0.00,593.45,690.82,495.76,1036.91,1036.91,0.242,1.095,0.030,-4.156,-0.469,0.359,7965,169.7,0,-0.6947,-0.5877,-0.2303,-0.3448,48.8,-4.9,0.0
1189013,2026-09-09_15-30-38.013-240,v5.1.2,3.44,12.0,400,6883,2689,-2292,7326,2922,-1028,44894.70,17554.79,-15084.70,45868.26,18240.44,-14683.34,0.00,0.00,0.00,973.56,685.65,401.36,1256.59,1256.59,0.245,1.091,0.032,-4.094,-0.781,0.266,7965,197.7,0,-0.6947,-0.5878,-0.2303,-0.3448,48.8,-4.9,0.0
1189034,2026-09-09_15-30-38.035-240,v5.1.2,3.44,12.0,400,6889,2687,-2284,7360,2925,-1038,44934.46,17540.36,-15032.20,46080.59,18260.44,-14785.60,0.00,0.00,0.00,1146.13,720.08,246.61,1375.84,1375.84,0.245,1.094,0.031,-4.250,-0.578,0.031,7965,213.0,0,-0.6947,-0.5878,-0.2303,-0.3447,48.8,-4.9,0.0
1189057,2026-09-09_15-30-38.059-240,v5.1.2,3.44,12.0,400,6890,2687,-2304,7284,2922,-1019,44941.04,17542.34,-15162.91,45601.60,18239.51,-14578.70,0.00,0.00,0.00,660.55,697.18,584.21,1124.14,1124.14,0.248,1.093,0.035,-4.734,-0.609,0.125,7965,180.8,0,-0.6948,-0.5877,-0.2303,-0.3447,48.8,-4.9,0.0
1189077,2026-09-09_15-30-38.078-240,v5.1.2,3.44,12.0,400,6893,2695,-2289,7337,2931,-1036,44960.33,17593.43,-15065.69,45930.32,18298.76,-14747.34,0.00,0.00,0.00,970.00,705.34,318.35,1240.86,1240.86,0.243,1.093,0.029,-4.531,-0.062,0.484,7959,195.7,0,-0.6948,-0.5876,-0.2304,-0.3447,48.8,-4.9,0.0
1189097,2026-09-09_15-30-39.099-240,v5.1.2,3.44,12.0,400,6890,2692,-2301,7323,2925,-1026,44940.71,17575.04,-15143.81,45850.25,18260.16,-14667.27,0.00,0.00,0.00,909.54,685.11,476.55,1234.40,1234.40,0.245,1.092,0.030,-4.406,-0.391,0.078,7959,194.9,0,-0.6948,-0.5876,-0.2304,-0.3447,48.8,-4.9,0.0
1189119,2026-09-09_15-30-39.120-240,v5.1.2,3.44,12.0,400,6899,2691,-2302,7287,2921,-1015,45000.20,17567.93,-15150.24,45626.02,18233.65,-14556.32,0.00,0.00,0.00,625.82,665.71,593.92,1089.75,1089.75,0.245,1.092,0.032,-4.219,-1.000,0.422,7959,176.5,0,-0.6948,-0.5877,-0.2303,-0.3447,48.8,-4.9,0.0
1189142,2026-09-09_15-30-39.142-240,v5.1.2,3.44,12.0,400,6889,2687,-2296,7295,2923,-1026,44934.45,17541.59,-15110.63,45666.07,18245.69,-14635.97,0.00,0.00,0.00,731.62,704.10,474.66,1120.86,1120.86,0.250,1.092,0.028,-4.016,-0.312,-0.047,7959,180.4,0,-0.6948,-0.5877,-0.2304,-0.3447,48.8,-4.9,0.0
1189160,2026-09-09_15-30-39.160-240,v5.1.2,3.44,12.0,400,6890,2691,-2288,7331,2934,-1038,44940.80,17567.12,-15058.75,45888.06,18317.81,-14753.61,0.00,0.00,0.00,947.26,750.69,305.14,1246.57,1246.57,0.246,1.095,0.030,-3.953,-0.312,0.125,7959,196.5,0,-0.6947,-0.5877,-0.2304,-0.3448,48.8,-4.9,0.0
1189179,2026-09-09_15-30-39.180-240,v5.1.2,3.44,12.0,400,6872,2691,-2287,7359,2927,-1033,44821.94,17568.23,-15052.24,46079.30,18274.11,-14752.45,0.00,0.00,0.00,1257.36,705.88,299.79,1472.78,1472.78,0.244,1.092,0.029,-4.406,-0.703,-0.047,7959,225.3,0,-0.6947,-0.5877,-0.2304,-0.3447,48.8,-4.9,0.0
1189203,2026-09-09_15-30-39.205-240,v5.1.2,3.44,12.0,400,6891,2688,-2299,7289,2922,-1026,44947.59,17548.36,-15130.33,45626.69,18238.85,-14629.24,0.00,0.00,0.00,679.11,690.49,501.10,1090.44,1090.44,0.243,1.093,0.034,-3.984,-0.453,0.375,7959,176.6,0,-0.6947,-0.5877,-0.2304,-0.3448,48.8,-4.9,0.0
1189245,2026-09-09_15-30-39.245-240,v5.1.2,3.44,12.0,400,6890,2696,-2305,7284,2921,-1022,44940.43,17601.87,-15170.36,45598.39,18232.59,-14597.93,0.00,0.00,0.00,657.96,630.72,572.43,1076.29,1076.29,0.244,1.094,0.030,-4.438,-0.344,0.109,7955,174.7,0,-0.6947,-0.5877,-0.2305,-0.3447,48.8,-4.9,0.0
1189265,2026-09-09_15-30-39.267-240,v5.1.2,3.44,12.0,400,6851,2686,-2289,7338,2918,-1039,44683.60,17536.85,-15064.83,45935.62,18213.47,-14767.21,0.00,0.00,0.00,1252.02,676.62,297.62,1453.95,1453.95,0.244,1.093,0.038,-4.438,-0.250,0.469,7955,222.9,0,-0.6948,-0.5876,-0.2305,-0.3448,48.8,-4.9,0.0
1189287,2026-09-09_15-30-39.287-240,v5.1.2,3.44,12.0,400,6903,2691,-2291,7306,2929,-1032,45026.63,17566.54,-15078.34,45730.86,18284.67,-14687.00,0.00,0.00,0.00,704.23,718.12,391.34,1079.25,1079.25,0.247,1.097,0.033,-4.422,-0.703,0.125,7955,175.1,0,-0.6948,-0.5876,-0.2305,-0.3447,48.8,-4.9,0.0
1189307,2026-09-09_15-30-39.307-240,v5.1.2,3.44,12.0,400,6863,2696,-2300,7324,2931,-1017,44762.15,17603.19,-15137.72,45865.98,18300.59,-14610.82,0.00,0.00,0.00,1103.83,697.40,526.90,1407.99,1407.99,0.248,1.091,0.033,-4.031,-0.375,0.406,7955,217.1,0,-0.6948,-0.5876,-0.2305,-0.3448,48.8,-4.9,0.0
1189327,2026-09-09_15-30-39.329-240,v5.1.2,3.45,12.0,400,6885,2717,-2299,7292,2946,-1037,44906.00,17740.26,-15133.30,45630.28,18394.40,-14704.17,0.00,0.00,0.00,724.28,654.14,429.12,1066.13,1066.13,0.244,1.094,0.030,-3.797,-0.406,0.969,7955,173.4,0,-0.6948,-0.5876,-0.2304,-0.3449,48.8,-4.9,0.0
1189348,2026-09-09_15-30-39.350-240,v5.1.2,3.45,12.0,400,6906,2691,-2298,7319,2931,-1031,45046.43,17567.05,-15124.08,45817.33,18298.51,-14695.16,0.00,0.00,0.00,770.89,731.46,428.93,1145.99,1145.99,0.245,1.094,0.033,-4.125,-0.203,0.562,7955,183.6,0,-0.6948,-0.5875,-0.2304,-0.3450,48.8,-4.9,0.0
1189371,2026-09-09_15-30-39.372-240,v5.1.2,3.45,12.0,400,6873,2684,-2301,7293,2921,-1032,44828.99,17523.37,-15143.02,45646.47,18231.74,-14672.19,0.00,0.00,0.00,817.48,708.37,470.83,1179.72,1179.72,0.243,1.094,0.033,-4.312,-0.297,3.938,7959,187.9,0,-0.6950,-0.5872,-0.2300,-0.3454,48.9,-4.9,0.0
1189390,2026-09-09_15-30-39.390-240,v5.1.2,3.45,12.0,400,6884,2689,-2294,7341,2931,-1024,44901.30,17554.93,-15097.77,45970.15,18300.53,-14674.73,0.00,0.00,0.00,1068.85,745.60,423.03,1370.15,1370.15,0.246,1.092,0.032,-3.844,-0.828,0.609,7959,212.2,0,-0.6950,-0.5872,-0.2299,-0.3454,48.8,-4.9,0.0
1189410,2026-09-09_15-30-39.412-240,v5.1.2,3.45,12.0,400,6881,2689,-2285,7330,2926,-1034,44881.51,17554.21,-15038.95,45887.24,18266.00,-14726.49,0.00,0.00,0.00,1005.73,711.78,312.46,1271.13,1271.13,0.245,1.093,0.028,-4.703,-0.406,0.438,7959,199.6,0,-0.6951,-0.5871,-0.2299,-0.3454,48.8,-4.9,0.0
1189434,2026-09-09_15-30-39.434-240,v5.1.2,3.45,12.0,400,6888,2712,-2305,7290,2919,-1017,44926.14,17707.66,-15172.00,45643.86,18220.47,-14572.43,0.00,0.00,0.00,717.72,512.81,599.57,1066.58,1066.58,0.245,1.094,0.032,-4.531,-0.438,0.000,7959,173.5,0,-0.6951,-0.5871,-0.2300,-0.3454,48.8,-4.9,0.0
1189452,2026-09-09_15-30-39.453-240,v5.1.2,3.45,12.0,400,6911,2697,-2292,7307,2923,-1036,45079.05,17605.72,-15085.48,45733.92,18244.98,-14713.57,0.00,0.00,0.00,654.87,639.26,371.91,987.84,987.84,0.245,1.096,0.035,-4.266,-0.578,0.188,7959,163.5,0,-0.6951,-0.5871,-0.2300,-0.3454,48.8,-4.9,0.0
1189472,2026-09-09_15-30-39.472-240,v5.1.2,3.45,12.0,400,6899,2698,-2299,7337,2921,-1045,44999.73,17613.85,-15131.34,45921.82,18232.24,-14804.75,0.00,0.00,0.00,922.09,618.39,326.60,1157.29,1157.29,0.244,1.092,0.029,-4.375,-0.625,0.094,7959,185.1,0,-0.6951,-0.5871,-0.2300,-0.3453,48.8,-4.9,0.0
