time_ms,timestamp,version,voltage,audio_gain,cc,refX_raw,refY_raw,refZ_raw,tipX_raw,tipY_raw,tipZ_raw,refX_cal,refY_cal,refZ_cal,tipX_cal,tipY_cal,tipZ_cal,calOffsetX,calOffsetY,calOffsetZ,gradX,gradY,gradZ,mag,nT,accX,accY,accZ,gyrX,gyrY,gyrZ,imu_temp,freq,is_muted,QW,QX,QY,QZ,Azimuth,Elevation,Declination
668109,2026-09-09_15-21-58.110-240,v5.1.2,3.45,12.0,3200,57577,20911,-7695,59067,21475,2410,46975.80,16901.80,-6383.56,47776.23,16863.61,-6201.01,0.00,0.00,0.00,800.43,-38.18,182.55,821.87,821.87,0.299,1.087,0.050,-4.500,-1.188,0.156,7720,142.3,0,-0.7313,-0.5866,-0.1754,-0.3005,40.4,-5.5,0.0
668217,2026-09-09_15-21-58.217-240,v5.1.2,3.45,12.0,3200,57583,20965,-7740,59117,21521,2364,46980.29,16946.89,-6421.01,47810.04,16900.75,-6245.13,0.00,0.00,0.00,829.75,-46.14,175.87,849.44,849.44,0.298,1.088,0.057,-4.219,-0.906,0.234,7720,145.8,0,-0.7315,-0.5864,-0.1754,-0.3005,40.4,-5.5,0.0
668323,2026-09-09_15-21-58.324-240,v5.1.2,3.45,12.0,3200,57598,20892,-7665,59120,21456,2440,46993.30,16885.55,-6358.80,47824.47,16848.91,-6184.22,0.00,0.00,0.00,831.17,-36.64,174.59,850.10,850.10,0.299,1.087,0.050,-4.469,-0.844,0.359,7723,145.9,0,-0.7318,-0.5861,-0.1753,-0.3004,40.4,-5.5,0.0
668428,2026-09-09_15-21-58.429-240,v5.1.2,3.45,12.0,3200,57525,20895,-7771,59044,21445,2373,46933.00,16890.00,-6445.45,47752.69,16838.36,-6227.36,0.00,0.00,0.00,819.69,-51.63,218.09,849.78,849.78,0.299,1.085,0.051,-4.266,-0.953,0.328,7716,145.9,0,-0.7319,-0.5860,-0.1751,-0.3004,40.4,-5.5,0.0
668533,2026-09-09_15-21-58.534-240,v5.1.2,3.45,12.0,3200,57532,20919,-7771,59075,21472,2345,46938.57,16909.75,-6445.75,47773.75,16860.15,-6254.29,0.00,0.00,0.00,835.18,-49.59,191.46,858.28,858.28,0.298,1.087,0.048,-4.438,-1.312,0.453,7718,146.9,0,-0.7322,-0.5859,-0.1747,-0.3002,40.3,-5.5,0.0
668638,2026-09-09_15-21-58.639-240,v5.1.2,3.45,12.0,3200,57544,20878,-7779,59098,21462,2361,46948.83,16875.91,-6451.77,47795.14,16852.39,-6244.60,0.00,0.00,0.00,846.32,-23.52,207.16,871.62,871.62,0.297,1.086,0.053,-4.594,-0.719,0.250,7718,148.6,0,-0.7324,-0.5856,-0.1749,-0.3001,40.3,-5.5,0.0
668743,2026-09-09_15-21-58.744-240,v5.1.2,3.45,12.0,3200,57570,20910,-7792,59116,21502,2361,46970.01,16902.27,-6462.79,47809.17,16885.18,-6247.31,0.00,0.00,0.00,839.16,-17.09,215.48,866.55,866.55,0.300,1.089,0.051,-4.000,-0.703,0.203,7717,148.0,0,-0.7323,-0.5856,-0.1749,-0.3003,40.4,-5.5,0.0
668848,2026-09-09_15-21-58.849-240,v5.1.2,3.45,12.0,3200,57551,20897,-7773,59104,21450,2391,46954.45,16891.46,-6447.10,47804.54,16843.12,-6221.29,0.00,0.00,0.00,850.09,-48.34,225.81,880.90,880.90,0.301,1.085,0.051,-0.453,-0.609,0.453,7716,149.8,0,-0.7305,-0.5872,-0.1737,-0.3024,40.5,-5.8,0.0
668954,2026-09-09_15-21-58.955-240,v5.1.2,3.45,12.0,3200,57526,20911,-7745,59066,21497,2378,46933.70,16902.87,-6424.41,47770.47,16881.06,-6226.67,0.00,0.00,0.00,836.78,-21.81,197.75,860.10,860.10,0.301,1.086,0.050,-4.125,-0.672,-0.047,7716,147.2,0,-0.7305,-0.5871,-0.1739,-0.3024,40.5,-5.8,0.0
669059,2026-09-09_15-21-59.060-240,v5.1.2,3.45,12.0,3200,57510,20971,-7770,59042,21518,2359,46919.97,16952.84,-6445.60,47747.62,16897.75,-6238.68,0.00,0.00,0.00,827.64,-55.09,206.93,854.90,854.90,0.301,1.087,0.049,-4.203,-0.906,0.219,7719,146.5,0,-0.7306,-0.5870,-0.1738,-0.3023,40.5,-5.8,0.0
