time_ms,timestamp,version,voltage,audio_gain,cc,refX_raw,refY_raw,refZ_raw,tipX_raw,tipY_raw,tipZ_raw,refX_cal,refY_cal,refZ_cal,tipX_cal,tipY_cal,tipZ_cal,calOffsetX,calOffsetY,calOffsetZ,gradX,gradY,gradZ,mag,nT,accX,accY,accZ,gyrX,gyrY,gyrZ,imu_temp,freq,is_muted,QW,QX,QY,QZ,Azimuth,Elevation,Declination
23102,2026-09-17_13-26-56.103-240,v5.1.4,3.45,17.0,400,-1162,1999,7399,-2254,1754,7176,-7862.85,12238.56,48101.94,-7429.30,12272.51,48359.82,0.00,0.00,0.00,433.55,33.95,257.88,505.59,505.59,0.660,0.055,0.865,-3.891,-0.641,-2.547,6566,283.3,0,0.6534,0.1487,0.0994,-0.7356,263.8,20.4,0.0
23122,2026-09-17_13-26-56.123-240,v5.1.4,3.45,17.0,400,-1182,1978,7397,-2233,1748,7183,-7994.04,12101.75,48090.34,-7281.93,12236.71,48382.50,0.00,0.00,0.00,712.11,134.96,292.16,781.46,781.46,0.674,0.068,0.864,-6.125,-0.438,0.734,6561,341.0,0,0.6531,0.1488,0.0988,-0.7359,263.7,20.4,0.0
23141,2026-09-17_13-26-56.142-240,v5.1.4,3.45,17.0,400,-1175,1985,7427,-2260,1731,7199,-7948.09,12143.10,48285.36,-7438.41,12126.08,48516.55,0.00,0.00,0.00,509.68,-17.03,231.19,559.92,559.92,0.685,0.018,0.867,-7.406,-0.250,2.734,6561,296.1,0,0.6527,0.1476,0.0995,-0.7364,263.6,20.3,0.0
23162,2026-09-17_13-26-56.164-240,v5.1.4,3.45,17.0,400,-1148,1981,7409,-2277,1728,7167,-7769.26,12117.11,48168.35,-7585.25,12098.79,48329.70,0.00,0.00,0.00,184.01,-18.32,161.34,245.41,245.41,0.689,-0.038,0.867,-5.562,-0.484,-0.906,6561,204.3,0,0.6522,0.1467,0.1001,-0.7370,263.5,20.3,0.0
23185,2026-09-17_13-26-56.186-240,v5.1.4,3.45,17.0,400,-1178,1991,7402,-2266,1749,7176,-7968.27,12186.57,48122.03,-7507.28,12238.68,48373.43,0.00,0.00,0.00,461.00,52.12,251.40,527.67,527.67,0.684,-0.031,0.879,-1.250,0.328,-7.156,6561,288.6,0,0.6515,0.1470,0.0999,-0.7376,263.4,20.3,0.0
23204,2026-09-17_13-26-56.205-240,v5.1.4,3.45,17.0,400,-1173,1991,7405,-2225,1730,7179,-7935.19,12185.74,48141.59,-7229.84,12119.21,48349.87,0.00,0.00,0.00,705.35,-66.53,208.28,738.46,738.46,0.691,0.013,0.858,0.578,0.406,-10.484,6561,333.0,0,0.6508,0.1474,0.0987,-0.7382,263.3,20.3,0.0
23223,2026-09-17_13-26-56.225-240,v5.1.4,3.45,17.0,400,-1114,1968,7404,-2283,1731,7209,-7543.64,12029.24,48136.68,-7578.81,12125.71,48605.95,0.00,0.00,0.00,-35.17,96.47,469.27,480.37,480.37,0.689,0.051,0.863,0.016,0.641,-9.812,6561,277.1,0,0.6502,0.1485,0.0967,-0.7388,263.2,20.2,0.0
23245,2026-09-17_13-26-56.245-240,v5.1.4,3.45,17.0,400,-1126,1985,7421,-2193,1743,7213,-7623.93,12140.04,48246.28,-6984.10,12213.64,48532.20,0.00,0.00,0.00,639.82,73.60,285.91,704.65,704.65,0.677,0.069,0.866,-1.781,0.969,-8.031,6561,326.5,0,0.6495,0.1501,0.0950,-0.7393,263.2,20.2,0.0
23263,2026-09-17_13-26-56.264-240,v5.1.4,3.45,17.0,400,-1091,1965,7409,-2219,1729,7211,-7391.32,12006.87,48169.48,-7154.60,12119.30,48549.13,0.00,0.00,0.00,236.71,112.44,379.65,461.31,461.31,0.663,0.079,0.859,-3.859,0.859,-5.594,6560,272.2,0,0.6489,0.1513,0.0939,-0.7398,263.1,20.2,0.0
23281,2026-09-17_13-26-56.281-240,v5.1.4,3.45,17.0,400,-1092,1970,7422,-2213,1733,7217,-7398.19,12038.10,48253.85,-7109.28,12147.14,48580.75,0.00,0.00,0.00,288.91,109.04,326.89,449.69,449.69,0.663,0.077,0.850,-6.000,0.609,-3.797,6560,269.2,0,0.6483,0.1519,0.0932,-0.7402,263.1,20.2,0.0
