time_ms,timestamp,version,voltage,audio_gain,cc,refX_raw,refY_raw,refZ_raw,tipX_raw,tipY_raw,tipZ_raw,refX_cal,refY_cal,refZ_cal,tipX_cal,tipY_cal,tipZ_cal,calOffsetX,calOffsetY,calOffsetZ,gradX,gradY,gradZ,mag,nT,accX,accY,accZ,gyrX,gyrY,gyrZ,imu_temp,freq,is_muted,QW,QX,QY,QZ,Azimuth,Elevation,Declination
3683493,2026-09-11_09-25-01.493-240,v5.1.3,3.43,12.0,400,2332,5906,4574,1815,5778,4990,15040.72,38169.67,29425.99,16091.31,38533.68,29459.69,0.00,0.00,0.00,1050.59,364.00,33.70,1112.37,1112.37,0.593,0.124,0.929,-5.406,1.078,1.047,10782,179.3,0,-0.9435,-0.0022,-0.2388,-0.2299,29.1,26.7,0.0
3683518,2026-09-11_09-25-01.518-240,v5.1.3,3.43,12.0,400,2327,5918,4573,1808,5786,5003,15007.00,38249.47,29418.65,16057.93,38587.68,29550.09,0.00,0.00,0.00,1050.93,338.21,131.44,1111.81,1111.81,0.596,0.111,0.930,-5.047,0.188,1.391,10782,179.3,0,-0.9435,-0.0014,-0.2390,-0.2296,29.1,26.8,0.0
3683539,2026-09-11_09-25-01.540-240,v5.1.3,3.43,12.0,400,2326,5915,4571,1804,5783,4990,15000.54,38230.03,29405.82,16017.79,38565.24,29471.20,0.00,0.00,0.00,1017.25,335.21,65.37,1073.05,1073.05,0.584,0.099,0.945,-4.359,0.438,0.906,10782,174.3,0,-0.9434,-0.0007,-0.2394,-0.2294,29.0,26.8,0.0
3683557,2026-09-11_09-25-01.558-240,v5.1.3,3.43,12.0,400,2335,5915,4562,1817,5788,4983,15060.08,38230.60,29347.18,16094.59,38597.85,29411.50,0.00,0.00,0.00,1034.52,367.25,64.32,1099.65,1099.65,0.589,0.121,0.945,-3.844,0.359,-0.594,10787,177.7,0,-0.9433,-0.0007,-0.2399,-0.2293,29.0,26.9,0.0
3683578,2026-09-11_09-25-01.578-240,v5.1.3,3.43,12.0,400,2339,5923,4563,1814,5792,4985,15086.11,38282.97,29353.15,16076.20,38624.05,29427.22,0.00,0.00,0.00,990.09,341.07,74.08,1049.81,1049.81,0.584,0.140,0.946,-3.688,-0.688,-0.922,10787,171.4,0,-0.9433,-0.0010,-0.2402,-0.2291,29.0,26.9,0.0
3683603,2026-09-11_09-25-01.603-240,v5.1.3,3.43,12.0,400,2322,5919,4560,1815,5796,4983,14973.86,38258.35,29333.86,16079.71,38649.88,29412.88,0.00,0.00,0.00,1105.86,391.53,79.01,1175.78,1175.78,0.578,0.141,0.929,-5.109,-0.531,0.641,10787,187.4,0,-0.9432,-0.0011,-0.2406,-0.2290,29.0,27.0,0.0
3683622,2026-09-11_09-25-01.623-240,v5.1.3,3.43,12.0,400,2331,5923,4565,1809,5801,4974,15033.19,38283.33,29366.18,16029.14,38680.25,29361.06,0.00,0.00,0.00,995.96,396.92,-5.11,1072.15,1072.15,0.579,0.127,0.940,-5.656,-0.453,1.031,10787,174.2,0,-0.9432,-0.0008,-0.2409,-0.2288,29.0,27.0,0.0
3683643,2026-09-11_09-25-01.643-240,v5.1.3,3.43,12.0,400,2329,5918,4567,1817,5791,4978,15020.22,38250.18,29379.55,16088.41,38616.49,29379.05,0.00,0.00,0.00,1068.18,366.32,-0.50,1129.25,1129.25,0.593,0.115,0.931,-5.531,-0.453,1.391,10787,181.5,0,-0.9432,-0.0003,-0.2409,-0.2286,29.0,27.0,0.0
3683668,2026-09-11_09-25-01.668-240,v5.1.3,3.43,12.0,400,2322,5924,4566,1808,5793,4976,14973.59,38290.51,29372.62,16026.48,38628.30,29375.82,0.00,0.00,0.00,1052.89,337.79,3.20,1105.75,1105.75,0.592,0.099,0.941,-4.438,-0.734,0.266,10787,178.5,0,-0.9433,0.0004,-0.2410,-0.2283,28.9,27.0,0.0
3683689,2026-09-11_09-25-01.690-240,v5.1.3,3.43,12.0,400,2311,5931,4564,1792,5796,4978,14900.45,38337.92,29359.10,15922.67,38646.69,29405.84,0.00,0.00,0.00,1022.22,308.77,46.74,1068.86,1068.86,0.601,0.106,0.942,-3.750,-0.656,-0.875,10784,173.8,0,-0.9434,0.0006,-0.2409,-0.2280,28.9,27.1,0.0
3683710,2026-09-11_09-25-01.711-240,v5.1.3,3.43,12.0,400,2325,5921,4557,1800,5794,4970,14993.59,38271.75,29314.18,15966.91,38632.91,29345.88,0.00,0.00,0.00,973.32,361.16,31.70,1038.65,1038.65,0.594,0.108,0.942,-2.875,-0.422,-1.453,10784,169.9,0,-0.9434,0.0005,-0.2412,-0.2278,28.8,27.1,0.0
3683733,2026-09-11_09-25-01.733-240,v5.1.3,3.43,12.0,400,2332,5925,4558,1808,5800,4976,15039.69,38297.46,29320.42,16024.99,38674.00,29375.12,0.00,0.00,0.00,985.30,376.54,54.69,1056.22,1056.22,0.595,0.123,0.941,-2.359,-0.484,-1.922,10784,172.2,0,-0.9433,-0.0000,-0.2414,-0.2277,28.9,27.1,0.0
3683756,2026-09-11_09-25-01.757-240,v5.1.3,3.43,12.0,400,2324,5928,4555,1808,5794,4969,14986.60,38318.35,29300.66,16018.50,38633.51,29330.72,0.00,0.00,0.00,1031.90,315.16,30.05,1079.37,1079.37,0.582,0.120,0.932,-2.750,-1.156,-2.609,10784,175.1,0,-0.9433,-0.0006,-0.2417,-0.2274,28.8,27.1,0.0
3683788,2026-09-11_09-25-01.789-240,v5.1.3,3.43,12.0,400,2329,5921,4560,1825,5800,4985,15020.06,38271.00,29333.73,16146.95,38677.36,29414.41,0.00,0.00,0.00,1126.89,406.36,80.68,1200.64,1200.64,0.599,0.139,0.912,-3.266,-1.172,-0.359,10784,190.6,0,-0.9434,-0.0017,-0.2412,-0.2276,28.9,27.0,0.0
3683810,2026-09-11_09-25-01.810-240,v5.1.3,3.43,12.0,400,2330,5929,4556,1809,5807,4976,15026.24,38324.33,29307.11,16030.09,38719.81,29373.32,0.00,0.00,0.00,1003.84,395.48,66.21,1080.97,1080.97,0.598,0.147,0.945,-4.500,-0.859,2.094,10784,175.3,0,-0.9434,-0.0019,-0.2413,-0.2277,28.9,27.0,0.0
3683833,2026-09-11_09-25-01.833-240,v5.1.3,3.43,12.0,400,2330,5928,4555,1827,5793,4964,15026.30,38317.87,29300.67,16138.32,38627.89,29277.93,0.00,0.00,0.00,1112.02,310.02,-22.73,1154.65,1154.65,0.601,0.127,0.942,-5.734,-0.531,2.766,10778,184.7,0,-0.9434,-0.0012,-0.2412,-0.2278,28.9,27.0,0.0
3683852,2026-09-11_09-25-01.853-240,v5.1.3,3.43,12.0,400,2326,5934,4562,1807,5800,4980,14999.52,38356.81,29345.87,16022.84,38674.66,29401.92,0.00,0.00,0.00,1023.33,317.84,56.05,1073.02,1073.02,0.606,0.111,0.923,-5.422,-0.672,2.500,10778,174.3,0,-0.9435,-0.0006,-0.2407,-0.2277,28.9,27.0,0.0
3683873,2026-09-11_09-25-01.873-240,v5.1.3,3.43,12.0,400,2334,5925,4557,1824,5793,4982,15052.92,38297.45,29313.91,16138.53,38630.99,29396.92,0.00,0.00,0.00,1085.61,333.55,83.02,1138.72,1138.72,0.588,0.105,0.933,-4.875,-0.922,0.891,10778,182.7,0,-0.9436,-0.0001,-0.2407,-0.2276,28.8,27.0,0.0
3683898,2026-09-11_09-25-01.898-240,v5.1.3,3.43,12.0,400,2321,5930,4564,1789,5797,4972,14966.66,38330.51,29359.17,15896.04,38651.79,29370.45,0.00,0.00,0.00,929.38,321.29,11.27,983.42,983.42,0.583,0.107,0.931,-3.688,-0.797,-0.641,10778,162.9,0,-0.9436,0.0001,-0.2409,-0.2273,28.8,27.0,0.0
3683920,2026-09-11_09-25-01.920-240,v5.1.3,3.43,12.0,400,2314,5918,4566,1800,5804,4953,14920.99,38251.52,29373.03,15945.92,38695.00,29235.59,0.00,0.00,0.00,1024.93,443.47,-137.44,1125.19,1125.19,0.574,0.106,0.916,-3.031,-0.562,-1.000,10778,181.0,0,-0.9435,0.0001,-0.2411,-0.2271,28.8,27.1,0.0
3683940,2026-09-11_09-25-01.941-240,v5.1.3,3.43,12.0,400,2328,5919,4560,1815,5794,4974,15013.55,38257.87,29333.87,16070.16,38635.13,29355.22,0.00,0.00,0.00,1056.60,377.26,21.35,1122.14,1122.14,0.586,0.135,0.935,-3.844,-0.922,-0.641,10778,180.6,0,-0.9435,-0.0003,-0.2413,-0.2270,28.8,27.1,0.0
3683963,2026-09-11_09-25-01.965-240,v5.1.3,3.43,12.0,400,2329,5926,4564,1819,5801,4976,15019.79,38303.45,29359.45,16097.23,38681.61,29363.01,0.00,0.00,0.00,1077.44,378.16,3.55,1141.88,1141.88,0.591,0.144,0.927,-5.109,-0.531,-0.094,10778,183.1,0,-0.9435,-0.0007,-0.2414,-0.2269,28.8,27.1,0.0
3683987,2026-09-11_09-25-01.987-240,v5.1.3,3.43,12.0,400,2323,5930,4564,1798,5804,4969,14979.89,38330.35,29359.17,15950.50,38697.82,29340.63,0.00,0.00,0.00,970.62,367.47,-18.54,1038.02,1038.02,0.581,0.131,0.908,-5.891,0.188,1.141,10780,169.9,0,-0.9435,-0.0007,-0.2415,-0.2268,28.8,27.1,0.0
3684004,2026-09-11_09-25-01.005-240,v5.1.3,3.43,12.0,400,2332,5932,4560,1810,5805,4988,15039.32,38343.41,29332.97,16050.41,38709.11,29449.57,0.00,0.00,0.00,1011.10,365.69,116.60,1081.50,1081.50,0.598,0.138,0.904,-6.266,0.594,1.531,10780,175.4,0,-0.9436,-0.0007,-0.2413,-0.2267,28.7,27.1,0.0
3684025,2026-09-11_09-25-01.026-240,v5.1.3,3.43,12.0,400,2318,5912,4557,1802,5787,4977,14947.77,38212.87,29314.79,15989.34,38588.72,29389.40,0.00,0.00,0.00,1041.57,375.85,74.61,1109.82,1109.82,0.606,0.144,0.911,-7.188,1.469,2.422,10780,179.0,0,-0.9436,-0.0006,-0.2412,-0.2267,28.7,27.1,0.0
3684048,2026-09-11_09-25-01.048-240,v5.1.3,3.43,12.0,400,2315,5933,4555,1792,5816,4973,14926.79,38352.10,29300.31,15912.87,38776.34,29371.69,0.00,0.00,0.00,986.08,424.24,71.37,1075.83,1075.83,0.621,0.142,0.908,-8.297,2.641,2.828,10780,174.7,0,-0.9437,-0.0002,-0.2409,-0.2266,28.7,27.0,0.0
3684069,2026-09-11_09-25-02.069-240,v5.1.3,3.43,12.0,400,2311,5951,4549,1786,5812,4960,14899.36,38472.17,29259.97,15859.77,38747.18,29295.07,0.00,0.00,0.00,960.41,275.01,35.09,999.62,999.62,0.639,0.104,0.896,-9.328,5.703,3.094,10780,165.0,0,-0.9439,0.0012,-0.2407,-0.2262,28.6,27.1,0.0
3684088,2026-09-11_09-25-02.088-240,v5.1.3,3.43,12.0,400,2285,5953,4530,1764,5829,4942,14727.24,38490.19,29136.01,15691.27,38852.63,29201.66,0.00,0.00,0.00,964.04,362.44,65.65,1032.01,1032.01,0.627,0.047,0.893,-7.391,7.734,2.703,10780,169.1,0,-0.9438,0.0028,-0.2412,-0.2259,28.5,27.2,0.0
3684128,2026-09-11_09-25-02.128-240,v5.1.3,3.43,12.0,400,2275,5982,4511,1770,5858,4911,14659.51,38685.27,29010.20,15690.23,39036.72,28992.91,0.00,0.00,0.00,1030.72,351.46,-17.29,1089.13,1089.13,0.598,0.016,0.866,2.672,12.984,-7.688,10782,176.4,0,-0.9430,0.0020,-0.2452,-0.2252,28.6,27.6,0.0
3684149,2026-09-11_09-25-02.150-240,v5.1.3,3.43,12.0,400,2277,6021,4451,1779,5901,4857,14670.61,38951.32,28616.53,15680.45,39308.19,28631.61,0.00,0.00,0.00,1009.84,356.87,15.08,1071.15,1071.15,0.608,0.110,0.870,5.875,16.047,-9.719,10782,174.1,0,-0.9423,-0.0001,-0.2477,-0.2252,28.7,27.8,0.0
3684173,2026-09-11_09-25-02.173-240,v5.1.3,3.43,12.0,400,2302,6044,4388,1812,5926,4813,14834.73,39110.28,28204.43,15843.68,39466.37,28310.21,0.00,0.00,0.00,1008.95,356.09,105.78,1075.16,1075.16,0.613,0.236,0.910,1.359,20.609,-3.641,10782,174.6,0,-0.9411,-0.0015,-0.2517,-0.2256,28.9,28.2,0.0
