time_ms,timestamp,version,voltage,audio_gain,cc,refX_raw,refY_raw,refZ_raw,tipX_raw,tipY_raw,tipZ_raw,refX_cal,refY_cal,refZ_cal,tipX_cal,tipY_cal,tipZ_cal,calOffsetX,calOffsetY,calOffsetZ,gradX,gradY,gradZ,mag,nT,accX,accY,accZ,gyrX,gyrY,gyrZ,imu_temp,freq,is_muted,QW,QX,QY,QZ,Azimuth,Elevation,Declination
783018,2026-09-11_08-36-41.020-240,v5.1.3,3.43,12.0,400,-1159,-1838,7305,-2308,-1899,7161,-7637.39,-13090.80,47753.34,-7024.57,-11587.55,48690.12,0.00,0.00,0.00,612.82,1503.24,936.78,1874.26,1874.26,0.988,0.125,0.530,-3.281,-0.422,0.188,6783,276.5,0,-0.3922,-0.0106,0.0546,0.9182,226.2,-1.3,0.0
783048,2026-09-11_08-36-41.048-240,v5.1.3,3.43,12.0,400,-1155,-1840,7352,-2304,-1911,7187,-7610.79,-13111.08,48059.75,-6966.82,-11660.61,48854.10,0.00,0.00,0.00,643.97,1450.47,794.35,1774.70,1774.70,0.987,0.134,0.533,-3.859,-0.594,0.609,6783,263.8,0,-0.3923,-0.0106,0.0548,0.9182,226.2,-1.4,0.0
783070,2026-09-11_08-36-41.071-240,v5.1.3,3.43,12.0,400,-1103,-1841,7336,-2321,-1927,7198,-7266.74,-13119.56,47955.58,-7063.19,-11764.68,48944.98,0.00,0.00,0.00,203.55,1354.88,989.41,1689.99,1689.99,0.987,0.122,0.534,-4.328,-0.594,0.500,6783,253.0,0,-0.3922,-0.0104,0.0547,0.9182,226.2,-1.4,0.0
783090,2026-09-11_08-36-41.091-240,v5.1.3,3.43,12.0,400,-1128,-1843,7381,-2303,-1882,7148,-7431.99,-13137.23,48248.95,-7009.67,-11478.51,48599.38,0.00,0.00,0.00,422.31,1658.72,350.43,1747.14,1747.14,0.985,0.109,0.545,-3.609,-0.469,0.328,6783,260.3,0,-0.3922,-0.0105,0.0544,0.9182,226.2,-1.3,0.0
783113,2026-09-11_08-36-41.115-240,v5.1.3,3.43,12.0,400,-1113,-1839,7362,-2308,-1914,7182,-7332.98,-13109.28,48124.87,-6998.08,-11681.54,48826.62,0.00,0.00,0.00,334.90,1427.75,701.76,1625.76,1625.76,0.983,0.135,0.540,-3.688,-0.438,0.062,6783,244.8,0,-0.3922,-0.0106,0.0547,0.9182,226.2,-1.3,0.0
783137,2026-09-11_08-36-41.138-240,v5.1.3,3.43,12.0,400,-1122,-1839,7338,-2309,-1870,7147,-7392.54,-13105.11,47968.47,-7052.86,-11400.94,48598.29,0.00,0.00,0.00,339.68,1704.17,629.82,1848.32,1848.32,0.985,0.121,0.539,-4.172,-0.453,0.875,6783,273.2,0,-0.3922,-0.0106,0.0545,0.9182,226.2,-1.3,0.0
783157,2026-09-11_08-36-41.158-240,v5.1.3,3.43,12.0,400,-1154,-1841,7322,-2318,-1870,7254,-7604.14,-13113.46,47864.32,-6993.42,-11381.65,49295.97,0.00,0.00,0.00,610.72,1731.81,1431.64,2328.47,2328.47,0.986,0.096,0.536,-3.234,-0.641,-0.453,6781,334.5,0,-0.3922,-0.0104,0.0542,0.9182,226.2,-1.3,0.0
783178,2026-09-11_08-36-41.179-240,v5.1.3,3.43,12.0,400,-1140,-1840,7327,-2312,-1879,7212,-7511.57,-13108.69,47896.85,-6998.59,-11447.74,49020.32,0.00,0.00,0.00,512.99,1660.95,1123.48,2069.81,2069.81,0.985,0.130,0.537,-2.500,-0.625,-1.125,6781,301.5,0,-0.3923,-0.0106,0.0547,0.9182,226.2,-1.3,0.0
783199,2026-09-11_08-36-41.200-240,v5.1.3,3.43,12.0,400,-1111,-1839,7367,-2302,-1890,7225,-7319.75,-13110.16,48157.45,-6915.95,-11516.13,49094.09,0.00,0.00,0.00,403.80,1594.03,936.64,1892.42,1892.42,0.985,0.140,0.539,-3.688,-0.469,0.281,6781,278.9,0,-0.3923,-0.0107,0.0550,0.9181,226.2,-1.3,0.0
783219,2026-09-11_08-36-41.220-240,v5.1.3,3.43,12.0,400,-1132,-1838,7349,-2315,-1933,7165,-7458.74,-13099.29,48040.07,-7059.01,-11809.49,48726.89,0.00,0.00,0.00,399.73,1289.80,686.82,1514.96,1514.96,0.987,0.130,0.534,-4.078,-0.406,0.688,6781,230.7,0,-0.3923,-0.0107,0.0550,0.9181,226.2,-1.3,0.0
