time_ms,timestamp,version,voltage,audio_gain,cc,refX_raw,refY_raw,refZ_raw,tipX_raw,tipY_raw,tipZ_raw,refX_cal,refY_cal,refZ_cal,tipX_cal,tipY_cal,tipZ_cal,calOffsetX,calOffsetY,calOffsetZ,gradX,gradY,gradZ,mag,nT,accX,accY,accZ,gyrX,gyrY,gyrZ,imu_temp,freq,is_muted,QW,QX,QY,QZ,Azimuth,Elevation,Declination
34908,2026-09-19_09-22-46.910-240,v5.1.4,3.50,17.0,200,-1015,2767,2501,-1257,2778,2339,-13810.13,36104.68,32267.08,-12669.13,36943.48,32235.21,0.00,0.00,0.00,1141.00,838.81,-31.87,1416.51,1416.51,0.233,0.035,1.010,-4.078,-0.141,1.234,5396,434.6,0,0.8731,0.1222,0.3455,-0.3215,319.3,43.0,0.0
34938,2026-09-19_09-22-46.940-240,v5.1.4,3.50,17.0,200,-1011,2772,2497,-1255,2786,2341,-13757.74,36171.15,32213.87,-12642.05,37049.47,32254.06,0.00,0.00,0.00,1115.68,878.32,40.19,1420.50,1420.50,0.241,0.021,1.014,-3.484,-0.328,-0.406,5407,435.1,0,0.8729,0.1223,0.3455,-0.3220,319.2,43.0,0.0
34967,2026-09-19_09-22-46.968-240,v5.1.4,3.50,17.0,200,-1011,2773,2496,-1257,2777,2343,-13757.81,36184.64,32200.65,-12659.30,36932.06,32286.63,0.00,0.00,0.00,1098.51,747.42,85.98,1331.45,1331.45,0.240,0.029,1.024,-2.812,0.094,-1.547,5407,423.9,0,0.8727,0.1229,0.3455,-0.3225,319.2,43.0,0.0
34995,2026-09-19_09-22-46.997-240,v5.1.4,3.50,17.0,200,-1026,2771,2502,-1267,2792,2328,-13955.71,36159.11,32279.85,-12833.34,37119.47,32114.43,0.00,0.00,0.00,1122.37,960.36,-165.42,1486.39,1486.39,0.248,0.042,1.015,-2.203,-0.109,-1.141,5407,443.0,0,0.8725,0.1237,0.3452,-0.3230,319.2,43.0,0.0
35023,2026-09-19_09-22-46.025-240,v5.1.4,3.50,17.0,200,-1020,2768,2495,-1247,2780,2362,-13876.01,36120.29,32188.72,-12484.74,36981.75,32505.40,0.00,0.00,0.00,1391.28,861.46,316.68,1666.75,1666.75,0.247,0.050,1.020,-3.688,0.188,-0.062,5407,463.6,0,0.8724,0.1244,0.3449,-0.3233,319.1,43.0,0.0
35049,2026-09-19_09-22-46.051-240,v5.1.4,3.50,17.0,200,-1026,2770,2473,-1236,2782,2361,-13954.67,36153.46,31901.24,-12343.24,37010.34,32466.29,0.00,0.00,0.00,1611.43,856.88,565.04,1910.55,1910.55,0.241,0.036,1.026,-3.656,-0.172,-0.125,5407,489.1,0,0.8722,0.1247,0.3449,-0.3237,319.1,43.0,0.0
35076,2026-09-19_09-22-46.077-240,v5.1.4,3.50,17.0,200,-1008,2767,2496,-1252,2780,2341,-13717.62,36104.82,32201.54,-12599.62,36971.77,32248.55,0.00,0.00,0.00,1118.00,866.95,47.00,1415.53,1415.53,0.245,0.046,1.013,-2.891,-0.469,-0.984,5405,434.4,0,0.8721,0.1251,0.3447,-0.3241,319.1,43.0,0.0
35106,2026-09-19_09-22-47.107-240,v5.1.4,3.50,17.0,200,-1006,2769,2496,-1254,2778,2340,-13691.43,36130.93,32201.14,-12627.30,36944.68,32240.96,0.00,0.00,0.00,1064.13,813.75,39.82,1340.20,1340.20,0.234,0.051,1.013,-5.016,-0.031,1.984,5405,425.1,0,0.8719,0.1253,0.3448,-0.3242,319.1,43.0,0.0
35131,2026-09-19_09-22-47.132-240,v5.1.4,3.50,17.0,200,-1011,2768,2461,-1279,2782,2368,-13756.17,36127.68,31744.34,-12892.98,37002.09,32656.75,0.00,0.00,0.00,863.20,874.41,912.40,1530.42,1530.42,0.245,0.017,1.018,-4.422,3.672,1.766,5405,448.2,0,0.8717,0.1250,0.3453,-0.3244,319.0,43.1,0.0
35158,2026-09-19_09-22-47.160-240,v5.1.4,3.50,17.0,200,-1011,2769,2506,-1254,2781,2341,-13757.72,36129.15,32331.92,-12626.44,36984.33,32252.99,0.00,0.00,0.00,1131.29,855.18,-78.94,1420.34,1420.34,0.241,0.020,1.016,-2.922,-0.062,-1.125,5405,435.0,0,0.8715,0.1251,0.3453,-0.3249,318.9,43.1,0.0
