time_ms,timestamp,version,voltage,audio_gain,cc,refX_raw,refY_raw,refZ_raw,tipX_raw,tipY_raw,tipZ_raw,refX_cal,refY_cal,refZ_cal,tipX_cal,tipY_cal,tipZ_cal,calOffsetX,calOffsetY,calOffsetZ,gradX,gradY,gradZ,mag,nT,accX,accY,accZ,gyrX,gyrY,gyrZ,imu_temp,freq,is_muted,QW,QX,QY,QZ,Azimuth,Elevation,Declination
551938,2026-09-19_09-31-23.940-240,v5.1.4,3.45,17.0,3200,-16970,45128,39545,-19784,45445,36067,-14416.60,36827.11,31875.22,-12627.93,37728.78,31086.46,0.00,0.00,0.00,1788.67,901.67,-788.76,2152.78,2152.78,0.208,0.071,1.046,-4.422,-0.156,2.938,6671,512.5,0,0.6715,0.2990,0.2741,-0.6201,276.9,47.6,0.0
552048,2026-09-19_09-31-23.049-240,v5.1.4,3.45,17.0,3200,-16793,45199,39573,-19640,45481,36090,-14271.15,36883.48,31896.97,-12507.19,37761.13,31083.15,0.00,0.00,0.00,1763.95,877.66,-813.82,2131.69,2131.69,0.217,0.054,1.041,-2.656,-0.688,-0.906,6671,510.5,0,0.6705,0.2999,0.2743,-0.6206,276.8,47.7,0.0
552154,2026-09-19_09-31-24.155-240,v5.1.4,3.45,17.0,3200,-16816,45228,39488,-19629,45515,36090,-14290.12,36909.06,31827.33,-12499.19,37789.11,31081.00,0.00,0.00,0.00,1790.94,880.05,-746.33,2130.48,2130.48,0.226,0.052,1.023,-8.750,-0.703,6.188,6675,510.4,0,0.6715,0.2934,0.2796,-0.6203,276.3,47.7,0.0
552260,2026-09-19_09-31-24.261-240,v5.1.4,3.45,17.0,3200,-17073,45214,39466,-19805,45538,35968,-14501.92,36900.51,31810.05,-12662.52,37801.91,31008.93,0.00,0.00,0.00,1839.40,901.40,-801.13,2199.48,2199.48,0.220,0.024,1.021,-0.922,-0.312,-4.469,6675,516.8,0,0.6692,0.2955,0.2783,-0.6225,276.0,47.8,0.0
552366,2026-09-19_09-31-24.367-240,v5.1.4,3.45,17.0,3200,-17043,45133,39486,-19835,45450,36117,-14476.71,36832.95,31827.16,-12662.75,37733.33,31133.83,0.00,0.00,0.00,1813.96,900.38,-693.32,2140.52,2140.52,0.221,0.030,1.017,-3.922,-1.109,2.609,6673,511.3,0,0.6698,0.2926,0.2803,-0.6223,275.8,47.7,0.0
552512,2026-09-19_09-31-24.517-240,v5.1.4,3.45,17.0,3200,-17088,45215,39594,-19857,45516,36085,-14514.55,36899.40,31914.56,-12687.54,37786.11,31110.43,0.00,0.00,0.00,1827.01,886.71,-804.13,2184.23,2184.23,0.238,-0.010,1.032,3.031,-1.266,-3.094,6673,515.4,0,0.6696,0.2940,0.2760,-0.6237,275.9,47.4,0.0
552868,2026-09-19_09-31-24.869-240,v5.1.4,3.45,17.0,3200,-14451,45752,39559,-17328,45944,36897,-12343.36,37316.35,31874.90,-10501.26,38197.93,31381.71,0.00,0.00,0.00,1842.10,881.57,-493.18,2100.89,2100.89,0.217,0.030,1.015,-3.875,0.016,4.234,6663,507.6,0,0.6728,0.2885,0.2888,-0.6170,276.2,48.1,0.0
552974,2026-09-19_09-31-24.975-240,v5.1.4,3.45,17.0,3200,-14680,45855,39464,-17471,46047,36855,-12532.66,37405.37,31796.75,-10628.21,38278.72,31367.48,0.00,0.00,0.00,1904.45,873.36,-429.27,2138.68,2138.68,0.240,0.083,1.024,-4.734,-0.516,5.750,6672,511.2,0,0.6769,0.2873,0.2873,-0.6138,277.0,47.9,0.0
553080,2026-09-19_09-31-24.080-240,v5.1.4,3.45,17.0,3200,-14657,45841,39383,-17505,46036,36692,-12513.44,37394.88,31730.73,-10679.65,38264.97,31242.34,0.00,0.00,0.00,1833.80,870.09,-488.39,2087.67,2087.67,0.250,0.099,1.046,-1.766,-0.625,0.188,6667,506.4,0,0.6791,0.2902,0.2822,-0.6123,277.7,47.6,0.0
553186,2026-09-19_09-31-25.186-240,v5.1.4,3.45,17.0,3200,-14589,45969,39228,-17460,46187,36705,-12457.87,37502.46,31602.73,-10645.35,38389.47,31243.73,0.00,0.00,0.00,1812.52,887.01,-359.00,2049.61,2049.61,0.245,0.064,1.033,-4.047,0.625,3.500,6667,502.8,0,0.6813,0.2894,0.2820,-0.6103,278.2,47.5,0.0
