time_ms,timestamp,version,voltage,audio_gain,cc,refX_raw,refY_raw,refZ_raw,tipX_raw,tipY_raw,tipZ_raw,refX_cal,refY_cal,refZ_cal,tipX_cal,tipY_cal,tipZ_cal,calOffsetX,calOffsetY,calOffsetZ,gradX,gradY,gradZ,mag,nT,accX,accY,accZ,gyrX,gyrY,gyrZ,imu_temp,freq,is_muted,QW,QX,QY,QZ,Azimuth,Elevation,Declination
695001,2026-09-19_09-33-46.002-240,v5.1.4,3.45,17.0,200,-905,2871,2426,-1138,2899,2279,-12366.95,37480.79,31266.52,-11302.03,38532.18,31157.67,0.00,0.00,0.00,1064.92,1051.39,-108.85,1500.44,1500.44,0.227,0.019,1.031,-3.812,-0.188,0.000,6803,444.6,0,0.6647,0.2981,0.2795,-0.6255,275.3,48.1,0.0
695031,2026-09-19_09-33-46.032-240,v5.1.4,3.45,17.0,200,-908,2868,2413,-1138,2894,2291,-12405.81,37445.02,31097.33,-11271.55,38471.74,31312.43,0.00,0.00,0.00,1134.26,1026.72,215.10,1544.98,1544.98,0.245,0.048,1.027,-0.594,-0.281,-4.078,6803,449.8,0,0.6643,0.2985,0.2789,-0.6259,275.2,48.1,0.0
695056,2026-09-19_09-33-46.056-240,v5.1.4,3.45,17.0,200,-918,2863,2470,-1117,2902,2271,-12539.07,37365.70,31842.97,-11045.73,38573.55,31005.30,0.00,0.00,0.00,1493.34,1207.85,-837.68,2095.40,2095.40,0.208,0.097,1.022,-0.641,-0.031,-2.781,6803,507.1,0,0.6641,0.3002,0.2783,-0.6256,275.4,48.2,0.0
695083,2026-09-19_09-33-46.085-240,v5.1.4,3.45,17.0,200,-888,2870,2429,-1129,2897,2286,-12142.64,37463.97,31305.30,-11166.21,38511.25,31226.59,0.00,0.00,0.00,976.43,1047.27,-78.71,1434.01,1434.01,0.210,0.105,1.031,-3.797,-0.297,0.469,6803,436.7,0,0.6642,0.3012,0.2777,-0.6253,275.5,48.2,0.0
695112,2026-09-19_09-33-46.113-240,v5.1.4,3.45,17.0,200,-888,2871,2434,-1124,2899,2284,-12142.91,37475.89,31370.44,-11106.04,38537.88,31188.76,0.00,0.00,0.00,1036.87,1061.98,-181.68,1495.30,1495.30,0.224,0.078,1.039,-4.641,-0.234,2.734,6803,444.0,0,0.6646,0.3014,0.2775,-0.6249,275.6,48.2,0.0
695135,2026-09-19_09-33-46.138-240,v5.1.4,3.45,17.0,200,-929,2875,2423,-1084,2900,2292,-12683.91,37538.42,31227.47,-10561.26,38564.62,31196.94,0.00,0.00,0.00,2122.66,1026.20,-30.53,2357.90,2357.90,0.223,0.040,1.031,-3.625,-0.578,1.969,6803,530.9,0,0.6647,0.3009,0.2779,-0.6248,275.6,48.2,0.0
695163,2026-09-19_09-33-47.165-240,v5.1.4,3.45,17.0,200,-892,2872,2427,-1126,2902,2283,-12195.56,37491.60,31278.98,-11136.18,38576.18,31179.91,0.00,0.00,0.00,1059.38,1084.59,-99.07,1519.35,1519.35,0.218,0.045,1.024,-2.234,-0.297,-0.156,6803,446.9,0,0.6646,0.3009,0.2781,-0.6248,275.6,48.2,0.0
695192,2026-09-19_09-33-47.193-240,v5.1.4,3.45,17.0,200,-884,2872,2433,-1123,2905,2277,-12090.20,37488.71,31357.08,-11112.17,38613.72,31095.36,0.00,0.00,0.00,978.03,1125.01,-261.72,1513.50,1513.50,0.222,0.065,1.034,-0.656,-0.422,-2.188,6803,446.2,0,0.6647,0.3016,0.2774,-0.6247,275.6,48.2,0.0
695218,2026-09-19_09-33-47.220-240,v5.1.4,3.45,17.0,200,-920,2878,2452,-1098,2907,2296,-12566.40,37569.01,31605.45,-10739.65,38654.21,31279.18,0.00,0.00,0.00,1826.75,1085.20,-326.27,2149.68,2149.68,0.234,0.080,1.038,0.125,0.016,-2.344,6803,512.2,0,0.6649,0.3026,0.2762,-0.6246,275.8,48.2,0.0
695251,2026-09-19_09-33-47.252-240,v5.1.4,3.45,17.0,200,-887,2881,2433,-1115,2903,2291,-12130.70,37608.17,31355.68,-10973.17,38595.42,31256.15,0.00,0.00,0.00,1157.53,987.25,-99.53,1524.61,1524.61,0.227,0.082,1.024,1.000,0.047,-4.328,6803,447.5,0,0.6649,0.3041,0.2747,-0.6245,275.9,48.2,0.0
