time_ms,timestamp,version,voltage,audio_gain,cc,refX_raw,refY_raw,refZ_raw,tipX_raw,tipY_raw,tipZ_raw,refX_cal,refY_cal,refZ_cal,tipX_cal,tipY_cal,tipZ_cal,calOffsetX,calOffsetY,calOffsetZ,gradX,gradY,gradZ,mag,nT,accX,accY,accZ,gyrX,gyrY,gyrZ,imu_temp,freq,is_muted,QW,QX,QY,QZ,Azimuth,Elevation,Declination
352187,2026-09-17_13-32-25.189-240,v5.1.4,3.43,17.0,400,-173,6791,3785,-498,6780,3767,-1603.80,44417.77,24183.79,-763.25,45021.27,23887.50,0.00,0.00,0.00,840.55,603.50,-296.30,1076.35,1076.35,0.372,0.124,0.993,-4.188,-0.562,0.266,7810,389.1,0,0.9286,0.1122,0.3226,-0.1451,345.3,39.2,0.0
352208,2026-09-17_13-32-25.210-240,v5.1.4,3.43,17.0,400,-159,6785,3759,-511,6781,3747,-1510.72,44380.35,24014.27,-872.42,45021.99,23774.73,0.00,0.00,0.00,638.29,641.64,-239.54,936.22,936.22,0.368,0.113,1.004,-4.188,-1.141,0.125,7810,367.5,0,0.9286,0.1120,0.3227,-0.1452,345.2,39.2,0.0
352229,2026-09-17_13-32-25.230-240,v5.1.4,3.43,17.0,400,-165,6795,3736,-500,6779,3724,-1550.44,44449.94,23863.33,-826.39,45005.58,23614.98,0.00,0.00,0.00,724.05,555.64,-248.35,945.86,945.86,0.371,0.125,1.011,-3.812,-0.250,0.109,7810,369.0,0,0.9285,0.1121,0.3229,-0.1452,345.3,39.2,0.0
352247,2026-09-17_13-32-25.249-240,v5.1.4,3.43,17.0,400,-177,6792,3781,-496,6782,3703,-1630.17,44425.23,24157.66,-825.32,45021.38,23475.61,0.00,0.00,0.00,804.85,596.15,-682.04,1211.76,1211.76,0.375,0.120,0.999,-4.266,-0.750,0.062,7814,408.2,0,0.9285,0.1120,0.3229,-0.1453,345.2,39.2,0.0
352268,2026-09-17_13-32-25.270-240,v5.1.4,3.43,17.0,400,-183,6796,3789,-497,6790,3747,-1670.09,44451.12,24209.67,-782.48,45082.66,23757.15,0.00,0.00,0.00,887.61,631.54,-452.52,1179.60,1179.60,0.377,0.106,0.997,-3.422,-0.875,0.078,7814,403.8,0,0.9285,0.1118,0.3228,-0.1454,345.2,39.2,0.0
352291,2026-09-17_13-32-25.292-240,v5.1.4,3.43,17.0,400,-184,6790,3742,-493,6778,3758,-1675.62,44417.68,23903.25,-740.36,45006.97,23824.33,0.00,0.00,0.00,935.27,589.29,-78.92,1108.25,1108.25,0.373,0.130,1.010,-3.453,-0.578,0.297,7814,393.7,0,0.9285,0.1120,0.3229,-0.1452,345.2,39.2,0.0
352312,2026-09-17_13-32-25.312-240,v5.1.4,3.43,17.0,400,-173,6789,3736,-488,6782,3781,-1602.91,44410.94,23863.96,-681.56,45038.54,23965.04,0.00,0.00,0.00,921.35,627.59,101.07,1119.36,1119.36,0.374,0.135,1.001,-3.969,-0.922,0.516,7814,395.3,0,0.9285,0.1121,0.3228,-0.1451,345.3,39.2,0.0
352332,2026-09-17_13-32-25.333-240,v5.1.4,3.43,17.0,400,-184,6796,3808,-507,6782,3740,-1676.99,44448.72,24333.77,-854.51,45027.60,23725.14,0.00,0.00,0.00,822.48,578.88,-608.63,1175.58,1175.58,0.374,0.125,1.002,-3.422,-0.719,0.125,7814,403.2,0,0.9285,0.1122,0.3228,-0.1451,345.3,39.2,0.0
352352,2026-09-17_13-32-25.354-240,v5.1.4,3.43,17.0,400,-175,6788,3789,-500,6786,3760,-1616.90,44397.58,24210.20,-786.06,45058.80,23844.32,0.00,0.00,0.00,830.84,661.22,-365.88,1123.11,1123.11,0.372,0.117,1.004,-4.062,-0.672,0.359,7814,395.8,0,0.9285,0.1120,0.3229,-0.1451,345.3,39.2,0.0
352373,2026-09-17_13-32-25.374-240,v5.1.4,3.43,17.0,400,-160,6788,3718,-502,6784,3726,-1516.81,44405.61,23746.28,-838.44,45038.43,23629.49,0.00,0.00,0.00,678.36,632.82,-116.79,935.03,935.03,0.372,0.121,1.004,-3.969,-0.828,0.078,7814,367.3,0,0.9285,0.1120,0.3229,-0.1452,345.3,39.2,0.0
