time_ms,timestamp,version,voltage,audio_gain,cc,refX_raw,refY_raw,refZ_raw,tipX_raw,tipY_raw,tipZ_raw,refX_cal,refY_cal,refZ_cal,tipX_cal,tipY_cal,tipZ_cal,calOffsetX,calOffsetY,calOffsetZ,gradX,gradY,gradZ,mag,nT,accX,accY,accZ,gyrX,gyrY,gyrZ,imu_temp,freq,is_muted,QW,QX,QY,QZ,Azimuth,Elevation,Declination
15174246,2026-09-11_17-36-19.247-240,v5.1.3,3.47,12.0,800,3927,5550,14177,1755,4837,14715,12772.39,17158.04,46026.75,13257.57,16952.55,46040.97,0.00,0.00,0.00,485.17,-205.49,14.22,527.08,527.08,0.970,0.053,0.549,-2.781,-1.344,0.047,8702,104.7,0,-0.9534,-0.0072,0.0011,-0.3018,35.1,-0.4,0.0
15174281,2026-09-11_17-36-19.282-240,v5.1.3,3.47,12.0,800,3892,5539,14098,1796,4829,14715,12656.89,17128.79,45769.72,13393.45,16928.44,46019.00,0.00,0.00,0.00,736.56,-200.35,249.27,802.99,802.99,0.985,-0.022,0.547,-3.203,-0.547,0.188,8702,139.9,0,-0.9534,-0.0057,0.0019,-0.3017,35.1,-0.4,0.0
15174318,2026-09-11_17-36-19.319-240,v5.1.3,3.47,12.0,800,3905,5558,14153,1736,4827,14729,12699.40,17187.06,45948.28,13203.82,16920.29,46096.85,0.00,0.00,0.00,504.42,-266.77,148.57,589.65,589.65,0.979,0.042,0.563,-2.359,-1.016,-0.234,8702,112.7,0,-0.9533,-0.0074,0.0011,-0.3018,35.1,-0.4,0.0
15174353,2026-09-11_17-36-19.353-240,v5.1.3,3.47,12.0,800,3909,5542,14070,1765,4827,14702,12713.03,17140.03,45678.39,13284.35,16919.17,45994.23,0.00,0.00,0.00,571.32,-220.87,315.84,689.16,689.16,0.974,0.006,0.561,-3.781,-0.969,0.922,8705,125.4,0,-0.9534,-0.0058,0.0008,-0.3017,35.1,-0.3,0.0
15174386,2026-09-11_17-36-19.388-240,v5.1.3,3.47,12.0,800,3898,5549,14169,1774,4840,14696,12676.49,17156.47,46000.71,13309.28,16961.48,45969.38,0.00,0.00,0.00,632.79,-194.99,-31.33,662.89,662.89,0.976,0.005,0.556,-2.594,-1.078,-0.578,8705,122.0,0,-0.9534,-0.0051,0.0012,-0.3017,35.1,-0.3,0.0
15174423,2026-09-11_17-36-19.423-240,v5.1.3,3.47,12.0,800,3897,5551,14158,1805,4839,14712,12673.13,17163.91,45964.80,13420.36,16961.25,46003.94,0.00,0.00,0.00,747.23,-202.66,39.13,775.22,775.22,0.976,0.030,0.558,-4.062,-0.703,0.047,8705,136.3,0,-0.9535,-0.0064,0.0006,-0.3014,35.1,-0.3,0.0
15174456,2026-09-11_17-36-19.458-240,v5.1.3,3.47,12.0,800,3953,5551,14169,1776,4832,14729,12858.37,17160.88,46000.66,13335.03,16938.57,46074.76,0.00,0.00,0.00,476.66,-222.30,74.11,531.14,531.14,0.976,-0.015,0.559,-3.219,-1.203,0.234,8705,105.2,0,-0.9535,-0.0049,0.0011,-0.3014,35.1,-0.3,0.0
15174491,2026-09-11_17-36-19.492-240,v5.1.3,3.47,12.0,800,3891,5551,14130,1790,4833,14718,12653.27,17166.16,45873.57,13374.93,16941.49,46031.71,0.00,0.00,0.00,721.66,-224.68,158.14,772.19,772.19,0.975,0.048,0.560,-3.141,-0.766,0.188,8700,136.0,0,-0.9535,-0.0064,0.0004,-0.3014,35.1,-0.3,0.0
15174526,2026-09-11_17-36-19.528-240,v5.1.3,3.47,12.0,800,3903,5541,14132,1754,4839,14686,12693.23,17132.51,45880.44,13237.97,16956.29,45948.20,0.00,0.00,0.00,544.74,-176.22,67.77,576.53,576.53,0.981,-0.016,0.558,-3.297,-1.078,0.453,8700,111.0,0,-0.9535,-0.0048,0.0011,-0.3014,35.1,-0.3,0.0
15174561,2026-09-11_17-36-19.562-240,v5.1.3,3.47,12.0,800,3904,5553,14163,1786,4838,14696,12696.23,17169.87,45981.03,13349.02,16955.54,45962.93,0.00,0.00,0.00,652.79,-214.33,-18.10,687.31,687.31,0.974,0.037,0.553,-2.969,-0.750,-0.203,8700,125.1,0,-0.9535,-0.0065,0.0007,-0.3014,35.1,-0.3,0.0
15174596,2026-09-11_17-36-19.598-240,v5.1.3,3.47,12.0,800,3891,5547,14114,1812,4823,14727,12653.37,17154.10,45821.58,13453.44,16910.77,46049.13,0.00,0.00,0.00,800.07,-243.33,227.55,866.66,866.66,0.984,-0.005,0.561,-3.812,-0.859,0.719,8700,148.0,0,-0.9535,-0.0047,0.0012,-0.3013,35.1,-0.3,0.0
15174634,2026-09-11_17-36-19.635-240,v5.1.3,3.47,12.0,800,3912,5553,14141,1778,4831,14703,12722.68,17171.13,45909.35,13327.30,16932.96,45990.15,0.00,0.00,0.00,604.61,-238.18,80.80,654.84,654.84,0.973,0.028,0.556,-2.844,-0.797,-0.312,8700,121.0,0,-0.9535,-0.0065,0.0006,-0.3013,35.1,-0.3,0.0
15174669,2026-09-11_17-36-19.671-240,v5.1.3,3.47,12.0,800,3984,5550,14178,1780,4836,14743,12960.94,17155.68,46030.02,13355.54,16953.15,46117.38,0.00,0.00,0.00,394.60,-202.53,87.36,452.06,452.06,0.984,0.005,0.555,-4.047,-0.984,0.547,8706,95.1,0,-0.9535,-0.0057,0.0018,-0.3013,35.1,-0.4,0.0
15174729,2026-09-11_17-36-19.730-240,v5.1.3,3.47,12.0,800,3946,5542,14126,1819,4821,14671,12835.44,17134.52,45860.86,13445.64,16899.30,45865.41,0.00,0.00,0.00,610.20,-235.22,4.55,653.98,653.98,0.989,0.029,0.559,-3.469,-0.734,0.047,8706,120.9,0,-0.9535,-0.0082,0.0014,-0.3011,35.0,-0.4,0.0
15174761,2026-09-11_17-36-19.763-240,v5.1.3,3.47,12.0,800,3970,5539,14159,1752,4828,14751,12914.92,17121.28,45968.49,13268.61,16926.41,46158.78,0.00,0.00,0.00,353.70,-194.87,190.29,446.41,446.41,0.969,-0.003,0.557,-3.281,-0.859,0.422,8706,94.4,0,-0.9536,-0.0067,0.0014,-0.3011,35.0,-0.4,0.0
15174795,2026-09-11_17-36-19.796-240,v5.1.3,3.47,12.0,800,3873,5535,14058,1835,4835,14667,12594.13,17119.22,45639.53,13494.62,16945.42,45843.12,0.00,0.00,0.00,900.49,-173.80,203.59,939.44,939.44,0.988,0.025,0.559,-2.859,-0.938,-0.016,8703,157.3,0,-0.9536,-0.0080,0.0012,-0.3011,35.0,-0.4,0.0
15174829,2026-09-11_17-36-19.830-240,v5.1.3,3.47,12.0,800,3928,5551,14155,1778,4845,14675,12775.67,17162.88,45955.04,13310.27,16976.02,45899.45,0.00,0.00,0.00,534.61,-186.86,-55.59,569.04,569.04,0.970,0.012,0.553,-3.969,-1.000,0.750,8703,110.0,0,-0.9536,-0.0068,0.0012,-0.3009,35.0,-0.4,0.0
15174863,2026-09-11_17-36-19.864-240,v5.1.3,3.47,12.0,800,3888,5555,14114,1786,4853,14739,12643.24,17180.64,45821.30,13371.27,17008.57,46100.39,0.00,0.00,0.00,728.04,-172.07,279.08,798.46,798.46,0.986,0.011,0.559,-3.078,-1.047,-0.547,8703,139.3,0,-0.9537,-0.0064,0.0015,-0.3007,35.0,-0.4,0.0
15174896,2026-09-11_17-36-19.897-240,v5.1.3,3.47,12.0,800,3946,5555,14113,1752,4843,14717,12835.09,17178.39,45818.06,13248.16,16972.18,46048.74,0.00,0.00,0.00,413.07,-206.21,230.68,516.10,516.10,0.975,0.023,0.558,-3.750,-0.844,0.344,8703,103.3,0,-0.9537,-0.0072,0.0009,-0.3006,35.0,-0.3,0.0
15174931,2026-09-11_17-36-19.931-240,v5.1.3,3.47,12.0,800,3895,5558,14113,1751,4828,14716,12666.31,17190.34,45817.95,13245.90,16923.06,46046.82,0.00,0.00,0.00,579.60,-267.28,228.88,678.05,678.05,0.981,-0.002,0.561,-2.781,-1.000,-0.141,8697,123.9,0,-0.9537,-0.0058,0.0011,-0.3006,35.0,-0.3,0.0
15174963,2026-09-11_17-36-19.963-240,v5.1.3,3.47,12.0,800,3901,5554,14169,1749,4836,14710,12686.28,17172.86,46000.54,13235.14,16948.52,46028.23,0.00,0.00,0.00,548.86,-224.35,27.68,593.58,593.58,0.978,0.029,0.560,-3.453,-0.750,-0.281,8697,113.2,0,-0.9538,-0.0071,0.0005,-0.3004,35.0,-0.3,0.0
15174996,2026-09-11_17-36-19.997-240,v5.1.3,3.47,12.0,800,3937,5548,14124,1817,4834,14720,12805.51,17154.84,45854.14,13464.85,16946.27,46023.35,0.00,0.00,0.00,659.34,-208.58,169.21,711.95,711.95,0.980,-0.000,0.559,-3.438,-0.828,0.672,8697,128.3,0,-0.9538,-0.0057,0.0009,-0.3005,35.0,-0.3,0.0
