time_ms,timestamp,version,voltage,audio_gain,cc,refX_raw,refY_raw,refZ_raw,tipX_raw,tipY_raw,tipZ_raw,refX_cal,refY_cal,refZ_cal,tipX_cal,tipY_cal,tipZ_cal,calOffsetX,calOffsetY,calOffsetZ,gradX,gradY,gradZ,mag,nT,accX,accY,accZ,gyrX,gyrY,gyrZ,imu_temp,freq,is_muted,QW,QX,QY,QZ,Azimuth,Elevation,Declination
1469190,2026-09-11_08-48-07.191-240,v5.1.3,3.42,12.0,400,2428,2506,6973,1364,2456,7451,15859.71,15360.71,45292.86,16557.86,17262.73,46107.14,0.00,0.00,0.00,698.15,1902.03,814.29,2183.62,2183.62,0.991,0.064,0.544,-3.156,-1.266,0.391,7395,316.0,0,-0.9502,-0.0413,0.0040,-0.3089,35.9,-1.9,0.0
1469213,2026-09-11_08-48-07.215-240,v5.1.3,3.42,12.0,400,2429,2504,6973,1352,2443,7474,15866.43,15347.42,45293.00,16507.10,17181.01,46269.41,0.00,0.00,0.00,640.67,1833.59,976.41,2173.91,2173.91,0.991,0.102,0.550,-3.516,-0.453,0.297,7387,314.8,0,-0.9502,-0.0417,0.0031,-0.3089,36.0,-1.8,0.0
1469238,2026-09-11_08-48-07.238-240,v5.1.3,3.42,12.0,400,2428,2504,6950,1358,2451,7464,15859.80,15350.80,45143.12,16533.82,17231.95,46197.77,0.00,0.00,0.00,674.02,1881.15,1054.65,2259.49,2259.49,0.995,0.098,0.544,-4.312,-0.344,0.672,7387,325.7,0,-0.9502,-0.0420,0.0025,-0.3089,35.9,-1.8,0.0
1469256,2026-09-11_08-48-07.257-240,v5.1.3,3.42,12.0,400,2410,2504,6938,1363,2458,7456,15740.71,15353.97,45064.91,16556.39,17276.64,46140.18,0.00,0.00,0.00,815.68,1922.67,1075.27,2349.08,2349.08,1.005,0.076,0.513,-3.781,-0.375,0.188,7387,337.1,0,-0.9502,-0.0418,0.0032,-0.3089,35.9,-1.8,0.0
1469278,2026-09-11_08-48-07.278-240,v5.1.3,3.42,12.0,400,2421,2507,6949,1376,2455,7461,15813.33,15371.32,45136.39,16648.21,17259.27,46158.43,0.00,0.00,0.00,834.88,1887.94,1022.04,2303.46,2303.46,0.995,0.082,0.538,-3.297,-0.828,-0.250,7387,331.3,0,-0.9502,-0.0416,0.0031,-0.3089,36.0,-1.8,0.0
1469303,2026-09-11_08-48-07.303-240,v5.1.3,3.42,12.0,400,2434,2502,6985,1352,2452,7488,15899.62,15332.08,45371.33,16520.72,17242.42,46358.50,0.00,0.00,0.00,621.09,1910.34,987.17,2238.22,2238.22,0.990,0.102,0.544,-3.516,-0.469,0.250,7387,323.0,0,-0.9501,-0.0422,0.0023,-0.3090,36.0,-1.7,0.0
1469324,2026-09-11_08-48-07.325-240,v5.1.3,3.42,12.0,400,2440,2501,6976,1347,2445,7486,15939.37,15326.29,45312.76,16487.05,17195.84,46351.81,0.00,0.00,0.00,547.69,1869.55,1039.05,2207.90,2207.90,0.994,0.076,0.541,-3.875,-0.547,0.203,7387,319.1,0,-0.9502,-0.0414,0.0022,-0.3090,36.0,-1.7,0.0
1469346,2026-09-11_08-48-07.347-240,v5.1.3,3.42,12.0,400,2419,2504,6975,1384,2452,7467,15800.28,15347.93,45306.02,16708.20,17241.59,46188.57,0.00,0.00,0.00,907.92,1893.66,882.55,2277.98,2277.98,1.003,0.088,0.518,-3.625,-0.125,-0.031,7387,328.0,0,-0.9501,-0.0417,0.0029,-0.3090,36.0,-1.8,0.0
1469368,2026-09-11_08-48-07.369-240,v5.1.3,3.42,12.0,400,2440,2507,6970,1348,2457,7455,15939.04,15366.78,45273.24,16456.69,17268.45,46150.22,0.00,0.00,0.00,517.65,1901.67,876.98,2157.17,2157.17,1.000,0.102,0.517,-3.859,-0.734,0.203,7395,312.6,0,-0.9501,-0.0425,0.0034,-0.3091,36.0,-1.9,0.0
1469388,2026-09-11_08-48-07.388-240,v5.1.3,3.42,12.0,400,2421,2500,6943,1363,2451,7453,15813.70,15325.95,45097.77,16554.55,17230.37,46121.59,0.00,0.00,0.00,740.85,1904.41,1023.82,2285.58,2285.58,0.993,0.081,0.536,-4.016,-0.984,0.188,7395,329.0,0,-0.9501,-0.0420,0.0033,-0.3090,36.0,-1.9,0.0
1469407,2026-09-11_08-48-07.408-240,v5.1.3,3.42,12.0,400,2417,2502,6938,1370,2454,7450,15787.13,15340.20,45065.05,16596.70,17250.07,46094.36,0.00,0.00,0.00,809.57,1909.87,1029.31,2315.71,2315.71,0.997,0.079,0.536,-3.469,-0.109,0.547,7395,332.9,0,-0.9501,-0.0415,0.0033,-0.3091,36.0,-1.8,0.0
1469428,2026-09-11_08-48-07.428-240,v5.1.3,3.42,12.0,400,2418,2506,6953,1356,2452,7423,15793.54,15364.38,45162.52,16474.95,17230.55,45936.28,0.00,0.00,0.00,681.41,1866.17,773.76,2132.04,2132.04,1.003,0.095,0.520,-3.625,-0.609,0.156,7395,309.4,0,-0.9501,-0.0420,0.0038,-0.3091,36.0,-1.9,0.0
1469453,2026-09-11_08-48-07.455-240,v5.1.3,3.42,12.0,400,2434,2503,6975,1349,2447,7475,15899.56,15340.12,45306.10,16487.60,17207.02,46278.71,0.00,0.00,0.00,588.03,1866.90,972.61,2185.65,2185.65,0.999,0.094,0.521,-3.688,-0.484,0.312,7395,316.3,0,-0.9500,-0.0426,0.0043,-0.3092,36.0,-2.0,0.0
1469489,2026-09-11_08-48-07.490-240,v5.1.3,3.42,12.0,400,2432,2512,6945,1360,2466,7446,15885.83,15404.04,45109.98,16523.83,17326.69,46078.36,0.00,0.00,0.00,638.00,1922.65,968.38,2245.31,2245.31,0.997,0.085,0.524,-3.734,-0.062,-0.078,7395,323.9,0,-0.9501,-0.0424,0.0048,-0.3092,36.0,-2.0,0.0
1469513,2026-09-11_08-48-07.513-240,v5.1.3,3.42,12.0,400,2423,2499,6980,1373,2458,7471,15827.01,15313.87,45338.95,16638.90,17280.45,46225.69,0.00,0.00,0.00,811.89,1966.58,886.74,2304.97,2304.97,1.000,0.100,0.521,-3.516,-0.109,0.453,7395,331.5,0,-0.9500,-0.0431,0.0049,-0.3092,36.0,-2.1,0.0
1469537,2026-09-11_08-48-07.538-240,v5.1.3,3.42,12.0,400,2437,2496,6975,1346,2456,7470,15919.79,15293.65,45306.58,16460.37,17264.55,46248.94,0.00,0.00,0.00,540.59,1970.90,942.36,2250.49,2250.49,0.996,0.085,0.527,-4.125,-1.094,-0.297,7395,324.5,0,-0.9500,-0.0429,0.0052,-0.3091,36.0,-2.1,0.0
1469556,2026-09-11_08-48-07.557-240,v5.1.3,3.42,12.0,400,2425,2510,6955,1360,2449,7447,15839.63,15389.96,45175.28,16528.56,17215.88,46086.50,0.00,0.00,0.00,688.93,1825.93,911.22,2153.82,2153.82,0.999,0.081,0.539,-3.641,-0.703,0.234,7395,312.2,0,-0.9501,-0.0423,0.0049,-0.3091,36.0,-2.0,0.0
1469578,2026-09-11_08-48-07.578-240,v5.1.3,3.42,12.0,400,2418,2499,6942,1357,2455,7440,15793.91,15319.73,45091.32,16499.76,17253.45,46044.17,0.00,0.00,0.00,705.85,1933.71,952.85,2268.35,2268.35,0.998,0.065,0.530,-3.703,-0.703,-0.031,7395,326.8,0,-0.9501,-0.0415,0.0052,-0.3091,36.0,-2.0,0.0
1469603,2026-09-11_08-48-07.603-240,v5.1.3,3.42,12.0,400,2434,2502,6974,1351,2443,7478,15899.62,15333.66,45299.65,16504.95,17181.67,46296.21,0.00,0.00,0.00,605.33,1848.00,996.57,2185.11,2185.11,0.997,0.093,0.526,-3.703,-0.078,0.344,7395,316.2,0,-0.9501,-0.0421,0.0052,-0.3091,36.0,-2.1,0.0
1469622,2026-09-11_08-48-07.623-240,v5.1.3,3.42,12.0,400,2427,2504,6958,1361,2452,7443,15853.19,15349.73,45195.25,16530.07,17234.81,46059.39,0.00,0.00,0.00,676.88,1885.08,864.15,2181.39,2181.39,0.999,0.081,0.526,-3.266,-0.578,0.156,7395,315.7,0,-0.9501,-0.0418,0.0055,-0.3092,36.0,-2.1,0.0
1469643,2026-09-11_08-48-07.643-240,v5.1.3,3.42,12.0,400,2422,2501,6953,1355,2450,7447,15820.27,15331.04,45162.87,16495.41,17221.92,46091.86,0.00,0.00,0.00,675.15,1890.88,928.99,2212.30,2212.30,0.994,0.086,0.533,-3.594,-0.453,-0.062,7393,319.7,0,-0.9501,-0.0418,0.0051,-0.3092,36.0,-2.0,0.0
1469668,2026-09-11_08-48-07.668-240,v5.1.3,3.42,12.0,400,2440,2500,6979,1348,2446,7503,15939.42,15319.25,45332.37,16512.29,17205.67,46459.90,0.00,0.00,0.00,572.87,1886.42,1127.53,2271.14,2271.14,0.997,0.094,0.532,-3.422,-0.516,0.719,7393,327.2,0,-0.9500,-0.0422,0.0048,-0.3093,36.0,-2.0,0.0
1469689,2026-09-11_08-48-07.689-240,v5.1.3,3.42,12.0,400,2429,2507,6957,1357,2451,7505,15866.26,15369.53,45188.53,16572.73,17239.58,46462.43,0.00,0.00,0.00,706.47,1870.05,1273.90,2370.45,2370.45,0.999,0.087,0.529,-3.719,-0.391,0.609,7393,339.8,0,-0.9500,-0.0421,0.0049,-0.3094,36.0,-2.0,0.0
1469708,2026-09-11_08-48-07.709-240,v5.1.3,3.42,12.0,400,2433,2510,6943,1361,2463,7459,15892.55,15391.04,45097.09,16545.48,17309.65,46161.14,0.00,0.00,0.00,652.93,1918.61,1064.05,2289.02,2289.02,1.000,0.087,0.529,-3.391,-0.578,0.469,7393,329.4,0,-0.9500,-0.0421,0.0050,-0.3095,36.0,-2.0,0.0
1469729,2026-09-11_08-48-07.730-240,v5.1.3,3.42,12.0,400,2425,2506,6947,1349,2456,7448,15839.84,15364.69,45123.43,16455.72,17260.70,46104.23,0.00,0.00,0.00,615.88,1896.01,980.80,2221.74,2221.74,0.995,0.093,0.535,-3.234,-0.422,-0.156,7393,320.9,0,-0.9499,-0.0424,0.0045,-0.3095,36.0,-2.0,0.0
1469753,2026-09-11_08-48-07.753-240,v5.1.3,3.42,12.0,400,2425,2503,6994,1366,2449,7490,15840.04,15338.11,45429.91,16615.79,17224.58,46356.38,0.00,0.00,0.00,775.75,1886.46,926.47,2240.29,2240.29,0.994,0.087,0.533,-3.656,-0.812,-0.062,7393,323.2,0,-0.9500,-0.0423,0.0043,-0.3094,36.0,-2.0,0.0
1469772,2026-09-11_08-48-07.773-240,v5.1.3,3.42,12.0,400,2424,2500,6989,1366,2451,7431,15833.58,15319.10,45397.53,16549.90,17226.51,45976.89,0.00,0.00,0.00,716.33,1907.41,579.36,2118.26,2118.26,0.996,0.084,0.529,-3.828,-0.266,0.078,7393,307.7,0,-0.9500,-0.0421,0.0044,-0.3094,36.0,-2.0,0.0
