time_ms,timestamp,version,voltage,audio_gain,cc,refX_raw,refY_raw,refZ_raw,tipX_raw,tipY_raw,tipZ_raw,refX_cal,refY_cal,refZ_cal,tipX_cal,tipY_cal,tipZ_cal,calOffsetX,calOffsetY,calOffsetZ,gradX,gradY,gradZ,mag,nT,accX,accY,accZ,gyrX,gyrY,gyrZ,imu_temp,freq,is_muted,QW,QX,QY,QZ,Azimuth,Elevation,Declination
2317178,2026-09-11_09-02-15.178-240,v5.1.3,3.44,12.0,200,1186,1256,3497,649,1254,3746,15488.93,15401.80,45429.26,16157.55,17603.52,46437.53,0.00,0.00,0.00,668.62,2201.72,1008.27,2512.22,2512.22,0.994,0.052,0.554,-5.375,-0.484,0.984,9733,357.9,0,-0.9495,-0.0373,0.0056,-0.3115,36.3,-1.9,0.0
2317212,2026-09-11_09-02-15.212-240,v5.1.3,3.44,12.0,200,1193,1243,3492,645,1233,3748,15582.93,15230.40,45365.89,16118.23,17329.26,46476.21,0.00,0.00,0.00,535.30,2098.86,1110.32,2434.04,2434.04,1.031,0.097,0.551,-2.875,-1.203,-0.453,9733,347.9,0,-0.9494,-0.0375,0.0060,-0.3117,36.3,-2.0,0.0
2317234,2026-09-11_09-02-15.235-240,v5.1.3,3.44,12.0,200,1188,1274,3506,645,1255,3749,15513.47,15636.67,45544.08,16111.09,17616.93,46484.64,0.00,0.00,0.00,597.62,1980.26,940.55,2272.27,2272.27,1.002,0.101,0.555,-4.922,-0.828,0.766,9733,327.3,0,-0.9494,-0.0382,0.0056,-0.3116,36.3,-2.0,0.0
2317263,2026-09-11_09-02-15.263-240,v5.1.3,3.44,12.0,200,1196,1255,3499,653,1223,3743,15621.35,15386.42,45455.47,16216.78,17198.35,46396.47,0.00,0.00,0.00,595.43,1811.94,941.00,2126.76,2126.76,1.003,0.044,0.551,-4.375,-0.359,0.391,9726,308.7,0,-0.9495,-0.0370,0.0058,-0.3115,36.3,-2.0,0.0
2317294,2026-09-11_09-02-15.295-240,v5.1.3,3.44,12.0,200,1191,1237,3498,650,1229,3741,15557.12,15149.73,45444.91,16170.27,17275.36,46376.10,0.00,0.00,0.00,613.14,2125.63,931.18,2400.28,2400.28,1.002,0.107,0.552,-3.938,-0.797,0.172,9726,343.6,0,-0.9494,-0.0380,0.0059,-0.3116,36.3,-2.0,0.0
2317318,2026-09-11_09-02-15.318-240,v5.1.3,3.44,12.0,200,1177,1253,3495,638,1239,3746,15370.17,15364.19,45403.60,16019.02,17405.48,46464.57,0.00,0.00,0.00,648.86,2041.29,1060.97,2390.30,2390.30,1.003,0.073,0.545,-4.969,-0.797,0.719,9726,342.4,0,-0.9495,-0.0381,0.0057,-0.3114,36.2,-2.0,0.0
2317353,2026-09-11_09-02-15.353-240,v5.1.3,3.44,12.0,200,1193,1239,3495,657,1226,3742,15583.37,15176.69,45405.54,16265.98,17237.94,46374.28,0.00,0.00,0.00,682.61,2061.24,968.73,2377.63,2377.63,1.001,0.075,0.552,-3.531,-0.844,-0.531,9726,340.8,0,-0.9495,-0.0374,0.0058,-0.3115,36.3,-2.0,0.0
2317379,2026-09-11_09-02-15.379-240,v5.1.3,3.44,12.0,200,1190,1246,3499,647,1248,3753,15542.93,15268.49,45456.71,16149.29,17527.42,46533.11,0.00,0.00,0.00,606.36,2258.92,1076.40,2574.69,2574.69,1.004,0.096,0.551,-4.672,-0.641,0.062,9726,365.9,0,-0.9496,-0.0388,0.0051,-0.3111,36.2,-1.9,0.0
2317408,2026-09-11_09-02-15.408-240,v5.1.3,3.44,12.0,200,1188,1256,3493,652,1241,3741,15515.38,15402.63,45377.13,16191.51,17432.46,46369.31,0.00,0.00,0.00,676.12,2029.83,992.18,2358.34,2358.34,0.998,0.054,0.552,-4.062,-0.609,0.281,9725,338.3,0,-0.9496,-0.0378,0.0052,-0.3110,36.2,-1.9,0.0
2317439,2026-09-11_09-02-15.439-240,v5.1.3,3.44,12.0,200,1187,1246,3498,652,1240,3748,15503.23,15269.26,45443.67,16207.47,17422.04,46459.52,0.00,0.00,0.00,704.24,2152.78,1015.84,2482.41,2482.41,1.000,0.096,0.546,-4.406,-1.031,-0.109,9725,354.1,0,-0.9496,-0.0384,0.0052,-0.3110,36.2,-1.9,0.0
2317465,2026-09-11_09-02-15.466-240,v5.1.3,3.44,12.0,200,1191,1258,3498,652,1244,3750,15554.87,15427.13,45442.02,16210.20,17475.03,46484.43,0.00,0.00,0.00,655.33,2047.90,1042.40,2389.55,2389.55,1.002,0.073,0.549,-4.516,-0.719,0.219,9725,342.3,0,-0.9497,-0.0384,0.0051,-0.3109,36.2,-1.9,0.0
2317498,2026-09-11_09-02-15.498-240,v5.1.3,3.44,12.0,200,1195,1267,3500,652,1264,3745,15606.83,15544.80,45466.86,16190.60,17734.32,46416.11,0.00,0.00,0.00,583.77,2189.52,949.26,2456.80,2456.80,0.999,0.072,0.545,-3.469,-0.969,0.219,9725,350.8,0,-0.9497,-0.0376,0.0052,-0.3109,36.2,-1.9,0.0
2317521,2026-09-11_09-02-15.522-240,v5.1.3,3.44,12.0,200,1193,1251,3490,655,1237,3741,15582.07,15336.65,45338.72,16232.73,17380.81,46363.57,0.00,0.00,0.00,650.66,2044.17,1024.85,2377.45,2377.45,1.002,0.097,0.546,-4.344,-0.766,-0.094,9725,340.7,0,-0.9497,-0.0384,0.0049,-0.3109,36.2,-1.9,0.0
2317548,2026-09-11_09-02-15.548-240,v5.1.3,3.44,12.0,200,1192,1272,3497,654,1256,3743,15566.60,15612.20,45427.07,16215.91,17629.49,46387.64,0.00,0.00,0.00,649.31,2017.29,960.57,2326.75,2326.75,1.007,0.063,0.548,-4.453,-0.328,0.391,9731,334.3,0,-0.9497,-0.0376,0.0049,-0.3108,36.2,-1.9,0.0
2317614,2026-09-11_09-02-15.615-240,v5.1.3,3.44,12.0,200,1198,1273,3498,654,1257,3746,15645.88,15624.16,45439.97,16222.14,17643.68,46426.01,0.00,0.00,0.00,576.26,2019.52,986.04,2320.09,2320.09,1.003,0.073,0.539,-4.500,-1.000,-0.188,9731,333.4,0,-0.9498,-0.0378,0.0037,-0.3106,36.2,-1.7,0.0
2317640,2026-09-11_09-02-15.641-240,v5.1.3,3.44,12.0,200,1194,1271,3502,655,1259,3741,15593.18,15597.23,45492.37,16223.37,17668.11,46359.14,0.00,0.00,0.00,630.20,2070.88,866.77,2331.73,2331.73,1.005,0.073,0.545,-3.938,-1.125,-0.234,9731,334.9,0,-0.9498,-0.0373,0.0039,-0.3107,36.2,-1.8,0.0
2317673,2026-09-11_09-02-15.673-240,v5.1.3,3.44,12.0,200,1189,1245,3499,649,1242,3740,15529.80,15255.44,45456.84,16149.34,17444.55,46362.81,0.00,0.00,0.00,619.54,2189.11,905.96,2448.84,2448.84,1.006,0.086,0.539,-4.391,-0.797,0.406,9731,349.8,0,-0.9497,-0.0381,0.0039,-0.3107,36.2,-1.8,0.0
2317697,2026-09-11_09-02-15.698-240,v5.1.3,3.44,12.0,200,1187,1253,3494,648,1253,3753,15502.48,15362.88,45390.57,16160.34,17592.91,46529.91,0.00,0.00,0.00,657.86,2230.03,1139.34,2589.19,2589.19,1.001,0.068,0.544,-4.125,-0.406,-0.094,9731,367.7,0,-0.9498,-0.0375,0.0040,-0.3106,36.2,-1.8,0.0
2317728,2026-09-11_09-02-15.728-240,v5.1.3,3.44,12.0,200,1193,1247,3498,653,1234,3750,15582.51,15281.51,45443.54,16227.63,17344.64,46484.25,0.00,0.00,0.00,645.12,2063.13,1040.71,2399.12,2399.12,1.005,0.090,0.542,-4.094,-0.953,0.562,9731,343.5,0,-0.9498,-0.0378,0.0041,-0.3106,36.2,-1.8,0.0
2317759,2026-09-11_09-02-15.761-240,v5.1.3,3.44,12.0,200,1188,1236,3495,651,1235,3729,15517.53,15137.87,45405.95,16154.26,17349.39,46218.42,0.00,0.00,0.00,636.73,2211.52,812.47,2440.56,2440.56,1.008,0.070,0.541,-4.203,-0.953,0.547,9731,348.8,0,-0.9498,-0.0376,0.0040,-0.3107,36.2,-1.8,0.0
2317783,2026-09-11_09-02-15.783-240,v5.1.3,3.44,12.0,200,1186,1249,3493,653,1235,3742,15489.67,15310.49,45378.09,16209.46,17354.68,46381.20,0.00,0.00,0.00,719.78,2044.19,1003.11,2388.10,2388.10,1.002,0.076,0.543,-3.734,-1.391,-0.016,9731,342.1,0,-0.9498,-0.0373,0.0042,-0.3107,36.2,-1.8,0.0
2317813,2026-09-11_09-02-15.813-240,v5.1.3,3.44,12.0,200,1196,1240,3491,652,1235,3749,15622.95,15190.57,45353.28,16211.81,17357.12,46473.38,0.00,0.00,0.00,588.87,2166.55,1120.10,2509.05,2509.05,1.005,0.086,0.545,-4.141,-1.359,-0.703,9731,357.5,0,-0.9498,-0.0380,0.0041,-0.3107,36.2,-1.8,0.0
2317837,2026-09-11_09-02-15.838-240,v5.1.3,3.44,12.0,200,1184,1279,3502,653,1260,3743,15460.01,15704.51,45491.26,16201.04,17681.53,46389.02,0.00,0.00,0.00,741.03,1977.02,897.76,2294.28,2294.28,1.002,0.068,0.540,-4.391,-1.062,0.172,9725,330.1,0,-0.9498,-0.0376,0.0043,-0.3106,36.2,-1.8,0.0
2317860,2026-09-11_09-02-15.862-240,v5.1.3,3.44,12.0,200,1192,1254,3500,644,1250,3747,15568.53,15373.56,45468.64,16095.60,17550.68,46462.11,0.00,0.00,0.00,527.07,2177.12,993.47,2450.44,2450.44,1.003,0.078,0.538,-3.766,-0.922,0.062,9725,350.0,0,-0.9498,-0.0376,0.0045,-0.3106,36.2,-1.8,0.0
2317898,2026-09-11_09-02-15.898-240,v5.1.3,3.44,12.0,200,1194,1250,3492,645,1249,3747,15595.41,15322.70,45364.93,16109.20,17537.82,46460.13,0.00,0.00,0.00,513.79,2215.12,1095.20,2523.93,2523.93,1.005,0.078,0.541,-4.484,-0.781,0.453,9725,359.4,0,-0.9498,-0.0380,0.0046,-0.3105,36.1,-1.9,0.0
2317920,2026-09-11_09-02-15.921-240,v5.1.3,3.44,12.0,200,1193,1238,3497,645,1223,3747,15583.48,15162.91,45431.74,16120.26,17198.29,46465.37,0.00,0.00,0.00,536.79,2035.38,1033.62,2345.06,2345.06,1.002,0.073,0.538,-4.469,-0.375,-0.766,9725,336.6,0,-0.9498,-0.0376,0.0048,-0.3105,36.1,-1.9,0.0
2317953,2026-09-11_09-02-15.953-240,v5.1.3,3.44,12.0,200,1189,1267,3497,647,1255,3743,15527.44,15546.63,45427.75,16124.12,17615.06,46403.12,0.00,0.00,0.00,596.68,2068.43,975.38,2363.42,2363.42,1.007,0.087,0.545,-4.312,-0.781,-0.141,9725,338.9,0,-0.9498,-0.0380,0.0044,-0.3104,36.1,-1.8,0.0
