time_ms,timestamp,version,voltage,audio_gain,cc,refX_raw,refY_raw,refZ_raw,tipX_raw,tipY_raw,tipZ_raw,refX_cal,refY_cal,refZ_cal,tipX_cal,tipY_cal,tipZ_cal,calOffsetX,calOffsetY,calOffsetZ,gradX,gradY,gradZ,mag,nT,accX,accY,accZ,gyrX,gyrY,gyrZ,imu_temp,freq,is_muted,QW,QX,QY,QZ,Azimuth,Elevation,Declination
399643,2026-09-11_08-30-17.645-240,v5.1.3,3.45,12.0,400,3226,6630,2559,2931,6826,3268,20913.98,43146.87,16231.70,21301.22,45160.75,17019.37,0.00,0.00,0.00,387.24,2013.88,787.67,2196.83,2196.83,0.184,0.175,1.020,-1.000,-0.969,-3.750,6878,317.7,0,-0.7998,0.1455,-0.4044,-0.4191,59.8,50.2,0.0
399668,2026-09-11_08-30-17.668-240,v5.1.3,3.45,12.0,400,3243,6626,2566,2927,6828,3256,21026.60,43118.23,16277.54,21261.22,45170.98,16946.35,0.00,0.00,0.00,234.62,2052.75,668.81,2171.66,2171.66,0.180,0.185,1.038,-3.422,-0.594,-0.641,6878,314.5,0,-0.7996,0.1448,-0.4049,-0.4191,59.9,50.3,0.0
399690,2026-09-11_08-30-17.691-240,v5.1.3,3.45,12.0,400,3230,6630,2552,2933,6827,3268,20940.50,43147.49,16186.01,21314.19,45167.46,17017.07,0.00,0.00,0.00,373.68,2019.96,831.06,2215.98,2215.98,0.204,0.166,1.041,-5.875,-0.328,1.531,6869,320.1,0,-0.7996,0.1446,-0.4048,-0.4193,59.9,50.2,0.0
399710,2026-09-11_08-30-17.711-240,v5.1.3,3.45,12.0,400,3224,6634,2559,2930,6831,3252,20900.54,43173.41,16231.43,21275.94,45190.04,16917.01,0.00,0.00,0.00,375.40,2016.62,685.58,2162.80,2162.80,0.193,0.136,1.040,-6.266,-0.562,2.297,6869,313.3,0,-0.7996,0.1449,-0.4046,-0.4193,59.9,50.2,0.0
399733,2026-09-11_08-30-17.733-240,v5.1.3,3.45,12.0,400,3232,6630,2572,2917,6827,3261,20953.57,43144.68,16316.48,21201.06,45164.52,16989.57,0.00,0.00,0.00,247.49,2019.84,673.09,2143.38,2143.38,0.190,0.117,1.044,-6.219,0.016,2.281,6869,310.9,0,-0.7996,0.1455,-0.4045,-0.4193,59.8,50.3,0.0
399753,2026-09-11_08-30-17.753-240,v5.1.3,3.45,12.0,400,3232,6623,2574,2898,6823,3256,20953.92,43098.23,16330.02,21071.23,45135.60,16978.66,0.00,0.00,0.00,117.31,2037.36,648.64,2141.34,2141.34,0.194,0.101,1.031,-5.984,0.203,1.891,6869,310.6,0,-0.7997,0.1461,-0.4042,-0.4192,59.8,50.3,0.0
399773,2026-09-11_08-30-17.773-240,v5.1.3,3.45,12.0,400,3218,6631,2576,2924,6833,3261,20860.86,43151.82,16342.59,21245.91,45204.34,16981.25,0.00,0.00,0.00,385.04,2052.51,638.66,2183.79,2183.79,0.185,0.091,1.038,-5.219,0.000,1.734,6869,316.0,0,-0.7997,0.1467,-0.4041,-0.4190,59.7,50.3,0.0
399795,2026-09-11_08-30-17.796-240,v5.1.3,3.45,12.0,400,3213,6630,2564,2923,6826,3270,20827.93,43147.21,16264.41,21250.72,45160.39,17041.00,0.00,0.00,0.00,422.79,2013.18,776.59,2198.80,2198.80,0.189,0.099,1.037,-4.562,0.109,0.906,6869,317.9,0,-0.7998,0.1470,-0.4041,-0.4189,59.7,50.3,0.0
399814,2026-09-11_08-30-17.815-240,v5.1.3,3.45,12.0,400,3243,6625,2575,2911,6830,3255,21026.58,43110.45,16336.33,21154.29,45182.31,16957.23,0.00,0.00,0.00,127.71,2071.86,620.90,2166.67,2166.67,0.174,0.095,1.026,-2.969,-0.016,0.047,6869,313.8,0,-0.7997,0.1471,-0.4043,-0.4187,59.7,50.3,0.0
399832,2026-09-11_08-30-17.832-240,v5.1.3,3.45,12.0,400,3226,6633,2573,2916,6838,3255,20913.71,43164.79,16322.83,21185.53,45234.98,16950.88,0.00,0.00,0.00,271.82,2070.19,628.05,2180.37,2180.37,0.153,0.095,1.027,-2.031,0.047,-1.562,6868,315.6,0,-0.7997,0.1470,-0.4047,-0.4185,59.7,50.4,0.0
