time_ms,timestamp,version,voltage,audio_gain,cc,refX_raw,refY_raw,refZ_raw,tipX_raw,tipY_raw,tipZ_raw,refX_cal,refY_cal,refZ_cal,tipX_cal,tipY_cal,tipZ_cal,calOffsetX,calOffsetY,calOffsetZ,gradX,gradY,gradZ,mag,nT,accX,accY,accZ,gyrX,gyrY,gyrZ,imu_temp,freq,is_muted,QW,QX,QY,QZ,Azimuth,Elevation,Declination
3631023,2026-09-11_09-24-08.023-240,v5.1.3,3.40,12.0,200,1165,2309,2939,782,2204,3136,15097.42,29475.35,38012.03,16151.86,29805.47,38113.03,0.00,0.00,0.00,1054.43,330.12,101.00,1109.51,1109.51,0.810,0.130,0.781,-5.062,-0.938,-0.344,10914,179.0,0,-0.4379,0.1760,-0.1373,-0.8709,127.8,25.3,0.0
3631056,2026-09-11_09-24-08.057-240,v5.1.3,3.40,12.0,200,1179,2310,2942,797,2205,3134,15282.56,29485.45,38051.00,16344.60,29820.72,38054.36,0.00,0.00,0.00,1062.04,335.27,3.36,1113.71,1113.71,0.805,0.093,0.785,-5.828,-0.344,-0.375,10908,179.5,0,-0.4392,0.1763,-0.1369,-0.8702,127.6,25.3,0.0
3631080,2026-09-11_09-24-09.080-240,v5.1.3,3.40,12.0,200,1148,2309,2941,774,2199,3139,14872.50,29477.50,38038.07,16055.25,29739.74,38170.07,0.00,0.00,0.00,1182.76,262.24,132.00,1218.65,1218.65,0.801,0.102,0.779,-5.250,0.172,-1.734,10908,192.9,0,-0.4402,0.1764,-0.1369,-0.8697,127.5,25.3,0.0
3631113,2026-09-11_09-24-09.113-240,v5.1.3,3.40,12.0,200,1183,2314,2934,783,2207,3137,15335.04,29539.95,37946.19,16165.97,29845.22,38123.10,0.00,0.00,0.00,830.93,305.27,176.91,902.74,902.74,0.797,0.130,0.776,-6.062,0.328,-0.812,10908,152.6,0,-0.4415,0.1764,-0.1372,-0.8690,127.3,25.3,0.0
3631141,2026-09-11_09-24-09.142-240,v5.1.3,3.40,12.0,200,1179,2320,2928,796,2206,3133,15281.47,29621.58,37867.17,16328.78,29833.21,38043.48,0.00,0.00,0.00,1047.32,211.63,176.32,1082.93,1082.93,0.812,0.120,0.791,-8.547,1.234,1.078,10908,175.6,0,-0.4427,0.1770,-0.1369,-0.8683,127.1,25.4,0.0
3631168,2026-09-11_09-24-09.168-240,v5.1.3,3.40,12.0,200,1159,2322,2935,784,2213,3135,15016.64,29649.19,37958.10,16172.16,29923.02,38093.99,0.00,0.00,0.00,1155.52,273.83,135.89,1195.27,1195.27,0.814,0.104,0.802,-8.062,1.469,0.188,10908,189.9,0,-0.4439,0.1778,-0.1365,-0.8676,126.9,25.4,0.0
3631203,2026-09-11_09-24-09.203-240,v5.1.3,3.40,12.0,200,1174,2329,2933,785,2222,3128,15214.35,29739.82,37931.09,16165.97,30038.10,38000.00,0.00,0.00,0.00,951.61,298.28,68.91,999.64,999.64,0.791,0.081,0.760,-5.609,1.609,-4.328,10918,165.0,0,-0.4459,0.1784,-0.1369,-0.8664,126.7,25.6,0.0
3631227,2026-09-11_09-24-09.228-240,v5.1.3,3.40,12.0,200,1164,2335,2926,772,2230,3119,15081.39,29822.70,37839.02,15971.33,30136.63,37911.05,0.00,0.00,0.00,889.95,313.93,72.03,946.44,946.44,0.782,0.120,0.768,-5.312,0.578,-3.609,10918,158.2,0,-0.4472,0.1786,-0.1377,-0.8655,126.5,25.6,0.0
3631253,2026-09-11_09-24-09.253-240,v5.1.3,3.40,12.0,200,1171,2337,2925,783,2229,3126,15173.79,29848.28,37825.72,16132.21,30128.37,37977.24,0.00,0.00,0.00,958.41,280.09,151.52,1009.93,1009.93,0.800,0.157,0.804,-8.562,0.391,1.062,10918,166.3,0,-0.4482,0.1789,-0.1380,-0.8649,126.4,25.7,0.0
3631284,2026-09-11_09-24-09.285-240,v5.1.3,3.40,12.0,200,1133,2342,2935,758,2227,3125,14670.48,29917.54,37955.32,15801.49,30096.97,38019.37,0.00,0.00,0.00,1131.01,179.43,64.05,1146.94,1146.94,0.812,0.085,0.817,-9.859,0.422,4.000,10918,183.8,0,-0.4495,0.1803,-0.1365,-0.8642,126.1,25.7,0.0
3631308,2026-09-11_09-24-09.308-240,v5.1.3,3.40,12.0,200,1137,2340,2927,770,2233,3121,14723.61,29892.79,37851.34,15948.15,30176.17,37940.53,0.00,0.00,0.00,1224.54,283.38,89.19,1260.06,1260.06,0.813,0.049,0.814,-6.625,0.000,-0.406,10918,198.2,0,-0.4505,0.1810,-0.1358,-0.8636,125.9,25.8,0.0
