time_ms,timestamp,version,voltage,audio_gain,cc,refX_raw,refY_raw,refZ_raw,tipX_raw,tipY_raw,tipZ_raw,refX_cal,refY_cal,refZ_cal,tipX_cal,tipY_cal,tipZ_cal,calOffsetX,calOffsetY,calOffsetZ,gradX,gradY,gradZ,mag,nT,accX,accY,accZ,gyrX,gyrY,gyrZ,imu_temp,freq,is_muted,QW,QX,QY,QZ,Azimuth,Elevation,Declination
802778,2026-09-11_08-37-00.780-240,v5.1.3,3.44,12.0,800,-2342,-3674,14686,-4679,-3746,14357,-7716.81,-13088.69,48000.89,-7218.17,-11417.58,48834.39,0.00,0.00,0.00,498.64,1671.12,833.50,1932.87,1932.87,0.985,0.127,0.533,-3.938,-0.312,0.328,6782,284.0,0,-0.3951,-0.0088,0.0532,0.9171,226.5,-1.5,0.0
802818,2026-09-11_08-37-00.818-240,v5.1.3,3.44,12.0,800,-2321,-3679,14624,-4670,-3774,14340,-7647.23,-13101.59,47799.05,-7194.98,-11510.15,48776.24,0.00,0.00,0.00,452.25,1591.44,977.19,1921.48,1921.48,0.988,0.110,0.537,-3.844,-0.359,-0.031,6782,282.6,0,-0.3950,-0.0089,0.0530,0.9171,226.5,-1.5,0.0
802854,2026-09-11_08-37-00.854-240,v5.1.3,3.44,12.0,800,-2337,-3674,14653,-4692,-3725,14403,-7700.28,-13086.52,47893.37,-7237.70,-11345.32,48988.29,0.00,0.00,0.00,462.58,1741.20,1094.92,2108.22,2108.22,0.988,0.122,0.545,-4.062,-0.641,0.406,6782,306.4,0,-0.3950,-0.0091,0.0529,0.9171,226.5,-1.4,0.0
802888,2026-09-11_08-37-01.888-240,v5.1.3,3.44,12.0,800,-2333,-3677,14755,-4679,-3761,14459,-7686.93,-13103.92,48225.81,-7159.99,-11456.93,49163.00,0.00,0.00,0.00,526.95,1646.99,937.19,1966.87,1966.87,0.987,0.117,0.535,-3.484,-0.781,0.047,6782,288.4,0,-0.3950,-0.0090,0.0530,0.9171,226.5,-1.5,0.0
802923,2026-09-11_08-37-01.925-240,v5.1.3,3.44,12.0,800,-2311,-3708,14645,-4690,-3812,14437,-7613.37,-13199.27,47868.48,-7203.00,-11626.05,49100.86,0.00,0.00,0.00,410.37,1573.22,1232.38,2040.15,2040.15,0.987,0.112,0.535,-3.375,-0.656,-0.109,6775,297.7,0,-0.3951,-0.0089,0.0530,0.9171,226.5,-1.5,0.0
802962,2026-09-11_08-37-01.963-240,v5.1.3,3.44,12.0,800,-2282,-3682,14687,-4708,-3839,14377,-7518.13,-13117.59,48004.44,-7292.69,-11720.73,48919.18,0.00,0.00,0.00,225.43,1396.86,914.75,1684.87,1684.87,0.987,0.121,0.544,-3.344,-0.359,0.203,6775,252.4,0,-0.3952,-0.0093,0.0531,0.9170,226.6,-1.4,0.0
802995,2026-09-11_08-37-01.996-240,v5.1.3,3.44,12.0,800,-2321,-3680,14678,-4676,-3780,14310,-7647.19,-13108.77,47975.03,-7230.75,-11532.86,48683.39,0.00,0.00,0.00,416.44,1575.91,708.36,1777.27,1777.27,0.989,0.108,0.538,-3.484,-1.062,-0.172,6775,264.2,0,-0.3952,-0.0091,0.0530,0.9170,226.6,-1.4,0.0
803033,2026-09-11_08-37-01.033-240,v5.1.3,3.44,12.0,800,-2349,-3680,14729,-4681,-3791,14369,-7739.79,-13111.32,48141.20,-7213.31,-11563.46,48876.32,0.00,0.00,0.00,526.47,1547.86,735.12,1792.61,1792.61,0.989,0.127,0.532,-3.938,-0.875,0.484,6775,266.1,0,-0.3952,-0.0089,0.0532,0.9170,226.6,-1.5,0.0
803065,2026-09-11_08-37-01.066-240,v5.1.3,3.44,12.0,800,-2346,-3676,14634,-4662,-3762,14384,-7730.00,-13091.40,47831.53,-7145.50,-11466.43,48912.70,0.00,0.00,0.00,584.50,1624.97,1081.17,2037.42,2037.42,0.988,0.114,0.535,-3.219,-0.250,-0.141,6782,297.4,0,-0.3953,-0.0090,0.0532,0.9170,226.6,-1.5,0.0
803103,2026-09-11_08-37-01.103-240,v5.1.3,3.44,12.0,800,-2324,-3679,14678,-4672,-3786,14321,-7657.14,-13105.35,47975.00,-7210.83,-11551.21,48716.86,0.00,0.00,0.00,446.30,1554.14,741.87,1779.02,1779.02,0.987,0.122,0.539,-4.000,-0.641,0.656,6782,264.4,0,-0.3953,-0.0090,0.0531,0.9170,226.6,-1.5,0.0
803138,2026-09-11_08-37-01.138-240,v5.1.3,3.44,12.0,800,-2370,-3658,14654,-4702,-3745,14357,-7809.87,-13032.43,47896.07,-7294.03,-11415.44,48846.89,0.00,0.00,0.00,515.84,1616.99,950.82,1945.46,1945.46,0.986,0.122,0.539,-3.125,-0.609,-0.016,6782,285.6,0,-0.3954,-0.0092,0.0533,0.9169,226.6,-1.4,0.0
803172,2026-09-11_08-37-01.174-240,v5.1.3,3.44,12.0,800,-2308,-3680,14574,-4690,-3810,14351,-7604.22,-13101.82,47636.18,-7250.92,-11627.62,48824.33,0.00,0.00,0.00,353.30,1474.19,1188.15,1926.08,1926.08,0.986,0.109,0.534,-3.891,-0.453,0.406,6782,283.1,0,-0.3954,-0.0090,0.0529,0.9169,226.6,-1.5,0.0
803208,2026-09-11_08-37-01.208-240,v5.1.3,3.44,12.0,800,-2344,-3670,14617,-4673,-3767,14377,-7723.56,-13070.44,47775.93,-7185.08,-11483.96,48896.45,0.00,0.00,0.00,538.47,1586.49,1120.52,2015.55,2015.55,0.990,0.132,0.534,-3.531,-0.531,0.266,6774,294.6,0,-0.3955,-0.0091,0.0534,0.9169,226.6,-1.5,0.0
803267,2026-09-11_08-37-01.268-240,v5.1.3,3.44,12.0,800,-2326,-3667,14692,-4681,-3758,14341,-7664.07,-13066.65,48020.20,-7232.36,-11458.36,48784.66,0.00,0.00,0.00,431.71,1608.29,764.45,1832.31,1832.31,0.987,0.131,0.535,-3.609,-0.969,0.297,6774,271.2,0,-0.3956,-0.0091,0.0540,0.9168,226.6,-1.5,0.0
803303,2026-09-11_08-37-01.303-240,v5.1.3,3.44,12.0,800,-2339,-3685,14616,-4661,-3770,14376,-7706.61,-13120.11,47773.19,-7145.80,-11493.26,48886.84,0.00,0.00,0.00,560.82,1626.85,1113.65,2049.73,2049.73,0.987,0.108,0.538,-3.016,-0.578,0.484,6774,298.9,0,-0.3958,-0.0090,0.0536,0.9167,226.6,-1.5,0.0
803337,2026-09-11_08-37-01.338-240,v5.1.3,3.44,12.0,800,-2342,-3625,14658,-4697,-3786,14361,-7718.13,-12924.86,47907.97,-7270.98,-11548.67,48859.09,0.00,0.00,0.00,447.15,1376.19,951.11,1731.61,1731.61,0.986,0.125,0.536,-3.375,-0.219,0.578,6774,258.3,0,-0.3960,-0.0092,0.0536,0.9166,226.7,-1.5,0.0
803373,2026-09-11_08-37-01.373-240,v5.1.3,3.44,12.0,800,-2342,-3689,14604,-4670,-3779,14383,-7716.43,-13132.33,47734.23,-7170.60,-11522.42,48914.71,0.00,0.00,0.00,545.84,1609.91,1180.48,2069.61,2069.61,0.991,0.115,0.533,-3.484,-0.125,0.875,6784,301.5,0,-0.3962,-0.0091,0.0534,0.9166,226.7,-1.5,0.0
803407,2026-09-11_08-37-01.408-240,v5.1.3,3.44,12.0,800,-2301,-3670,14642,-4703,-3758,14370,-7581.31,-13073.96,47857.40,-7288.72,-11456.70,48889.88,0.00,0.00,0.00,292.59,1617.26,1032.48,1940.92,1940.92,0.988,0.121,0.540,-3.625,3.766,0.234,6784,285.0,0,-0.3962,-0.0104,0.0529,0.9166,226.7,-1.3,0.0
803443,2026-09-11_08-37-01.443-240,v5.1.3,3.44,12.0,800,-2355,-3628,14714,-4674,-3689,14376,-7761.03,-12938.28,48090.53,-7197.23,-11229.45,48889.86,0.00,0.00,0.00,563.81,1708.82,799.33,1968.98,1968.98,0.987,0.129,0.540,-4.109,-0.578,-0.203,6784,288.6,0,-0.3961,-0.0105,0.0532,0.9166,226.7,-1.3,0.0
803478,2026-09-11_08-37-01.478-240,v5.1.3,3.44,12.0,800,-2285,-3686,14646,-4693,-3766,14318,-7527.96,-13127.73,47870.99,-7283.79,-11487.23,48717.68,0.00,0.00,0.00,244.17,1640.50,846.69,1862.18,1862.18,0.989,0.113,0.538,-3.547,-0.375,0.672,6784,275.0,0,-0.3962,-0.0104,0.0529,0.9166,226.7,-1.3,0.0
803513,2026-09-11_08-37-01.513-240,v5.1.3,3.44,12.0,800,-2335,-3674,14656,-4673,-3760,14351,-7693.66,-13086.82,47903.14,-7200.25,-11463.55,48812.54,0.00,0.00,0.00,493.41,1623.26,909.39,1924.95,1924.95,0.987,0.122,0.532,-3.719,-0.141,0.484,6775,283.0,0,-0.3962,-0.0103,0.0530,0.9166,226.7,-1.3,0.0
803547,2026-09-11_08-37-01.547-240,v5.1.3,3.44,12.0,800,-2378,-3645,14676,-4717,-3766,14404,-7836.67,-12990.76,47967.30,-7315.12,-11480.30,49007.21,0.00,0.00,0.00,521.55,1510.46,1039.91,1906.54,1906.54,0.986,0.128,0.539,-3.844,-0.328,-0.016,6775,280.7,0,-0.3962,-0.0105,0.0532,0.9166,226.7,-1.3,0.0
