time_ms,timestamp,version,voltage,audio_gain,cc,refX_raw,refY_raw,refZ_raw,tipX_raw,tipY_raw,tipZ_raw,refX_cal,refY_cal,refZ_cal,tipX_cal,tipY_cal,tipZ_cal,calOffsetX,calOffsetY,calOffsetZ,gradX,gradY,gradZ,mag,nT,accX,accY,accZ,gyrX,gyrY,gyrZ,imu_temp,freq,is_muted,QW,QX,QY,QZ,Azimuth,Elevation,Declination
1279873,2026-09-11_08-44-57.873-240,v5.1.3,3.43,12.0,200,1172,1250,3499,627,1227,3749,15304.34,15324.21,45456.14,15885.87,17247.75,46529.58,0.00,0.00,0.00,581.54,1923.54,1073.44,2278.26,2278.26,0.994,0.100,0.530,-4.078,-0.750,0.406,7219,328.1,0,-0.9889,-0.0593,0.0187,-0.1351,15.4,-3.0,0.0
1279904,2026-09-11_08-44-58.905-240,v5.1.3,3.43,12.0,200,1172,1255,3501,628,1231,3752,15303.80,15389.69,45481.52,15904.00,17301.31,46565.16,0.00,0.00,0.00,600.20,1911.62,1083.64,2277.90,2277.90,0.994,0.056,0.518,-3.500,-0.359,0.297,7219,328.0,0,-0.9888,-0.0583,0.0187,-0.1362,15.5,-3.0,0.0
1279929,2026-09-11_08-44-58.930-240,v5.1.3,3.43,12.0,200,1165,1252,3493,637,1227,3712,15211.50,15353.48,45377.66,15935.50,17235.76,46032.03,0.00,0.00,0.00,724.01,1882.28,654.37,2120.23,2120.23,0.999,0.089,0.531,-3.312,-1.078,-0.031,7219,307.9,0,-0.9887,-0.0583,0.0186,-0.1372,15.6,-3.0,0.0
1279963,2026-09-11_08-44-58.963-240,v5.1.3,3.43,12.0,200,1173,1249,3496,618,1225,3749,15317.67,15311.71,45417.18,15768.16,17219.87,46549.63,0.00,0.00,0.00,450.49,1908.16,1132.45,2264.17,2264.17,0.995,0.072,0.527,-4.250,-0.500,0.578,7219,326.3,0,-0.9885,-0.0584,0.0185,-0.1384,15.8,-3.0,0.0
1279987,2026-09-11_08-44-58.988-240,v5.1.3,3.43,12.0,200,1166,1251,3488,635,1226,3724,15224.83,15341.55,45312.64,15936.21,17226.83,46190.88,0.00,0.00,0.00,711.38,1885.28,878.25,2198.11,2198.11,1.001,0.062,0.528,-3.125,-0.438,0.016,7209,317.8,0,-0.9884,-0.0576,0.0184,-0.1393,15.9,-3.0,0.0
1280015,2026-09-11_08-44-58.016-240,v5.1.3,3.43,12.0,200,1174,1245,3509,627,1238,3759,15331.35,15254.97,45587.16,15903.38,17395.17,46655.93,0.00,0.00,0.00,572.03,2140.20,1068.78,2459.67,2459.67,0.996,0.094,0.530,-3.688,-0.594,0.188,7209,351.2,0,-0.9882,-0.0581,0.0183,-0.1404,16.0,-3.0,0.0
1280048,2026-09-11_08-44-58.048-240,v5.1.3,3.43,12.0,200,1169,1252,3513,628,1227,3737,15264.45,15347.09,45638.32,15872.42,17243.42,46373.11,0.00,0.00,0.00,607.97,1896.33,734.79,2122.64,2122.64,0.999,0.064,0.527,-3.906,-0.625,0.203,7209,308.2,0,-0.9881,-0.0577,0.0183,-0.1416,16.1,-3.0,0.0
1280071,2026-09-11_08-44-58.072-240,v5.1.3,3.43,12.0,200,1162,1250,3509,630,1226,3722,15172.04,15322.94,45586.46,15865.90,17225.10,46176.09,0.00,0.00,0.00,693.87,1902.16,589.63,2108.86,2108.86,0.991,0.075,0.530,-3.391,-0.641,0.094,7209,306.5,0,-0.9880,-0.0573,0.0181,-0.1426,16.3,-3.0,0.0
1280103,2026-09-11_08-44-58.103-240,v5.1.3,3.43,12.0,200,1175,1251,3504,622,1228,3728,15343.93,15335.51,45521.17,15772.98,17251.91,46270.29,0.00,0.00,0.00,429.05,1916.40,749.12,2101.87,2101.87,0.998,0.082,0.530,-3.922,-0.672,0.703,7209,305.6,0,-0.9878,-0.0577,0.0181,-0.1438,16.4,-3.0,0.0
1280129,2026-09-11_08-44-58.129-240,v5.1.3,3.43,12.0,200,1170,1249,3500,617,1228,3736,15277.98,15311.04,45469.31,15724.86,17253.95,46384.07,0.00,0.00,0.00,446.88,1942.91,914.76,2193.48,2193.48,0.996,0.063,0.530,-3.625,-0.656,0.141,7219,317.3,0,-0.9876,-0.0572,0.0181,-0.1449,16.5,-3.0,0.0
1280152,2026-09-11_08-44-58.153-240,v5.1.3,3.43,12.0,200,1169,1249,3511,621,1225,3743,15264.77,15308.04,45612.67,15794.37,17218.19,46465.94,0.00,0.00,0.00,529.60,1910.16,853.27,2158.06,2158.06,0.996,0.080,0.532,-3.359,-0.391,0.266,7219,312.7,0,-0.9875,-0.0571,0.0181,-0.1458,16.6,-3.0,0.0
1280188,2026-09-11_08-44-58.188-240,v5.1.3,3.43,12.0,200,1175,1251,3511,619,1224,3741,15343.94,15333.49,45612.40,15764.01,17203.99,46444.79,0.00,0.00,0.00,420.07,1870.50,832.39,2090.00,2090.00,0.996,0.070,0.530,-4.250,-0.641,0.328,7219,304.1,0,-0.9873,-0.0570,0.0181,-0.1471,16.8,-3.0,0.0
1280211,2026-09-11_08-44-58.212-240,v5.1.3,3.43,12.0,200,1158,1253,3490,641,1221,3753,15118.77,15368.68,45338.41,16081.74,17173.65,46551.64,0.00,0.00,0.00,962.97,1804.97,1213.23,2378.48,2378.48,0.995,0.068,0.536,-3.328,-0.859,0.312,7219,340.9,0,-0.9872,-0.0566,0.0179,-0.1480,16.9,-3.0,0.0
1280238,2026-09-11_08-44-58.238-240,v5.1.3,3.43,12.0,200,1151,1250,3504,630,1226,3736,15026.49,15326.14,45521.28,15896.97,17230.38,46356.09,0.00,0.00,0.00,870.48,1904.24,834.80,2254.05,2254.05,0.993,0.083,0.530,-3.812,-0.625,-0.047,7219,325.0,0,-0.9870,-0.0567,0.0178,-0.1490,17.0,-3.0,0.0
1280298,2026-09-11_08-44-58.299-240,v5.1.3,3.43,12.0,200,1169,1250,3503,622,1222,3745,15264.65,15323.55,45508.27,15813.25,17179.97,46490.07,0.00,0.00,0.00,548.61,1856.42,981.81,2170.53,2170.53,0.969,0.077,0.532,-3.578,-0.594,-0.250,7216,314.3,0,-0.9867,-0.0563,0.0180,-0.1515,17.3,-3.0,0.0
1280323,2026-09-11_08-44-58.323-240,v5.1.3,3.43,12.0,200,1160,1265,3496,629,1241,3723,15143.95,15525.15,45414.96,15848.57,17421.16,46188.11,0.00,0.00,0.00,704.62,1896.02,773.14,2165.44,2165.44,0.994,0.078,0.528,-3.875,-0.328,0.266,7216,313.7,0,-0.9865,-0.0564,0.0179,-0.1524,17.4,-3.0,0.0
1280358,2026-09-11_08-44-58.358-240,v5.1.3,3.43,12.0,200,1167,1255,3498,637,1230,3755,15237.64,15391.35,45442.41,16029.65,17291.15,46584.28,0.00,0.00,0.00,792.01,1899.80,1141.87,2353.80,2353.80,0.992,0.069,0.529,-3.578,-0.578,-0.156,7216,337.7,0,-0.9864,-0.0560,0.0179,-0.1538,17.6,-3.0,0.0
1280382,2026-09-11_08-44-58.383-240,v5.1.3,3.43,12.0,200,1169,1248,3507,631,1225,3753,15264.87,15295.98,45560.68,15948.29,17223.93,46572.67,0.00,0.00,0.00,683.43,1927.95,1012.00,2282.15,2282.15,0.995,0.081,0.531,-3.094,-0.438,0.500,7216,328.6,0,-0.9862,-0.0560,0.0177,-0.1549,17.7,-3.0,0.0
1280413,2026-09-11_08-44-58.413-240,v5.1.3,3.43,12.0,200,1170,1250,3503,624,1232,3748,15277.88,15323.38,45508.27,15842.00,17312.08,46522.26,0.00,0.00,0.00,564.12,1988.70,1013.99,2302.46,2302.46,0.995,0.077,0.532,-4.141,-0.344,-0.281,7216,331.2,0,-0.9860,-0.0562,0.0175,-0.1559,17.8,-3.0,0.0
1280444,2026-09-11_08-44-58.445-240,v5.1.3,3.43,12.0,200,1175,1253,3499,628,1228,3749,15343.71,15363.36,45455.73,15898.62,17261.01,46527.19,0.00,0.00,0.00,554.91,1897.64,1071.46,2248.78,2248.78,0.995,0.074,0.528,-3.828,-0.734,0.203,7222,324.3,0,-0.9858,-0.0559,0.0175,-0.1573,18.0,-3.0,0.0
