GPIO,LCD,SD Card,IMU,RTC,UART,I2S,KEY_IO,OUTPUT,Other,Wand,Note
IO0,,,,,,,BOOT0,IO0,,Readable Pushbutton,External Pushbutton in Parallel with BOOT?
IO1,,,,,,,,IO1,,DRDY Tip,New Assignment?
IO2,,,,,,,,IO2,,DRDY Mid,New Reservation?
IO3,,,,,,,,IO3,,DRDY Ref,New Assignment?
IO4,,,,,,,,IO4,BAT_ADC,,NOT AVAILABLE
IO5,,,,,,,,IO5,,,Available
IO6,,,,,,I2S_DSOUT,,IO6,,,NOT AVAILABLE
IO7,,,,,,I2S_MCLK,,IO7,,,NOT AVAILABLE
IO8,,,,,,,,,EXIO_INT,,NOT AVAILABLE
IO9,LCD_CS,,,,,,,,,,NOT AVAILABLE
IO10,LCD_SCL,,,,,,,,,,NOT AVAILABLE
IO11,LCD_D0,,,,,,,,,,NOT AVAILABLE
IO12,LCD_D1,,,,,,,,,,NOT AVAILABLE
IO13,LCD_D2,,,,,,,,,,NOT AVAILABLE
IO14,LCD_D3,,,,,,,,,,NOT AVAILABLE
IO15,,,,,,I2S_SCLK,,IO15,,,NOT AVAILABLE
IO16,,,,,,,,IO16,SYS_OUT,,NOT AVAILABLE
IO17,TP_SDA,,,,,,,IO17,,,NOT AVAILABLE
IO18,TP_SCL,,,,,,,IO18,,,NOT AVAILABLE
IO19,,,,,,,,IO19,U_N,,NOT AVAILABLE - USB C
IO20,,,,,,,,IO20,U_P,,NOT AVAILABLE - USB C
IO21,LCD_TE,,,,,,,IO21,,,NOT AVAILABLE
IO38,,SD_CS,,,,,,IO38,,,NOT AVAILABLE
IO39,,SD_MOSI,,,,,,IO39,,,NOT AVAILABLE
IO40,,SD_MISO,,,,,,IO40,,DRDY Ref,NOT AVAILABLE - Conflict with SD MISO
IO41,,SD_SCLK,,,,,,IO41,,DRDY Tip,NOT AVAILABLE - Conflict with SD_SCLK
IO42,LCD_BL,,,,,,,IO42,,,NOT AVAILABLE
IO43,,,,,TXD,,,IO43,,BitBang I2C_SCL,"NOT AVAILABLE - Conflict w/ TXD, save for GPS"
IO44,,,,,RXD,,,IO44,,BitBang I2C_SDA,"NOT AVAILABLE - Conflict w/ RXD, save for GPS"
IO45,,,,,,I2S_DSDIN,,IO45,,,NOT AVAILABLE
IO46,,,,,,I2S_LRCK,,IO46,,,NOT AVAILABLE
IO47,,,IMU_SDA,RTC_SDA,,Audio_SDA,,IO47,,,EXPLORE - Can I move RM3100_SDA here? Traffic w/Audio
IO48,,,IMU_SCL,RTC_SCL,,Audio_SCL,,IO48,,,EXPLORE - Can I move RM3100_SDA here? Traffic w/Audio
RESET,,,,,,,RESET,,,,NOT AVAILABLE
EXIO0,TP_INT,,,,,,,EXIO0,,,NOT AVAILABLE
EXIO1,BL_EN,,,,,,,EXIO1,,,NOT AVAILABLE
EXIO2,,,IMU_INT1,,,,,EXIO2,,,NOT AVAILABLE
EXIO3,,,IMU_INT2,,,,,EXIO3,,,NOT AVAILABLE
EXIO4,,,,RTC_INT,,,,EXIO4,,,NOT AVAILABLE
EXIO5,LCD_RST,,,,,,,EXIO5,,,NOT AVAILABLE
EXIO6,,,,,,,,EXIO6,SYS_EN,,NOT AVAILABLE
EXIO7,,,,,,NS_MODE,,EXIO7,,,NOT AVAILABLE
