time_ms,timestamp,version,voltage,cc,refX_raw,refY_raw,refZ_raw,tipX_raw,tipY_raw,tipZ_raw,refX_cal,refY_cal,refZ_cal,tipX_cal,tipY_cal,tipZ_cal,calOffsetX,calOffsetY,calOffsetZ,gradX,gradY,gradZ,mag,nT,accX,accY,accZ,gyrX,gyrY,gyrZ,freq,is_muted
208922,2026-08-26_17-15-19.923-240,v3.0.30,3.0,400,-2360,4764,5627,-3094,4856,5191,-3223,4793,4980,-3182,4886,5180,-33,67,84,74,26,116,140.0,921.2,-0.561,0.043,0.940,-1.715,-1.234,-5.252,110.6,0
208960,2026-08-26_17-15-19.961-240,v3.0.30,3.0,400,-2348,4752,5638,-3094,4856,5191,-3214,4781,4994,-3182,4886,5180,-33,67,84,65,38,102,126.8,834.1,-0.575,0.010,0.922,-3.915,-0.562,-5.281,103.8,0
208983,2026-08-26_17-15-19.984-240,v3.0.30,3.0,400,-2357,4752,5645,-3134,4856,5188,-3224,4781,4999,-3222,4886,5177,-33,67,84,35,38,94,107.3,705.7,-0.566,-0.007,0.921,-4.051,-0.750,-4.391,93.7,0
209027,2026-08-26_17-15-19.028-240,v3.0.30,3.0,400,-2357,4752,5645,-3135,4842,5190,-3224,4781,4999,-3223,4872,5179,-33,67,84,34,24,96,104.6,688.4,-0.578,-0.003,0.920,0.659,-0.781,-3.141,92.4,0
209077,2026-08-26_17-15-19.078-240,v3.0.30,3.0,400,-2361,4753,5643,-3135,4842,5190,-3227,4783,4996,-3223,4872,5179,-33,67,84,37,22,99,108.0,710.2,-0.574,0.055,0.928,1.614,-0.500,-3.548,94.1,0
209100,2026-08-26_17-15-19.101-240,v3.0.30,3.0,400,-2353,4748,5642,-3111,4844,5200,-3219,4777,4997,-3199,4874,5189,-33,67,84,53,30,108,124.0,815.7,-0.576,0.056,0.917,-0.062,-0.641,-4.420,102.3,0
209136,2026-08-26_17-15-19.137-240,v3.0.30,3.0,400,-2353,4748,5642,-3111,4844,5200,-3219,4777,4997,-3199,4874,5189,-33,67,84,53,30,108,124.0,815.7,-0.574,0.026,0.920,-4.357,-0.438,-3.547,102.3,0
209161,2026-08-26_17-15-19.161-240,v3.0.30,3.0,400,-2387,4730,5670,-3087,4852,5195,-3258,4760,5019,-3175,4882,5184,-33,67,84,116,55,81,151.8,998.7,-0.568,0.004,0.917,-4.929,-0.875,-3.162,116.7,0
209190,2026-08-26_17-15-19.192-240,v3.0.30,3.0,400,-2387,4730,5670,-3087,4852,5195,-3258,4760,5019,-3175,4882,5184,-33,67,84,116,55,81,151.8,998.7,-0.577,-0.002,0.914,-2.222,-0.625,-2.037,116.7,0
209216,2026-08-26_17-15-19.217-240,v3.0.30,3.0,400,-2356,4728,5645,-3135,4848,5204,-3223,4757,5000,-3223,4878,5193,-33,67,84,33,54,109,126.0,829.2,-0.574,0.019,0.926,0.805,-0.531,-2.106,103.4,0
