time_ms,timestamp,version,voltage,cc,refX_raw,refY_raw,refZ_raw,tipX_raw,tipY_raw,tipZ_raw,refX_cal,refY_cal,refZ_cal,tipX_cal,tipY_cal,tipZ_cal,calOffsetX,calOffsetY,calOffsetZ,gradX,gradY,gradZ,mag,nT,accX,accY,accZ,gyrX,gyrY,gyrZ,freq,is_muted
239053,2026-08-26_19-17-59.054-240,v3.0.32,3.0,400,825,1284,7566,-358,1204,7669,-509,1000,7516,-459,1243,7625,0,0,0,50,243,109,271.0,1782.8,-0.551,0.080,0.948,-3.051,-2.406,0.715,178.1,0
239084,2026-08-26_19-17-59.086-240,v3.0.32,3.0,400,825,1284,7566,-358,1204,7669,-509,1000,7516,-459,1243,7625,0,0,0,50,243,109,271.0,1782.8,-0.538,0.066,0.984,-5.540,-2.406,-0.283,178.1,0
239109,2026-08-26_19-17-59.109-240,v3.0.32,3.0,400,821,1231,7565,-358,1221,7676,-513,947,7515,-460,1260,7632,0,0,0,53,313,117,338.3,2225.9,-0.522,0.029,0.952,-5.035,-1.531,-1.189,212.8,0
239144,2026-08-26_19-17-59.146-240,v3.0.32,3.0,400,789,1278,7570,-358,1221,7676,-545,995,7515,-460,1260,7632,0,0,0,85,265,117,301.9,1986.1,-0.519,-0.002,0.964,-3.844,-1.328,-0.126,194.0,0
239188,2026-08-26_19-17-59.189-240,v3.0.32,3.0,400,789,1278,7570,-357,1215,7666,-545,995,7515,-458,1254,7622,0,0,0,87,259,107,293.4,1930.4,-0.529,0.021,0.955,3.700,-0.625,0.065,189.7,0
239214,2026-08-26_19-17-59.216-240,v3.0.32,3.0,400,811,1257,7578,-375,1209,7675,-525,973,7526,-477,1248,7631,0,0,0,48,275,105,298.3,1962.2,-0.538,0.063,0.958,3.235,-0.500,-0.677,192.2,0
239256,2026-08-26_19-17-59.257-240,v3.0.32,3.0,400,843,1270,7562,-375,1209,7675,-491,986,7515,-477,1248,7631,0,0,0,14,262,116,286.9,1887.3,-0.526,0.073,0.954,-2.600,-0.031,-2.847,186.3,0
239289,2026-08-26_19-17-59.290-240,v3.0.32,3.0,400,843,1270,7562,-330,1211,7671,-491,986,7515,-431,1250,7627,0,0,0,60,264,112,293.0,1927.5,-0.536,0.045,0.951,-3.850,-0.188,-3.262,189.5,0
239312,2026-08-26_19-17-59.312-240,v3.0.32,3.0,400,849,1264,7559,-330,1211,7671,-484,980,7513,-431,1250,7627,0,0,0,53,270,114,297.8,1959.4,-0.532,0.050,0.933,-2.984,-0.188,-4.231,192.0,0
239340,2026-08-26_19-17-59.341-240,v3.0.32,3.0,400,849,1264,7559,-351,1218,7674,-484,980,7513,-452,1257,7630,0,0,0,32,277,117,302.4,1989.4,-0.524,0.058,0.945,-4.771,-0.484,-5.076,194.3,0
239368,2026-08-26_19-17-59.369-240,v3.0.32,3.0,400,822,1261,7564,-351,1218,7674,-512,977,7514,-452,1257,7630,0,0,0,60,280,116,309.0,2032.6,-0.523,0.036,0.964,-5.170,-0.297,-5.892,197.7,0
239391,2026-08-26_19-17-59.391-240,v3.0.32,3.0,400,822,1261,7564,-357,1210,7660,-512,977,7514,-458,1249,7616,0,0,0,54,272,102,295.5,1943.9,-0.533,0.021,0.973,-3.995,-0.375,-5.325,190.7,0
239427,2026-08-26_19-17-59.428-240,v3.0.32,3.0,400,810,1260,7554,-357,1210,7660,-522,977,7503,-458,1249,7616,0,0,0,64,272,113,301.4,1983.0,-0.524,0.036,0.951,-0.642,-0.234,-5.674,193.8,0
239450,2026-08-26_19-17-59.451-240,v3.0.32,3.0,400,821,1281,7570,-366,1230,7637,-514,997,7520,-467,1269,7593,0,0,0,47,272,73,285.5,1878.4,-0.529,0.037,0.936,-1.015,0.547,-6.071,185.6,0
239497,2026-08-26_19-17-59.498-240,v3.0.32,3.0,400,821,1281,7570,-377,1217,7649,-514,997,7520,-479,1256,7605,0,0,0,35,259,85,274.8,1808.1,-0.536,0.036,0.961,-1.368,0.172,-5.994,180.1,0
239545,2026-08-26_19-17-59.545-240,v3.0.32,3.0,400,820,1264,7562,-377,1217,7649,-513,980,7512,-479,1256,7605,0,0,0,34,276,93,293.2,1929.1,-0.534,0.051,0.943,1.344,0.078,-5.954,189.6,0
239568,2026-08-26_19-17-59.568-240,v3.0.32,3.0,400,831,1278,7564,-365,1242,7695,-503,994,7515,-467,1281,7651,0,0,0,36,287,136,319.6,2102.8,-0.540,0.051,0.941,-1.033,-0.031,-6.133,203.2,0
239599,2026-08-26_19-17-59.600-240,v3.0.32,3.0,400,831,1278,7564,-365,1242,7695,-503,994,7515,-467,1281,7651,0,0,0,36,287,136,319.6,2102.8,-0.548,0.037,0.951,-3.161,-0.672,-4.850,203.2,0
239623,2026-08-26_19-17-59.624-240,v3.0.32,3.0,400,806,1264,7576,-409,1228,7638,-530,980,7523,-511,1267,7595,0,0,0,19,287,72,296.5,1950.7,-0.527,0.033,0.957,-1.981,0.094,-4.900,191.3,0
239661,2026-08-26_19-17-59.661-240,v3.0.32,3.0,400,821,1279,7567,-409,1228,7638,-513,995,7517,-511,1267,7595,0,0,0,2,272,78,283.0,1861.6,-0.532,0.047,0.950,-0.666,-0.719,-3.873,184.3,0
