time_ms,timestamp,version,voltage,audio_gain,cc,refX_raw,refY_raw,refZ_raw,tipX_raw,tipY_raw,tipZ_raw,refX_cal,refY_cal,refZ_cal,tipX_cal,tipY_cal,tipZ_cal,calOffsetX,calOffsetY,calOffsetZ,gradX,gradY,gradZ,mag,nT,accX,accY,accZ,gyrX,gyrY,gyrZ,freq,is_muted,QW,QX,QY,QZ,Azimuth,Elevation,Declination
244233,2026-08-29_06-25-38.234-240,v3.5.7,3.50,12.0,400,718,6479,4247,124,6578,4286,-147,6235,4222,-7,6582,4331,0,0,0,140,347,109,389.7,2564.0,-0.572,0.176,0.937,-2.149,-4.688,-6.535,364.5,1,-0.6405,-0.6968,-0.3112,0.0862,0.0,0.0,0.2
244269,2026-08-29_06-25-38.271-240,v3.5.7,3.50,12.0,400,718,6479,4247,103,6542,4329,-147,6235,4222,-29,6547,4374,0,0,0,118,312,152,366.6,2411.6,-0.560,0.142,0.926,-6.206,-2.969,-6.250,345.1,1,-0.6454,-0.6945,-0.3087,0.0762,0.0,0.0,0.2
244298,2026-08-29_06-25-38.300-240,v3.5.7,3.47,12.0,400,710,6455,4270,99,6533,4345,-159,6211,4244,-33,6538,4389,0,0,0,126,327,145,379.2,2495.1,-0.561,0.124,0.897,-3.807,-1.250,-5.813,355.7,1,-0.6488,-0.6937,-0.3050,0.0689,0.0,0.0,0.0
244348,2026-08-29_06-25-38.349-240,v3.5.7,3.47,12.0,400,695,6457,4283,99,6533,4345,-176,6213,4254,-33,6538,4389,0,0,0,143,325,135,379.9,2499.1,-0.585,0.168,0.890,-1.488,-1.078,-5.203,356.2,1,-0.6502,-0.6946,-0.3014,0.0631,0.0,0.0,0.2
244375,2026-08-29_06-25-38.379-240,v3.5.7,3.47,12.0,400,695,6457,4283,88,6544,4343,-176,6213,4254,-44,6549,4388,0,0,0,132,336,134,385.1,2533.3,-0.586,0.163,0.901,-2.480,-0.719,-5.388,360.6,1,-0.6526,-0.6946,-0.2974,0.0571,0.0,0.0,0.2
244425,2026-08-29_06-25-38.426-240,v3.5.7,3.47,12.0,400,681,6452,4274,78,6533,4350,-188,6208,4243,-54,6538,4395,0,0,0,134,330,152,387.2,2547.7,-0.541,0.161,0.908,-1.075,0.484,-5.081,362.4,1,-0.6541,-0.6955,-0.2926,0.0529,0.0,0.0,0.2
244466,2026-08-29_06-25-38.467-240,v3.5.7,3.47,12.0,400,666,6460,4276,78,6533,4350,-204,6216,4243,-54,6538,4395,0,0,0,150,322,152,386.4,2542.0,-0.557,0.144,0.905,-1.004,1.141,-4.833,361.7,1,-0.6558,-0.6963,-0.2875,0.0496,0.0,0.0,0.2
244492,2026-08-29_06-25-39.493-240,v3.5.7,3.47,12.0,400,674,6462,4263,74,6525,4338,-193,6219,4232,-58,6530,4383,0,0,0,135,311,151,371.1,2441.7,-0.574,0.165,0.894,-3.194,0.500,-4.001,348.9,1,-0.6590,-0.6951,-0.2838,0.0455,0.0,0.0,0.2
244528,2026-08-29_06-25-39.529-240,v3.5.7,3.47,12.0,400,674,6462,4263,74,6525,4338,-193,6219,4232,-58,6530,4383,0,0,0,135,311,151,371.1,2441.7,-0.576,0.089,0.916,-2.510,0.359,-2.754,348.9,1,-0.6615,-0.6939,-0.2812,0.0426,0.0,0.0,0.2
244556,2026-08-29_06-25-39.557-240,v3.5.7,3.47,12.0,400,674,6463,4264,75,6545,4323,-194,6220,4233,-57,6550,4368,0,0,0,137,330,135,382.0,2512.9,-0.575,0.131,0.927,0.075,0.875,-1.433,358.0,1,-0.6619,-0.6944,-0.2791,0.0422,0.0,0.0,0.2
244583,2026-08-29_06-25-39.584-240,v3.5.7,3.47,12.0,400,674,6463,4264,75,6545,4323,-194,6220,4233,-57,6550,4368,0,0,0,137,330,135,382.0,2512.9,-0.579,0.170,0.935,-2.636,0.812,-0.878,358.0,1,-0.6646,-0.6924,-0.2778,0.0412,0.0,0.0,0.2
