time_ms,timestamp,version,voltage,audio_gain,cc,refX_raw,refY_raw,refZ_raw,tipX_raw,tipY_raw,tipZ_raw,refX_cal,refY_cal,refZ_cal,tipX_cal,tipY_cal,tipZ_cal,calOffsetX,calOffsetY,calOffsetZ,gradX,gradY,gradZ,mag,nT,accX,accY,accZ,gyrX,gyrY,gyrZ,freq,is_muted,QW,QX,QY,QZ,Azimuth,Elevation,Declination
252624,2026-08-29_07-36-27.626-240,v3.5.9,3.52,12.0,400,1317,4534,6236,1025,4784,7021,162,4011,6248,904,4617,7089,0,0,0,742,606,841,1274.8,8386.8,-0.233,0.126,1.046,-11.078,-2.656,-3.437,1107.3,1,0.2360,-0.6452,0.1974,-0.6993,264.5,-54.0,0.0
252679,2026-08-29_07-36-27.681-240,v3.5.9,3.52,12.0,400,1287,4523,6261,1026,4767,7039,131,3998,6270,905,4600,7108,0,0,0,774,602,838,1289.9,8485.9,-0.239,0.104,1.063,-0.013,-3.641,-2.897,1119.9,1,0.2362,-0.6421,0.1963,-0.7024,263.8,-54.0,0.0
252709,2026-08-29_07-36-27.711-240,v3.5.9,3.52,12.0,400,1277,4512,6285,968,4749,7061,118,3984,6294,848,4581,7132,0,0,0,730,597,838,1261.6,8299.8,-0.230,0.156,1.042,3.550,-4.547,-2.194,1096.2,1,0.2385,-0.6373,0.1917,-0.7073,262.7,-54.1,0.0
252738,2026-08-29_07-36-27.740-240,v3.5.9,3.52,12.0,400,1294,4495,6288,968,4749,7061,133,3966,6300,848,4581,7132,0,0,0,715,615,832,1257.6,8274.0,-0.228,0.175,1.032,-1.585,-4.531,-2.621,1092.9,1,0.2370,-0.6338,0.1920,-0.7108,261.7,-54.1,0.0
252782,2026-08-29_07-36-27.785-240,v3.5.9,3.52,12.0,400,1294,4495,6288,1016,4734,7060,133,3966,6300,895,4566,7131,0,0,0,762,600,831,1277.2,8402.5,-0.226,0.159,1.034,-5.493,-6.172,-3.107,1109.3,1,0.2324,-0.6300,0.1967,-0.7144,260.4,-54.0,0.0
252812,2026-08-29_07-36-27.813-240,v3.5.9,3.52,12.0,400,1299,4471,6296,981,4687,7106,136,3939,6311,861,4517,7179,0,0,0,725,578,868,1270.1,8355.9,-0.225,0.159,1.053,-1.979,-7.062,-2.989,1103.4,1,0.2303,-0.6243,0.1983,-0.7196,258.8,-53.8,0.0
252851,2026-08-29_07-36-28.854-240,v3.5.9,3.52,12.0,400,1286,4433,6323,981,4687,7106,120,3897,6340,861,4517,7179,0,0,0,741,620,839,1279.6,8418.5,-0.196,0.172,1.042,1.452,-7.812,-3.797,1111.4,1,0.2314,-0.6167,0.1978,-0.7260,257.1,-53.5,0.0
252889,2026-08-29_07-36-28.891-240,v3.5.9,3.52,12.0,400,1286,4433,6323,992,4652,7138,120,3897,6340,872,4481,7213,0,0,0,752,584,873,1291.8,8498.5,-0.211,0.160,1.033,0.846,-9.188,-4.566,1121.6,1,0.2323,-0.6077,0.1987,-0.7329,255.2,-53.0,0.0
252921,2026-08-29_07-36-28.924-240,v3.5.9,3.52,12.0,400,1315,4390,6339,1026,4579,7176,144,3848,6363,906,4406,7254,0,0,0,762,558,891,1298.4,8542.2,-0.185,0.145,1.053,5.539,-9.641,-4.876,1127.1,1,0.2370,-0.5968,0.1956,-0.7412,253.3,-52.4,0.0
252966,2026-08-29_07-36-28.969-240,v3.5.9,3.52,12.0,400,1343,4345,6379,1026,4579,7176,163,3796,6412,906,4406,7254,0,0,0,743,610,842,1277.9,8407.5,-0.184,0.160,1.068,10.676,-10.594,-4.540,1109.9,1,0.2448,-0.5834,0.1878,-0.7513,251.2,-51.7,0.0
