time_ms,timestamp,version,voltage,audio_gain,cc,refX_raw,refY_raw,refZ_raw,tipX_raw,tipY_raw,tipZ_raw,refX_cal,refY_cal,refZ_cal,tipX_cal,tipY_cal,tipZ_cal,calOffsetX,calOffsetY,calOffsetZ,gradX,gradY,gradZ,mag,nT,accX,accY,accZ,gyrX,gyrY,gyrZ,freq,is_muted,QW,QX,QY,QZ,Azimuth,Elevation,Declination
150389,2026-08-29_06-24-04.391-240,v3.5.7,3.50,12.0,400,1089,2592,7325,1,2864,7304,-274,2238,7314,-129,2900,7301,0,0,0,145,662,-13,677.8,4459.3,0.027,0.158,1.118,-4.842,-0.953,-4.512,606.3,1,0.8930,0.0619,-0.1328,-0.4256,0.0,0.0,0.0
150432,2026-08-29_06-24-04.434-240,v3.5.7,3.50,12.0,400,1089,2592,7325,-4,2880,7304,-274,2238,7314,-134,2916,7301,0,0,0,140,678,-13,692.4,4555.4,0.035,0.115,1.114,-5.372,-0.750,-3.899,618.6,1,0.8956,0.0555,-0.1291,-0.4221,0.0,0.0,0.0
150475,2026-08-29_06-24-04.479-240,v3.5.7,3.50,12.0,400,1079,2599,7323,-4,2880,7304,-283,2245,7311,-134,2916,7301,0,0,0,149,671,-10,687.4,4522.5,0.027,0.085,1.116,-3.685,-0.766,-3.538,614.4,1,0.8979,0.0511,-0.1264,-0.4187,0.0,0.0,0.2
150506,2026-08-29_06-24-05.507-240,v3.5.7,3.50,12.0,400,1066,2601,7335,-20,2870,7307,-298,2247,7321,-150,2906,7304,0,0,0,148,659,-17,675.6,4444.9,0.039,0.105,1.116,0.269,-0.844,-3.096,604.5,1,0.8996,0.0513,-0.1256,-0.4151,0.0,0.0,0.2
150539,2026-08-29_06-24-05.541-240,v3.5.7,3.50,12.0,400,1066,2601,7335,-7,2868,7312,-298,2247,7321,-137,2904,7309,0,0,0,161,657,-12,676.5,4451.0,0.042,0.142,1.114,-2.377,-0.656,-3.679,605.2,1,0.9018,0.0483,-0.1236,-0.4113,0.0,0.0,0.2
150587,2026-08-29_06-24-05.588-240,v3.5.7,3.50,12.0,400,1056,2591,7335,-7,2868,7312,-308,2237,7319,-137,2904,7309,0,0,0,171,667,-10,688.6,4530.6,0.033,0.149,1.115,-1.770,-0.984,-3.254,615.4,1,0.9038,0.0462,-0.1216,-0.4078,0.0,0.0,0.2
150617,2026-08-29_06-24-05.619-240,v3.5.7,3.50,12.0,400,1052,2611,7342,-23,2880,7310,-313,2257,7325,-153,2916,7307,0,0,0,160,659,-18,678.4,4463.1,0.034,0.133,1.118,-4.094,-0.734,-4.059,606.8,1,0.9062,0.0412,-0.1187,-0.4038,0.0,0.0,0.2
150649,2026-08-29_06-24-05.650-240,v3.5.7,3.50,12.0,400,1069,2592,7423,-23,2880,7310,-310,2236,7407,-153,2916,7307,0,0,0,157,680,-100,705.0,4638.3,0.037,0.101,1.117,-3.429,-0.922,-3.595,629.1,1,0.9083,0.0372,-0.1159,-0.4001,0.0,0.0,0.2
150699,2026-08-29_06-24-05.701-240,v3.5.7,3.50,12.0,400,1069,2592,7423,-11,2855,7309,-310,2236,7407,-141,2891,7306,0,0,0,169,655,-101,683.9,4499.7,0.034,0.112,1.118,-0.019,-0.828,-3.002,611.4,1,0.9100,0.0370,-0.1148,-0.3967,0.0,0.0,0.0
150727,2026-08-29_06-24-05.729-240,v3.5.7,3.50,12.0,400,1063,2599,7352,-28,2869,7301,-304,2245,7337,-158,2905,7298,0,0,0,146,660,-39,677.1,4454.5,0.030,0.158,1.114,-2.211,-0.578,-3.829,605.7,1,0.9121,0.0342,-0.1130,-0.3926,0.0,0.0,0.0
