time_ms,timestamp,version,voltage,audio_gain,cc,refX_raw,refY_raw,refZ_raw,tipX_raw,tipY_raw,tipZ_raw,refX_cal,refY_cal,refZ_cal,tipX_cal,tipY_cal,tipZ_cal,calOffsetX,calOffsetY,calOffsetZ,gradX,gradY,gradZ,mag,nT,accX,accY,accZ,gyrX,gyrY,gyrZ,freq,is_muted,QW,QX,QY,QZ,Azimuth,Elevation,Declination
439594,2026-08-29_07-39-34.596-240,v3.5.9,3.50,12.0,400,354,7199,2736,174,7333,2711,-166,7206,2329,73,7327,2608,0,0,0,239,121,279,386.8,2544.6,-0.739,0.149,0.756,-3.879,-0.109,-2.812,362.1,1,0.7605,-0.1909,0.6132,0.0955,338.9,75.7,0.0
439626,2026-08-29_07-39-34.628-240,v3.5.9,3.50,12.0,400,371,7215,2726,179,7328,2700,-149,7223,2321,78,7322,2597,0,0,0,227,99,276,370.8,2439.6,-0.741,0.115,0.757,-1.416,-0.156,-2.953,348.7,1,0.7611,-0.1908,0.6127,0.0949,338.9,75.6,0.0
439669,2026-08-29_07-39-34.671-240,v3.5.9,3.50,12.0,400,371,7215,2726,185,7330,2691,-149,7223,2321,84,7325,2588,0,0,0,233,102,267,368.8,2426.0,-0.749,0.142,0.741,0.366,-0.266,-2.773,346.9,1,0.7620,-0.1892,0.6124,0.0928,338.8,75.5,0.0
439708,2026-08-29_07-39-34.709-240,v3.5.9,3.50,12.0,400,369,7210,2728,185,7330,2691,-151,7218,2323,84,7325,2588,0,0,0,235,107,265,370.0,2434.2,-0.743,0.161,0.750,-3.601,-0.797,-2.612,348.0,1,0.7615,-0.1916,0.6121,0.0934,338.4,75.5,0.0
439736,2026-08-29_07-39-34.738-240,v3.5.9,3.50,12.0,400,387,7216,2728,187,7333,2696,-135,7223,2325,85,7327,2593,0,0,0,220,104,268,362.0,2381.5,-0.747,0.157,0.751,-6.503,-0.578,-3.264,341.2,1,0.7605,-0.1961,0.6114,0.0969,338.4,75.4,0.0
439773,2026-08-29_07-39-34.775-240,v3.5.9,3.50,12.0,400,387,7216,2728,187,7328,2702,-135,7223,2325,85,7322,2599,0,0,0,220,99,274,365.1,2401.8,-0.745,0.122,0.763,-4.679,-0.797,-3.541,343.8,1,0.7597,-0.1988,0.6112,0.0992,338.4,75.5,0.0
439825,2026-08-29_07-39-34.827-240,v3.5.9,3.50,12.0,400,379,7213,2723,187,7328,2702,-141,7221,2319,85,7322,2599,0,0,0,226,101,280,373.7,2458.8,-0.740,0.148,0.764,-1.085,-0.531,-3.505,351.1,1,0.7600,-0.1980,0.6111,0.0988,338.5,75.5,0.0
439852,2026-08-29_07-39-34.853-240,v3.5.9,3.50,12.0,400,395,7212,2725,209,7320,2691,-127,7219,2323,107,7314,2588,0,0,0,234,95,265,366.1,2408.3,-0.744,0.161,0.760,-3.408,-0.375,-3.716,344.7,1,0.7598,-0.1993,0.6107,0.1005,338.8,75.5,0.0
439883,2026-08-29_07-39-35.884-240,v3.5.9,3.50,12.0,400,395,7212,2725,209,7320,2691,-127,7219,2323,107,7314,2588,0,0,0,234,95,265,366.1,2408.3,-0.743,0.141,0.756,-5.591,-0.859,-3.935,344.7,1,0.7586,-0.2025,0.6105,0.1038,338.9,75.5,0.0
439929,2026-08-29_07-39-35.930-240,v3.5.9,3.50,12.0,400,359,7223,2737,185,7313,2693,-162,7231,2329,84,7307,2590,0,0,0,246,76,261,366.6,2412.0,-0.747,0.097,0.759,-2.129,-0.719,-3.750,345.1,1,0.7584,-0.2026,0.6106,0.1044,339.0,75.6,0.0
439955,2026-08-29_07-39-35.956-240,v3.5.9,3.50,12.0,400,364,7215,2742,171,7321,2696,-158,7222,2336,70,7315,2593,0,0,0,228,93,257,355.9,2341.6,-0.746,0.117,0.756,0.347,-0.578,-3.556,336.2,1,0.7590,-0.2005,0.6108,0.1030,339.2,75.6,0.0
440001,2026-08-29_07-39-35.002-240,v3.5.9,3.50,12.0,400,367,7207,2729,171,7321,2696,-153,7214,2324,70,7315,2593,0,0,0,223,101,269,363.7,2392.9,-0.733,0.155,0.765,-2.529,-0.625,-3.411,342.7,1,0.7589,-0.2012,0.6106,0.1035,339.2,75.6,0.0
440037,2026-08-29_07-39-35.038-240,v3.5.9,3.50,12.0,400,367,7207,2729,173,7330,2706,-153,7214,2324,72,7324,2603,0,0,0,225,110,279,374.9,2466.6,-0.740,0.115,0.752,-5.602,-0.672,-3.640,352.1,1,0.7579,-0.2046,0.6102,0.1067,339.3,75.6,0.0
440063,2026-08-29_07-39-35.064-240,v3.5.9,3.50,12.0,400,356,7219,2740,173,7330,2706,-165,7227,2332,72,7324,2603,0,0,0,237,97,271,372.9,2453.0,-0.743,0.104,0.743,-5.735,-0.953,-3.184,350.4,1,0.7567,-0.2085,0.6098,0.1094,339.1,75.6,0.0
440114,2026-08-29_07-39-35.115-240,v3.5.9,3.50,12.0,400,345,7225,2727,162,7337,2692,-173,7235,2317,61,7332,2589,0,0,0,234,97,272,371.7,2445.3,-0.743,0.097,0.763,-1.698,-0.625,-3.097,349.4,1,0.7568,-0.2087,0.6097,0.1091,339.0,75.6,0.0
440140,2026-08-29_07-39-35.141-240,v3.5.9,3.50,12.0,400,345,7225,2727,164,7336,2699,-173,7235,2317,63,7331,2596,0,0,0,236,96,279,377.8,2485.7,-0.746,0.129,0.768,-0.814,-0.797,-2.597,354.5,1,0.7571,-0.2084,0.6097,0.1076,338.6,75.5,0.0
440177,2026-08-29_07-39-35.178-240,v3.5.9,3.50,12.0,400,356,7204,2731,164,7336,2699,-164,7211,2324,63,7331,2596,0,0,0,227,120,272,374.0,2460.9,-0.746,0.131,0.760,-2.643,-0.938,-2.859,351.4,1,0.7568,-0.2097,0.6097,0.1076,338.3,75.5,0.0
440214,2026-08-29_07-39-35.216-240,v3.5.9,3.50,12.0,400,354,7217,2724,161,7322,2711,-164,7226,2316,60,7316,2608,0,0,0,224,90,292,378.9,2492.5,-0.741,0.124,0.766,-2.279,-1.047,-2.978,355.4,1,0.7564,-0.2105,0.6099,0.1075,338.0,75.4,0.0
440245,2026-08-29_07-39-35.246-240,v3.5.9,3.50,12.0,400,354,7217,2724,161,7329,2706,-164,7226,2316,60,7323,2603,0,0,0,224,97,287,376.8,2478.7,-0.738,0.130,0.759,-1.060,-0.656,-2.617,353.6,1,0.7567,-0.2104,0.6097,0.1062,337.7,75.4,0.0
440291,2026-08-29_07-39-35.292-240,v3.5.9,3.50,12.0,400,364,7207,2735,161,7329,2706,-157,7214,2329,60,7323,2603,0,0,0,217,109,274,366.1,2408.7,-0.740,0.120,0.759,-0.196,-0.812,-3.152,344.7,1,0.7571,-0.2091,0.6100,0.1047,337.6,75.3,0.0
