Timestamp_ms,FW_Version,Gain,CycleCount,Ref_X_Raw,Ref_Y_Raw,Ref_Z_Raw,Tip_X_Raw,Tip_Y_Raw,Tip_Z_Raw,Ref_X_Cal,Ref_Y_Cal,Ref_Z_Cal,Tip_X_Cal,Tip_Y_Cal,Tip_Z_Cal,Cal_Offset_X,Cal_Offset_Y,Cal_Offset_Z,Grad_X,Grad_Y,Grad_Z,Magnitude,nT,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Freq,IsMuted
131106,v2.0.12,10.0,200,822,1184,-3579,1463,1323,-3464,1351,1361,-3357,1404,1558,-3278,0,0,0,53,197,79,218.8,2878.5,-0.197,-0.037,1.076,0.254,-12.625,-10.087,367.2,0
131358,v2.0.12,10.0,200,813,1018,-3636,1455,1146,-3525,1345,1191,-3407,1393,1373,-3334,0,0,0,48,182,73,201.9,2656.4,-0.208,-0.051,1.062,-3.083,-5.281,-2.508,341.8,0
131391,v2.0.12,10.0,200,832,1020,-3635,1451,1133,-3515,1364,1192,-3403,1389,1359,-3325,0,0,0,25,167,78,186.0,2447.4,-0.199,-0.046,1.073,-2.983,-3.875,-1.414,317.9,0
131424,v2.0.12,10.0,200,816,1019,-3633,1455,1124,-3517,1347,1192,-3403,1393,1350,-3326,0,0,0,46,158,77,181.7,2390.6,-0.231,-0.014,1.103,-4.762,-4.078,-0.873,311.4,0
131457,v2.0.12,10.0,200,805,1008,-3638,1461,1119,-3524,1337,1182,-3409,1399,1345,-3333,0,0,0,62,163,76,190.2,2503.1,-0.258,-0.021,1.089,-13.336,-6.188,0.055,324.2,0
131490,v2.0.12,10.0,200,828,1000,-3625,1462,1123,-3516,1358,1172,-3393,1400,1349,-3325,0,0,0,42,177,68,194.2,2555.4,-0.237,-0.010,1.104,-26.428,-13.625,5.149,330.2,0
131524,v2.0.12,10.0,200,859,999,-3640,1492,1111,-3522,1391,1170,-3402,1431,1336,-3330,0,0,0,40,166,72,185.3,2438.3,-0.262,-0.161,1.169,-45.177,-24.828,12.562,316.8,0
131556,v2.0.12,10.0,200,970,920,-3617,1551,1085,-3497,1495,1082,-3359,1492,1309,-3306,0,0,0,-3,227,53,233.1,3067.4,-0.250,-0.323,1.346,-33.322,-40.438,13.877,388.8,0
131588,v2.0.12,10.0,200,989,881,-3612,1630,997,-3494,1512,1041,-3350,1572,1218,-3302,0,0,0,60,177,48,193.0,2538.9,-0.299,-0.401,1.410,11.270,-58.531,7.579,328.3,0
131620,v2.0.12,10.0,200,972,800,-3660,1609,898,-3510,1500,960,-3395,1550,1114,-3316,0,0,0,50,154,79,180.2,2370.5,-0.193,-0.168,1.345,33.146,-79.281,5.723,309.1,0
